rep,fold,f1,roc_auc,pr_auc
1,1,0.3125,0.6172839506172839,0.291159137857251
1,2,0.3333333333333333,0.6019230769230769,0.2524498992663306
1,3,0.16,0.6836158192090396,0.1114996114996115
1,4,0.1,0.576271186440678,0.16168582375478927
1,5,0.20689655172413793,0.7456896551724138,0.27022357723577234
2,1,0.20689655172413793,0.5827586206896552,0.1552930402930403
2,2,0.18181818181818182,0.6175438596491227,0.14293037318464918
2,3,0.27586206896551724,0.6467532467532467,0.29366399366399365
2,4,0.16666666666666666,0.5929824561403509,0.20899321266968326
2,5,0.3125,0.7168831168831169,0.2173362869015043
3,1,0.16666666666666666,0.37499999999999994,0.15519419636224124
3,2,0.07142857142857142,0.5819209039548022,0.07194060419866871
3,3,0.3157894736842105,0.8060344827586207,0.39939024390243905
3,4,0.2857142857142857,0.775438596491228,0.20636363636363636
3,5,0.32432432432432434,0.6403846153846153,0.2698713443366696
4,1,0.3076923076923077,0.8305084745762712,0.2067982456140351
4,2,0.08333333333333333,0.4011299435028248,0.05978807591710818
4,3,0.13333333333333333,0.5069444444444444,0.15569269905223063
4,4,0.3125,0.6935064935064935,0.3398619673009916
4,5,0.3333333333333333,0.7220779220779221,0.3370121732903688
5,1,0.25,0.5127551020408163,0.13960781282209855
5,2,0.3870967741935484,0.740041928721174,0.38698332531665863
5,3,0.08695652173913043,0.5344827586206897,0.09583333333333333
5,4,0.18181818181818182,0.7457627118644067,0.11243386243386244
5,5,0.21428571428571427,0.5863095238095238,0.2740154931762616
6,1,0.20689655172413793,0.6793103448275862,0.17820056899004266
6,2,0.12903225806451613,0.47017543859649125,0.16804512942025582
6,3,0.3076923076923077,0.7708333333333333,0.4313346883468835
6,4,0.2857142857142857,0.7012987012987013,0.3690685045948204
6,5,0.27586206896551724,0.5654761904761905,0.15260494669450528
7,1,0.4166666666666667,0.75,0.27379265471370734
7,2,0.18181818181818182,0.5714285714285714,0.15723917697601908
7,3,0.23529411764705882,0.5688311688311688,0.2213492763840837
7,4,0.13333333333333333,0.5386904761904762,0.13722394351197598
7,5,0.23076923076923078,0.903954802259887,0.39215686274509803
8,1,0.08333333333333333,0.5111111111111111,0.06526001705029838
8,2,0.2608695652173913,0.7801724137931034,0.1795343137254902
8,3,0.2777777777777778,0.5557692307692308,0.2241786503177938
8,4,0.32,0.6964285714285714,0.2988348962773515
8,5,0.21428571428571427,0.6279761904761905,0.23772090482616798
9,1,0.3870967741935484,0.7448979591836735,0.25266846770606166
9,2,0.23076923076923078,0.8922413793103449,0.4184782608695652
9,3,0.3448275862068966,0.6211538461538462,0.2840209846527992
9,4,0.08,0.4310344827586207,0.07783004258614014
9,5,0.08,0.521551724137931,0.09962109575012801
10,1,0.21052631578947367,0.85,0.2398989898989899
10,2,0.2,0.9265536723163842,0.6222222222222222
10,3,0.16666666666666666,0.5029761904761905,0.11099560893539806
10,4,0.26666666666666666,0.6517857142857143,0.3229232865104931
10,5,0.30303030303030304,0.6007130124777184,0.25635962760022224
