rep,fold,f1,roc_auc,pr_auc
1,1,0.5454545454545454,0.7181069958847738,0.42383876234450946
1,2,0.16666666666666666,0.6288461538461538,0.3705844816559102
1,3,0.25,0.864406779661017,0.28888888888888886
1,4,0.15384615384615385,0.5141242937853108,0.369745117510758
1,5,0.2,0.7586206896551724,0.38809523809523805
2,1,0.13333333333333333,0.7137931034482758,0.22577911219215566
2,2,0.1111111111111111,0.4736842105263158,0.27012302625205853
2,3,0.43478260869565216,0.787012987012987,0.5046976832691119
2,4,0.23529411764705882,0.7543859649122807,0.4991385112397362
2,5,0.36363636363636365,0.7298701298701299,0.3279609279609279
3,1,0.18181818181818182,0.5280612244897959,0.2052361295395351
3,2,0.0,0.5649717514124294,0.07068654019873533
3,3,0.35294117647058826,0.8318965517241379,0.7113095238095238
3,4,0.2857142857142857,0.6631578947368421,0.3075876504447933
3,5,0.5,0.851923076923077,0.5644258519258518
4,1,0.23529411764705882,0.7161016949152543,0.359375
4,2,0.0,0.4124293785310735,0.056693406155771744
4,3,0.2,0.6736111111111112,0.25544575333424285
4,4,0.5454545454545454,0.8597402597402598,0.7224489795918367
4,5,0.35294117647058826,0.7688311688311689,0.549204903266633
5,1,0.2727272727272727,0.5255102040816326,0.22427535685375405
5,2,0.43478260869565216,0.7756813417190775,0.5516557734204792
5,3,0.125,0.7844827586206897,0.3623637097859739
5,4,0.14285714285714285,0.6327683615819208,0.13351648351648351
5,5,0.3,0.8005952380952381,0.475289636927568
6,1,0.21052631578947367,0.6793103448275862,0.47129870129870133
6,2,0.14285714285714285,0.7824561403508772,0.34622207857501974
6,3,0.38095238095238093,0.8988095238095237,0.696256038647343
6,4,0.34782608695652173,0.6,0.35522604686157583
6,5,0.2222222222222222,0.5952380952380952,0.16843482831386056
7,1,0.4444444444444444,0.8903061224489796,0.5295918367346939
7,2,0.2,0.6339285714285714,0.14697712418300654
7,3,0.3333333333333333,0.625974025974026,0.5488463149753472
7,4,0.11764705882352941,0.5803571428571428,0.19365215156534493
7,5,0.25,0.8813559322033897,0.43434343434343436
8,1,0.0,0.3277777777777778,0.0456832298136646
8,2,0.13333333333333333,0.7327586206896552,0.22721499695183905
8,3,0.35714285714285715,0.6923076923076923,0.4409184748752353
8,4,0.5333333333333333,0.7827380952380952,0.677422480620155
8,5,0.3,0.7976190476190476,0.35104569343699776
9,1,0.4,0.8290816326530612,0.6203785862170955
9,2,0.3157894736842105,0.7672413793103448,0.6256613756613756
9,3,0.32,0.6576923076923077,0.3525668717247664
9,4,0.11764705882352941,0.7887931034482758,0.24150449653545628
9,5,0.14285714285714285,0.4956896551724138,0.10134206483951815
10,1,0.3076923076923077,0.8666666666666667,0.28888888888888886
10,2,0.23529411764705882,0.9152542372881356,0.7222222222222222
10,3,0.0,0.5982142857142857,0.13153060816356685
10,4,0.47058823529411764,0.7380952380952381,0.6488416075650117
10,5,0.37037037037037035,0.6060606060606061,0.307141639493159
