rep,fold,f1,roc_auc,pr_auc
1,1,0.42105263157894735,0.6995884773662552,0.34493557125136076
1,2,0.4,0.7192307692307692,0.4341486294593797
1,3,0.2857142857142857,0.864406779661017,0.21249999999999997
1,4,0.15384615384615385,0.5988700564971752,0.37675070028011204
1,5,0.2222222222222222,0.7025862068965518,0.16770833333333335
2,1,0.25,0.6655172413793103,0.16706552706552708
2,2,0.16666666666666666,0.49122807017543857,0.2805453218508247
2,3,0.36363636363636365,0.8,0.4336834733893557
2,4,0.3333333333333333,0.7964912280701755,0.28595238095238096
2,5,0.38095238095238093,0.7298701298701299,0.26981447124304264
3,1,0.2727272727272727,0.5178571428571429,0.15638997018307363
3,2,0.0,0.6384180790960452,0.08564814814814814
3,3,0.375,0.7629310344827586,0.49702380952380953
3,4,0.2857142857142857,0.6701754385964912,0.41333333333333333
3,5,0.6,0.8942307692307692,0.5038606562519606
4,1,0.25,0.6991525423728814,0.3553921568627451
4,2,0.1111111111111111,0.5141242937853108,0.08094384707287933
4,3,0.42105263157894735,0.6944444444444444,0.3695651897122485
4,4,0.42105263157894735,0.8441558441558441,0.6082468634733442
4,5,0.35294117647058826,0.7896103896103897,0.3690798058353776
5,1,0.3,0.4974489795918367,0.28675096209960854
5,2,0.45454545454545453,0.8343815513626833,0.5281587142698254
5,3,0.25,0.7974137931034483,0.3728213507625272
5,4,0.14285714285714285,0.6045197740112993,0.10256410256410256
5,5,0.35294117647058826,0.8363095238095238,0.2699144537379831
6,1,0.3,0.6448275862068966,0.3766291197329996
6,2,0.15384615384615385,0.7894736842105263,0.3544827586206897
6,3,0.4444444444444444,0.9166666666666667,0.5701991907874261
6,4,0.2857142857142857,0.6493506493506493,0.2148996705600479
6,5,0.35294117647058826,0.6428571428571428,0.22161998833041593
7,1,0.38095238095238093,0.8545918367346939,0.42245943832078287
7,2,0.375,0.7559523809523809,0.23082380582380585
7,3,0.36363636363636365,0.6,0.5202088460017438
7,4,0.13333333333333333,0.5952380952380952,0.16178940646730575
7,5,0.26666666666666666,0.864406779661017,0.24707602339181287
8,1,0.0,0.3222222222222222,0.045102492429536456
8,2,0.2857142857142857,0.7887931034482759,0.1853874883286648
8,3,0.4166666666666667,0.701923076923077,0.4062955581985843
8,4,0.4444444444444444,0.8184523809523809,0.7191558441558441
8,5,0.2857142857142857,0.8125,0.28027065527065526
9,1,0.3,0.7525510204081634,0.4261337868480725
9,2,0.4,0.7629310344827586,0.4176774483378257
9,3,0.4166666666666667,0.7288461538461538,0.386462884660559
9,4,0.23529411764705882,0.7931034482758621,0.24512820512820513
9,5,0.15384615384615385,0.5818965517241379,0.13458141321044548
10,1,0.3076923076923077,0.8888888888888888,0.24523809523809526
10,2,0.375,0.9209039548022598,0.35
10,3,0.125,0.6696428571428571,0.15052287581699347
10,4,0.35294117647058826,0.6785714285714285,0.3993442530676573
10,5,0.37037037037037035,0.659536541889483,0.400813942658667
