rep,fold,f1,roc_auc,pr_auc
1,1,0.42105263157894735,0.7366255144032922,0.34338245733594575
1,2,0.45454545454545453,0.6538461538461537,0.3622100189418248
1,3,0.3076923076923077,0.6101694915254238,0.15000000000000002
1,4,0.16666666666666666,0.6271186440677966,0.37996820349761523
1,5,0.35294117647058826,0.75,0.20427489177489178
2,1,0.35294117647058826,0.6379310344827587,0.1985024154589372
2,2,0.16666666666666666,0.5403508771929826,0.2828402622045886
2,3,0.35294117647058826,0.7974025974025974,0.49321430203783145
2,4,0.375,0.6035087719298247,0.17359058565955116
2,5,0.47619047619047616,0.7818181818181817,0.2743569922141351
3,1,0.3,0.5331632653061225,0.17164414532835587
3,2,0.13333333333333333,0.632768361581921,0.09007936507936508
3,3,0.5,0.7887931034482758,0.6275510204081632
3,4,0.26666666666666666,0.6491228070175439,0.39832356463099516
3,5,0.5714285714285714,0.8249999999999998,0.5170500082795164
4,1,0.2857142857142857,0.809322033898305,0.39449786324786323
4,2,0.10526315789473684,0.2655367231638418,0.04845661846496107
4,3,0.4444444444444444,0.7546296296296295,0.5203234265734266
4,4,0.4444444444444444,0.825974025974026,0.40210301394511916
4,5,0.5714285714285714,0.735064935064935,0.3303817762784328
5,1,0.2222222222222222,0.49999999999999994,0.27389968308335655
5,2,0.47619047619047616,0.6477987421383649,0.4031479893774976
5,3,0.26666666666666666,0.8362068965517242,0.4217948717948718
5,4,0.2,0.6892655367231638,0.137012987012987
5,5,0.5263157894736842,0.8720238095238095,0.3104830354830355
6,1,0.3076923076923077,0.706896551724138,0.4091605758582503
6,2,0.5714285714285714,0.7754385964912281,0.6021077283372365
6,3,0.47058823529411764,0.8779761904761905,0.47638888888888886
6,4,0.2222222222222222,0.6597402597402597,0.20101886908609598
6,5,0.2857142857142857,0.4732142857142857,0.1210875292881728
7,1,0.35294117647058826,0.7321428571428571,0.29079166344974305
7,2,0.35294117647058826,0.7410714285714285,0.20831538423450188
7,3,0.4,0.6103896103896103,0.4978167073280925
7,4,0.3333333333333333,0.7172619047619048,0.2537674539512774
7,5,0.36363636363636365,0.711864406779661,0.17272727272727273
8,1,0.16666666666666666,0.6,0.37657784011220197
8,2,0.3076923076923077,0.646551724137931,0.13402777777777777
8,3,0.4444444444444444,0.6846153846153846,0.36755721321023926
8,4,0.6666666666666666,0.7916666666666665,0.5852549065603253
8,5,0.21052631578947367,0.6517857142857143,0.192365081278413
9,1,0.42105263157894735,0.7372448979591837,0.4855762904775062
9,2,0.35294117647058826,0.7672413793103448,0.339458413926499
9,3,0.4,0.7038461538461538,0.34548470235113315
9,4,0.36363636363636365,0.6422413793103449,0.3797267759562841
9,5,0.18181818181818182,0.5387931034482758,0.1079039240329563
10,1,0.25,0.8,0.13714063714063712
10,2,0.4,0.8926553672316384,0.24074074074074076
10,3,0.26666666666666666,0.6428571428571429,0.21643198498037208
10,4,0.42857142857142855,0.7023809523809523,0.47105991243457546
10,5,0.43478260869565216,0.6470588235294117,0.3942850933686711
