rep,fold,f1,roc_auc,pr_auc
1,1,0.5263157894736842,0.7962962962962962,0.5330026455026455
1,2,0.21052631578947367,0.5980769230769232,0.31227253759609674
1,3,0.42857142857142855,0.8813559322033898,0.21313131313131314
1,4,0.14285714285714285,0.7796610169491526,0.4083333333333333
1,5,0.3076923076923077,0.7543103448275862,0.2108225108225108
2,1,0.25,0.6586206896551725,0.16619047619047617
2,2,0.18181818181818182,0.5859649122807018,0.2948965392608657
2,3,0.35294117647058826,0.8415584415584416,0.5889704931084241
2,4,0.4,0.743859649122807,0.34257575757575753
2,5,0.4,0.8077922077922077,0.2677124045545098
3,1,0.23529411764705882,0.6275510204081632,0.2147627226574595
3,2,0.16666666666666666,0.6779661016949152,0.10659340659340659
3,3,0.46153846153846156,0.7974137931034482,0.6245748299319728
3,4,0.26666666666666666,0.7052631578947368,0.4084347532116295
3,5,0.45454545454545453,0.8596153846153846,0.48831138097872384
4,1,0.26666666666666666,0.788135593220339,0.37941176470588234
4,2,0.1111111111111111,0.4971751412429379,0.07538829151732378
4,3,0.4,0.6921296296296295,0.37432376718091004
4,4,0.4444444444444444,0.8831168831168831,0.6070175438596491
4,5,0.46153846153846156,0.7766233766233767,0.3344877344877345
5,1,0.25,0.5357142857142856,0.29280413675342376
5,2,0.47619047619047616,0.8050314465408805,0.5154563089317612
5,3,0.3076923076923077,0.831896551724138,0.4162852784134249
5,4,0.2,0.807909604519774,0.4296536796536796
5,5,0.3157894736842105,0.7738095238095238,0.22064906770789128
6,1,0.2857142857142857,0.7,0.4094503439524477
6,2,0.5714285714285714,0.9333333333333333,0.5603174603174603
6,3,0.5714285714285714,0.8482142857142858,0.6092477570738439
6,4,0.2,0.6623376623376623,0.17665429808286953
6,5,0.11764705882352941,0.5446428571428572,0.13802270326254262
7,1,0.5555555555555556,0.8903061224489797,0.4554112554112554
7,2,0.125,0.7232142857142857,0.17630503955968352
7,3,0.375,0.5844155844155844,0.4737436570553518
7,4,0.25,0.7172619047619048,0.32581729465979936
7,5,0.3076923076923077,0.7909604519774012,0.2913165266106442
8,1,0.18181818181818182,0.6388888888888888,0.10634920634920635
8,2,0.13333333333333333,0.7198275862068965,0.13988095238095238
8,3,0.45454545454545453,0.6826923076923077,0.510378655184158
8,4,0.46153846153846156,0.8333333333333334,0.649920255183413
8,5,0.3333333333333333,0.8095238095238094,0.24474531739977964
9,1,0.5,0.7806122448979591,0.6768601768601767
9,2,0.3076923076923077,0.8318965517241379,0.4794117647058823
9,3,0.19047619047619047,0.6923076923076923,0.3294576673630514
9,4,0.46153846153846156,0.8706896551724137,0.2857142857142857
9,5,0.16666666666666666,0.5775862068965517,0.1127199413489736
10,1,0.3076923076923077,0.8555555555555556,0.2833333333333333
10,2,0.25,0.8587570621468926,0.4444444444444444
10,3,0.3076923076923077,0.7440476190476191,0.22347095547559942
10,4,0.5333333333333333,0.744047619047619,0.5287301587301587
10,5,0.2727272727272727,0.6737967914438503,0.3654625346466862
