rep,fold,f1,roc_auc,pr_auc
1,1,0.5555555555555556,0.7447033898305084,0.4620316220082129
1,2,0.45454545454545453,0.6931216931216931,0.5378881379391354
1,3,0.43243243243243246,0.7251521298174443,0.5838842150385112
1,4,0.30303030303030304,0.6078125,0.31279119373030667
1,5,0.5,0.7785310734463277,0.5162615141809385
2,1,0.4864864864864865,0.7188888888888889,0.3932392867035281
2,2,0.47368421052631576,0.7552966101694915,0.6295458454416205
2,3,0.4,0.6972704714640199,0.3263255112874347
2,4,0.32432432432432434,0.6537698412698412,0.3870397073793431
2,5,0.5581395348837209,0.7647058823529411,0.6171087442485157
3,1,0.41025641025641024,0.6908665105386417,0.2888202655322688
3,2,0.3,0.6111111111111112,0.4130296526760524
3,3,0.6285714285714286,0.9051522248243561,0.7629849739632347
3,4,0.4117647058823529,0.7137452711223203,0.3543996280323253
3,5,0.5238095238095238,0.6555555555555556,0.5329441789172388
4,1,0.5,0.8295454545454546,0.5178404878041902
4,2,0.3333333333333333,0.6706349206349206,0.27397122918677086
4,3,0.55,0.8273305084745762,0.5954343006101173
4,4,0.4,0.6057416267942584,0.43975833591011526
4,5,0.45454545454545453,0.707097933513028,0.5431315966336577
5,1,0.3157894736842105,0.7492307692307693,0.42902351771909386
5,2,0.5531914893617021,0.7645502645502645,0.6125293585103924
5,3,0.3684210526315789,0.6610169491525424,0.3901107472334672
5,4,0.5,0.7261904761904762,0.4411860712613136
5,5,0.5185185185185185,0.694047619047619,0.5273161561664931
6,1,0.47619047619047616,0.7389770723104057,0.5174986191130622
6,2,0.47368421052631576,0.7419354838709677,0.49227563564048127
6,3,0.46511627906976744,0.7211111111111111,0.5319940432621592
6,4,0.4666666666666667,0.6949152542372881,0.5422206981312064
6,5,0.3783783783783784,0.6903954802259887,0.36244086678379545
7,1,0.5238095238095238,0.6860670194003528,0.5138845663316574
7,2,0.35294117647058826,0.667447306791569,0.42385627051325303
7,3,0.5294117647058824,0.8225806451612904,0.6141225227763689
7,4,0.4,0.7226190476190476,0.41489014631197996
7,5,0.4444444444444444,0.7069143446852425,0.3964285570711614
8,1,0.3157894736842105,0.6153846153846154,0.24866897056966997
8,2,0.45161290322580644,0.7611111111111111,0.4455312674423365
8,3,0.45,0.7079107505070994,0.5474969093634167
8,4,0.5909090909090909,0.7628032345013477,0.6979969395940326
8,5,0.43243243243243246,0.7061790668348046,0.35924167961841347
9,1,0.2857142857142857,0.6910669975186104,0.37563754443866254
9,2,0.4864864864864865,0.720081135902637,0.5669793185361559
9,3,0.46153846153846156,0.7633333333333333,0.5116226093734724
9,4,0.5365853658536586,0.6976076555023923,0.4897989745333517
9,5,0.47368421052631576,0.6926553672316385,0.42744080857093447
10,1,0.4878048780487805,0.7397660818713451,0.56686325904023
10,2,0.358974358974359,0.6313559322033898,0.3594636332282638
10,3,0.23076923076923078,0.5861538461538461,0.21256943988005017
10,4,0.5853658536585366,0.801857585139319,0.6748628761859743
10,5,0.5116279069767442,0.7738095238095238,0.572871037709711
