rep,fold,f1,roc_auc,pr_auc
1,1,0.5405405405405406,0.7658898305084746,0.5250479905943592
1,2,0.5,0.699294532627866,0.4957855544275694
1,3,0.5161290322580645,0.6612576064908723,0.4588764333541421
1,4,0.3448275862068966,0.7484375,0.5011619656369594
1,5,0.5581395348837209,0.8542372881355933,0.6909564324900078
2,1,0.6285714285714286,0.8077777777777778,0.592967989430037
2,2,0.47619047619047616,0.763771186440678,0.5370203450621183
2,3,0.4375,0.6861042183622829,0.3874981252117051
2,4,0.47368421052631576,0.6547619047619048,0.45526574418160115
2,5,0.4878048780487805,0.7585139318885449,0.5537331782486653
3,1,0.47368421052631576,0.7611241217798594,0.4187526853460052
3,2,0.4,0.631578947368421,0.4116114457416967
3,3,0.6666666666666666,0.9437939110070257,0.8423331423639304
3,4,0.45714285714285713,0.7074401008827238,0.45698003602848963
3,5,0.5,0.6833333333333333,0.5254334686643456
4,1,0.5294117647058824,0.8125,0.62373409048084
4,2,0.375,0.6785714285714286,0.33355796804809146
4,3,0.55,0.7447033898305084,0.4496025425187067
4,4,0.47368421052631576,0.6976076555023925,0.5362807382783622
4,5,0.5454545454545454,0.7547169811320755,0.5596289602506648
5,1,0.3870967741935484,0.7076923076923076,0.31689220651931155
5,2,0.6818181818181818,0.8121693121693122,0.7391629667399429
5,3,0.3684210526315789,0.6896186440677966,0.3860876834817119
5,4,0.5238095238095238,0.7549603174603174,0.560693084042855
5,5,0.48484848484848486,0.6607142857142858,0.4044265963074193
6,1,0.6521739130434783,0.8571428571428571,0.734093224632185
6,2,0.4864864864864865,0.7158808933002481,0.4355889338137331
6,3,0.5,0.7688888888888888,0.5473489642826027
6,4,0.5161290322580645,0.7401129943502824,0.46121634538301204
6,5,0.29411764705882354,0.5864406779661017,0.4089286098067015
7,1,0.5714285714285714,0.7566137566137566,0.5549479360080082
7,2,0.4117647058823529,0.7213114754098361,0.47931032159066955
7,3,0.5945945945945946,0.8535980148883375,0.6404276231138266
7,4,0.375,0.692857142857143,0.38878899087545704
7,5,0.5116279069767442,0.696594427244582,0.5854492794385514
8,1,0.32432432432432434,0.6178660049627792,0.31524409808138937
8,2,0.36363636363636365,0.6911111111111111,0.45158905581174313
8,3,0.5789473684210527,0.7778904665314401,0.6570493566061049
8,4,0.6511627906976745,0.8041329739442947,0.6351492685413505
8,5,0.5405405405405406,0.7654476670870114,0.4904878004125496
9,1,0.4117647058823529,0.6799007444168734,0.3874175040316276
9,2,0.5263157894736842,0.7647058823529411,0.5138988438913192
9,3,0.55,0.7866666666666666,0.5739134570866806
9,4,0.5789473684210527,0.75311004784689,0.5737848743667042
9,5,0.42105263157894735,0.6983050847457627,0.49874338610606617
10,1,0.5581395348837209,0.7699805068226121,0.49699188020495627
10,2,0.36363636363636365,0.6398305084745762,0.4221661556434232
10,3,0.25,0.5784615384615385,0.2472182181490692
10,4,0.5,0.7801857585139319,0.5794258828294812
10,5,0.7567567567567568,0.8373015873015873,0.7596081354033923
