rep,fold,f1,roc_auc,pr_auc
1,1,0.5789473684210527,0.7309322033898306,0.4352318513044837
1,2,0.4,0.6596119929453264,0.49878084781435483
1,3,0.42105263157894735,0.6622718052738337,0.41939616828849857
1,4,0.45161290322580644,0.7953125000000001,0.5266177327574386
1,5,0.6341463414634146,0.8745762711864407,0.7918595657295346
2,1,0.631578947368421,0.8211111111111111,0.5222049272228898
2,2,0.45,0.7404661016949152,0.5016549250725748
2,3,0.34285714285714286,0.6426799007444168,0.3569547724154064
2,4,0.5128205128205128,0.6815476190476191,0.5503680987534495
2,5,0.5365853658536586,0.7801857585139319,0.6557203859721895
3,1,0.5365853658536586,0.778688524590164,0.39913926580866943
3,2,0.4,0.6169590643274854,0.42849159242778745
3,3,0.6857142857142857,0.9484777517564402,0.8450410728554745
3,4,0.3684210526315789,0.6809583858764187,0.43713899331311895
3,5,0.5,0.6907407407407408,0.5804253044914538
4,1,0.5294117647058824,0.7826704545454546,0.555381092337614
4,2,0.3870967741935484,0.7142857142857143,0.3525390334335811
4,3,0.5128205128205128,0.7065677966101694,0.5103243275281679
4,4,0.47619047619047616,0.7253588516746412,0.6204823217492315
4,5,0.5531914893617021,0.7286612758310871,0.5578599677453042
5,1,0.2857142857142857,0.6030769230769231,0.28586503501800425
5,2,0.6666666666666666,0.8253968253968255,0.7899891885201462
5,3,0.4878048780487805,0.725635593220339,0.44693173398668756
5,4,0.5581395348837209,0.7688492063492064,0.5968149714828072
5,5,0.3888888888888889,0.6654761904761904,0.3937066033309875
6,1,0.5777777777777777,0.818342151675485,0.732209922864195
6,2,0.35294117647058826,0.6898263027295285,0.42336444014657104
6,3,0.5581395348837209,0.79,0.5967858859108625
6,4,0.5945945945945946,0.7954802259887006,0.5344289272818684
6,5,0.35294117647058826,0.5751412429378531,0.3081102072529725
7,1,0.5238095238095238,0.7513227513227513,0.5260216942729052
7,2,0.5405405405405406,0.7283372365339578,0.47448753223357076
7,3,0.5142857142857142,0.8287841191066998,0.6643598510029292
7,4,0.4375,0.7023809523809524,0.43374622903592386
7,5,0.46808510638297873,0.7069143446852424,0.5953418797845046
8,1,0.4,0.705955334987593,0.4822592638897793
8,2,0.4117647058823529,0.6577777777777778,0.4413198579476775
8,3,0.5294117647058824,0.7119675456389453,0.5472420571839073
8,4,0.6274509803921569,0.8131176999101527,0.6808737451567333
8,5,0.47058823529411764,0.7856242118537201,0.5359882716070008
9,1,0.35294117647058826,0.7034739454094293,0.425225442341176
9,2,0.5853658536585366,0.7606490872210953,0.6323132769696137
9,3,0.43902439024390244,0.7766666666666667,0.5804553881946084
9,4,0.6486486486486487,0.7521531100478469,0.5872793699075087
9,5,0.45,0.6790960451977401,0.4706025320938792
10,1,0.5,0.7309941520467836,0.4329110304533851
10,2,0.34146341463414637,0.6197033898305085,0.43596022910175436
10,3,0.2962962962962963,0.5923076923076923,0.340399115599212
10,4,0.5853658536585366,0.7936016511867905,0.6348672139578353
10,5,0.7,0.8244047619047619,0.7244570416765569
