rep,fold,f1,roc_auc,pr_auc
1,1,0.5945945945945946,0.7351694915254238,0.5030836716942476
1,2,0.4,0.654320987654321,0.4780330902218383
1,3,0.45,0.7129817444219068,0.5360938680343993
1,4,0.41379310344827586,0.7296875,0.5399080119419102
1,5,0.6046511627906976,0.8677966101694915,0.7695873015873016
2,1,0.5555555555555556,0.7977777777777778,0.5640459642539536
2,2,0.43902439024390244,0.7171610169491525,0.5623009694321677
2,3,0.45714285714285713,0.7133995037220844,0.4803737999891846
2,4,0.5116279069767442,0.7083333333333333,0.5500441181280908
2,5,0.5,0.7708978328173375,0.6456010941277598
3,1,0.5555555555555556,0.797423887587822,0.4084694886010675
3,2,0.3684210526315789,0.6403508771929824,0.494715146689341
3,3,0.7058823529411765,0.9414519906323184,0.852888183245326
3,4,0.38095238095238093,0.712484237074401,0.48497689620640444
3,5,0.4897959183673469,0.6694444444444444,0.584851506873782
4,1,0.45714285714285713,0.8068181818181819,0.5895358535477113
4,2,0.4,0.7050264550264551,0.36020112379481856
4,3,0.6,0.7584745762711864,0.5401694392934382
4,4,0.4186046511627907,0.6813397129186602,0.5991739820043958
4,5,0.5490196078431373,0.7394429469901167,0.5901934306464816
5,1,0.35714285714285715,0.6092307692307692,0.30966327414603273
5,2,0.6808510638297872,0.8783068783068784,0.8283882834293574
5,3,0.5238095238095238,0.788135593220339,0.5298744547690704
5,4,0.5,0.7261904761904762,0.5349239673522386
5,5,0.3157894736842105,0.6047619047619048,0.3929942858221386
6,1,0.5957446808510638,0.8262786596119929,0.7383365936285478
6,2,0.4,0.6823821339950372,0.4480342022230346
6,3,0.5263157894736842,0.7933333333333333,0.6500811376550436
6,4,0.5,0.7548022598870057,0.5149530618413823
6,5,0.41025641025641024,0.6248587570621469,0.4693454328752198
7,1,0.5454545454545454,0.7310405643738977,0.5435911034323523
7,2,0.5128205128205128,0.7552693208430913,0.5201923327835988
7,3,0.4117647058823529,0.7952853598014888,0.5741700455954928
7,4,0.45714285714285713,0.6880952380952381,0.41061440366454627
7,5,0.5106382978723404,0.7688338493292054,0.6765585470435496
8,1,0.4090909090909091,0.7803970223325063,0.606251989126483
8,2,0.4117647058823529,0.6666666666666666,0.44084764731345316
8,3,0.5142857142857142,0.7302231237322515,0.5615848799873492
8,4,0.6274509803921569,0.784366576819407,0.6651264880128909
8,5,0.45714285714285713,0.780580075662043,0.5812583909303366
9,1,0.45,0.7766749379652605,0.5816286411784695
9,2,0.45,0.6835699797160244,0.5762379636042698
9,3,0.5,0.7811111111111111,0.6713451334442068
9,4,0.6153846153846154,0.7674641148325358,0.5852118652958682
9,5,0.45,0.7107344632768361,0.46413174506850263
10,1,0.4782608695652174,0.7777777777777778,0.5165778279770513
10,2,0.34146341463414637,0.5752118644067796,0.4263213082556245
10,3,0.27586206896551724,0.5953846153846154,0.3127188583510131
10,4,0.5853658536585366,0.8090815273477812,0.6242860506687945
10,5,0.7142857142857143,0.8382936507936508,0.7958950060171892
