rep,fold,f1,roc_auc,pr_auc
1,1,0.4090909090909091,0.6555555555555556,0.3696161562688713
1,2,0.5333333333333333,0.8079922027290448,0.6052904435852168
1,3,0.46511627906976744,0.7447033898305084,0.5287015375235712
1,4,0.375,0.7572649572649572,0.4949494949494949
1,5,0.5806451612903226,0.7717528373266078,0.5081813952704415
2,1,0.46153846153846156,0.83994708994709,0.480531197986441
2,2,0.42857142857142855,0.6674473067915692,0.37724824778396204
2,3,0.23529411764705882,0.5880681818181818,0.24828785022009076
2,4,0.5263157894736842,0.7311507936507937,0.5995034046609485
2,5,0.6666666666666666,0.884698275862069,0.6966041364436661
3,1,0.22857142857142856,0.5056818181818181,0.18105080078764288
3,2,0.5,0.7348927875243665,0.46862681966048336
3,3,0.5641025641025641,0.8585607940446649,0.5262879905413842
3,4,0.42424242424242425,0.81875,0.5818597599313733
3,5,0.5909090909090909,0.7760765550239235,0.5836866938946736
4,1,0.41379310344827586,0.8080808080808081,0.5220288353621687
4,2,0.3888888888888889,0.7102272727272727,0.42907875790228733
4,3,0.5238095238095238,0.7677777777777779,0.517275893152725
4,4,0.4878048780487805,0.718266253869969,0.46731112995400365
4,5,0.5106382978723404,0.7435406698564593,0.5321596660961777
5,1,0.4,0.6046153846153846,0.22840824011019228
5,2,0.5957446808510638,0.8284600389863548,0.7171947617165398
5,3,0.41025641025641024,0.7470725995316159,0.4926566526044197
5,4,0.4864864864864865,0.7774011299435029,0.479267625895329
5,5,0.42857142857142855,0.7261904761904762,0.5405741747986988
6,1,0.5106382978723404,0.7236842105263158,0.4710566581538639
6,2,0.43243243243243246,0.7258064516129032,0.5190030875280052
6,3,0.4117647058823529,0.7034739454094293,0.3645947535400208
6,4,0.5714285714285714,0.847457627118644,0.6242407312473102
6,5,0.4,0.7344877344877345,0.4326622525820387
7,1,0.5882352941176471,0.7116402116402116,0.5598874783828633
7,2,0.41025641025641024,0.761786600496278,0.5637398216633785
7,3,0.35,0.6851851851851852,0.2590832592741361
7,4,0.4,0.7002688172043011,0.4239309888062624
7,5,0.5714285714285714,0.8360655737704917,0.542171045915105
8,1,0.35,0.7301587301587301,0.47316312824450396
8,2,0.4864864864864865,0.7084309133489461,0.44234748125725576
8,3,0.5142857142857142,0.670550847457627,0.5241365076345842
8,4,0.6938775510204082,0.8717703349282296,0.5901948813812704
8,5,0.23529411764705882,0.625,0.2879189489569859
9,1,0.34285714285714286,0.705026455026455,0.41869935834719113
9,2,0.46511627906976744,0.7155555555555555,0.45898285133462535
9,3,0.3888888888888889,0.6290322580645161,0.4327441528509872
9,4,0.6190476190476191,0.896551724137931,0.6855439181919445
