rep,fold,f1,roc_auc,pr_auc
1,1,0.41025641025641024,0.6977777777777778,0.41710084701502737
1,2,0.5641025641025641,0.7807017543859649,0.5928599317651606
1,3,0.5128205128205128,0.7838983050847458,0.5868118311864475
1,4,0.35714285714285715,0.8307692307692307,0.5149034058037889
1,5,0.4375,0.7326607818411097,0.5050852328330986
2,1,0.5161290322580645,0.8425925925925926,0.49172670506842336
2,2,0.3157894736842105,0.65807962529274,0.4111411876692843
2,3,0.2857142857142857,0.6264204545454546,0.34225722398136194
2,4,0.5714285714285714,0.7152777777777777,0.557598784580492
2,5,0.631578947368421,0.8976293103448276,0.7306502372623814
3,1,0.2,0.484375,0.16210680246093442
3,2,0.5,0.7183235867446394,0.49654866699577793
3,3,0.5,0.8449131513647643,0.5066356720202874
3,4,0.5,0.8515625,0.5595824789245842
3,5,0.5581395348837209,0.815311004784689,0.6759205423697192
4,1,0.4444444444444444,0.797979797979798,0.5158018393312511
4,2,0.4,0.7102272727272727,0.46595134085364687
4,3,0.5238095238095238,0.7911111111111111,0.49755085212083267
4,4,0.42105263157894735,0.7296181630546955,0.4845472867341587
4,5,0.5,0.738755980861244,0.5356993652869135
5,1,0.26666666666666666,0.6215384615384615,0.23410588204066463
5,2,0.6842105263157895,0.8528265107212476,0.778325158717786
5,3,0.5142857142857142,0.7822014051522248,0.43668273229272503
5,4,0.375,0.7401129943502824,0.4245557145905121
5,5,0.42857142857142855,0.7392857142857143,0.5693275115688908
6,1,0.5128205128205128,0.7255639097744362,0.532640694574914
6,2,0.4117647058823529,0.7543424317617866,0.44971820453110306
6,3,0.26666666666666666,0.6873449131513648,0.31692720596342594
6,4,0.6,0.8259887005649718,0.6499289929847787
6,5,0.47058823529411764,0.8066378066378066,0.5327086964264961
7,1,0.56,0.746031746031746,0.6076863688577585
7,2,0.42424242424242425,0.7866004962779157,0.5164071214071214
7,3,0.25,0.6164021164021164,0.22067520242331537
7,4,0.37037037037037035,0.7473118279569892,0.3848872589971661
7,5,0.6285714285714286,0.8650693568726356,0.7347107834566027
8,1,0.4,0.7724867724867726,0.4965123003733875
8,2,0.5185185185185185,0.7142857142857143,0.5440975934681743
8,3,0.4117647058823529,0.6641949152542372,0.5162743037317885
8,4,0.6666666666666666,0.8976076555023924,0.6827596127464193
8,5,0.25806451612903225,0.6859375,0.2903206600163122
9,1,0.4117647058823529,0.7632275132275131,0.4196037666671228
9,2,0.4,0.6533333333333332,0.46321257100698654
9,3,0.4,0.6426799007444169,0.4572044838747802
9,4,0.6111111111111112,0.8922413793103449,0.6795165100599883
9,5,0.4864864864864865,0.7807909604519774,0.5203203035850541
10,1,0.46153846153846156,0.6592292089249494,0.4291504780729285
10,2,0.5,0.8151364764267989,0.5511391796050336
10,3,0.30303030303030304,0.7425373134328358,0.40130063958188955
10,4,0.5882352941176471,0.8666666666666667,0.6531349206349206
10,5,0.45714285714285713,0.7430555555555556,0.5774749518170571
