rep,fold,f1,roc_auc,pr_auc
1,1,0.43243243243243246,0.6722222222222223,0.4329555317344165
1,2,0.5789473684210527,0.7738791423001949,0.5665778449146616
1,3,0.5238095238095238,0.739406779661017,0.53419242752238
1,4,0.4827586206896552,0.8803418803418804,0.5400978407557355
1,5,0.5,0.7528373266078183,0.4971401795505689
2,1,0.5294117647058824,0.8306878306878307,0.5152315838990608
2,2,0.4444444444444444,0.6791569086651054,0.4400652703486555
2,3,0.3225806451612903,0.6292613636363636,0.3086181480621342
2,4,0.5882352941176471,0.7311507936507937,0.5675946485299739
2,5,0.6046511627906976,0.8890086206896552,0.6941560797756292
3,1,0.25806451612903225,0.5681818181818181,0.20649152689961975
3,2,0.5641025641025641,0.7105263157894737,0.45269531952209374
3,3,0.6060606060606061,0.8957816377171217,0.6147284020105486
3,4,0.5,0.8390625,0.6832586763518966
3,5,0.5531914893617021,0.7722488038277512,0.6506080033306554
4,1,0.4827586206896552,0.8787878787878787,0.6248817913730194
4,2,0.38461538461538464,0.6789772727272727,0.43101966838513184
4,3,0.5789473684210527,0.8211111111111111,0.5735955087031028
4,4,0.46153846153846156,0.6893704850361196,0.4898450358687494
4,5,0.5652173913043478,0.7397129186602871,0.4734283822490146
5,1,0.38461538461538464,0.6246153846153846,0.2690646842938203
5,2,0.6666666666666666,0.8469785575048733,0.7895722139542889
5,3,0.5555555555555556,0.8196721311475409,0.6162204337116758
5,4,0.4117647058823529,0.7446327683615819,0.41442184795722736
5,5,0.45,0.6880952380952381,0.3852179980874525
6,1,0.5853658536585366,0.7697368421052632,0.6123132989306292
6,2,0.48484848484848486,0.7444168734491314,0.47404285215769504
6,3,0.3448275862068966,0.663771712158809,0.32787951158530515
6,4,0.6,0.8259887005649718,0.649911471781037
6,5,0.45714285714285713,0.7864357864357864,0.475411558470769
7,1,0.6122448979591837,0.771604938271605,0.6322005537278095
7,2,0.5,0.7841191066997519,0.579288693429852
7,3,0.30303030303030304,0.6203703703703705,0.27533794207181306
7,4,0.42857142857142855,0.6935483870967742,0.3812742487926122
7,5,0.6111111111111112,0.8675914249684741,0.6443343886114553
8,1,0.47368421052631576,0.8002645502645502,0.4785699967125798
8,2,0.48484848484848486,0.667447306791569,0.5886077650813325
8,3,0.4666666666666667,0.6970338983050848,0.5438452248371713
8,4,0.6956521739130435,0.8822966507177034,0.6406870118179204
8,5,0.3225806451612903,0.7281249999999999,0.26602008177008174
9,1,0.47058823529411764,0.7804232804232804,0.4584732293479758
9,2,0.375,0.6522222222222223,0.48476168888511095
9,3,0.42424242424242425,0.6079404466501241,0.3978421364874021
9,4,0.65,0.8825431034482759,0.728743524653451
9,5,0.5641025641025641,0.8259887005649718,0.5134045651891961
10,1,0.4864864864864865,0.6561866125760649,0.44815525146774016
10,2,0.4444444444444444,0.7878411910669975,0.4542508061738831
10,3,0.4375,0.7630597014925373,0.4242326711386309
10,4,0.6060606060606061,0.8598870056497174,0.7103146318090149
10,5,0.55,0.7559523809523809,0.6065980633719815
