rep,fold,f1,roc_auc,pr_auc
1,1,0.375,0.6555555555555556,0.389267236288431
1,2,0.5714285714285714,0.7729044834307992,0.5589184830046898
1,3,0.4375,0.6832627118644068,0.4374553560957559
1,4,0.37037037037037035,0.8034188034188035,0.4726312215476302
1,5,0.4,0.733921815889029,0.39529247698469505
2,1,0.5161290322580645,0.8306878306878307,0.440887658663987
2,2,0.4666666666666667,0.6697892271662764,0.44001825081837154
2,3,0.25,0.5411931818181819,0.2661264669294888
2,4,0.4,0.7212301587301587,0.5587371571595716
2,5,0.5,0.8071120689655172,0.562808151383017
3,1,0.16,0.5227272727272727,0.17424695564651366
3,2,0.4444444444444444,0.7348927875243665,0.5003029274284121
3,3,0.4666666666666667,0.815136476426799,0.472788263144598
3,4,0.5,0.7734375,0.448669825186853
3,5,0.55,0.7177033492822966,0.5554583060200298
4,1,0.34782608695652173,0.7912457912457911,0.36621959137694776
4,2,0.25,0.6221590909090909,0.30247777886344973
4,3,0.5555555555555556,0.7311111111111112,0.48140900057039404
4,4,0.4375,0.7120743034055728,0.5201499426412921
4,5,0.5,0.7406698564593301,0.5086836195266238
5,1,0.34782608695652173,0.5969230769230769,0.37125341970647685
5,2,0.5789473684210527,0.8099415204678363,0.6545864265477157
5,3,0.37037037037037035,0.7763466042154568,0.3947546671943453
5,4,0.4166666666666667,0.727683615819209,0.4795929924958058
5,5,0.41025641025641024,0.6607142857142857,0.3430571919656684
6,1,0.43243243243243246,0.7255639097744361,0.45233406899451534
6,2,0.4666666666666667,0.6414392059553351,0.3693242759555679
6,3,0.18181818181818182,0.6439205955334988,0.3058879617725626
6,4,0.6666666666666666,0.8655367231638418,0.6964402738183225
6,5,0.3448275862068966,0.7027417027417028,0.35665423008455643
7,1,0.5853658536585366,0.6984126984126985,0.48034930368022133
7,2,0.38461538461538464,0.7382133995037221,0.5233102534599663
7,3,0.3333333333333333,0.6415343915343915,0.23276239621086442
7,4,0.4,0.7056451612903225,0.49918794092201313
7,5,0.41379310344827586,0.78562421185372,0.40068962252908735
8,1,0.38461538461538464,0.7751322751322751,0.4371082619152283
8,2,0.3076923076923077,0.6522248243559718,0.3408795150916948
8,3,0.4666666666666667,0.6758474576271186,0.43749150563262285
8,4,0.6666666666666666,0.8449760765550239,0.6369026203369683
8,5,0.2222222222222222,0.5828125,0.19282570423699846
9,1,0.41379310344827586,0.7208994708994708,0.3707389726840527
9,2,0.34285714285714286,0.6477777777777777,0.4328061137198414
9,3,0.4166666666666667,0.5806451612903226,0.31812173945307043
9,4,0.5161290322580645,0.8265086206896551,0.6268153251823365
9,5,0.5,0.8,0.5482678432678433
10,1,0.3333333333333333,0.6470588235294117,0.39263902801778566
10,2,0.47058823529411764,0.7754342431761787,0.4741972043770622
10,3,0.2608695652173913,0.712686567164179,0.21998146394845564
10,4,0.5517241379310345,0.8169491525423729,0.5586351044415561
10,5,0.5142857142857142,0.6964285714285715,0.5332847409236299
