rep,fold,f1,roc_auc,pr_auc
1,1,0.18181818181818182,0.3703703703703704,0.3506132756132756
1,2,0.5714285714285714,0.9285714285714286,0.7
1,3,0.6666666666666666,0.9666666666666667,0.8055555555555556
1,4,0.6666666666666666,0.9736842105263158,0.9166666666666666
1,5,0.5,0.7236842105263158,0.5089285714285714
2,1,0.8,0.968421052631579,0.9028571428571428
2,2,0.6666666666666666,0.8815789473684211,0.8269230769230769
2,3,0.2857142857142857,0.6,0.4471153846153846
2,4,0.3333333333333333,0.4868421052631579,0.29345238095238096
2,5,0.3333333333333333,0.75,0.49831649831649827
3,1,0.5714285714285714,0.703125,0.673139880952381
3,2,0.4444444444444444,0.6447368421052632,0.5267857142857143
3,3,0.6666666666666666,0.9666666666666667,0.8666666666666667
3,4,0.2857142857142857,0.6666666666666666,0.31666666666666665
3,5,0.4,0.7857142857142857,0.5909090909090909
4,1,0.8888888888888888,0.9874999999999999,0.95
4,2,0.3333333333333333,0.631578947368421,0.3373949579831933
4,3,0.6,1.0,1.0
4,4,0.5,0.5588235294117647,0.4035714285714285
4,5,0.0,0.5714285714285714,0.1388888888888889
5,1,0.36363636363636365,0.6574074074074074,0.5640202189115233
5,2,0.4444444444444444,0.6842105263157895,0.5327380952380952
5,3,0.5333333333333333,0.6960784313725491,0.6750841750841751
5,4,0.6666666666666666,1.0,1.0
5,5,0.6666666666666666,0.9545454545454546,0.5
6,1,0.5454545454545454,0.7685185185185186,0.6984126984126984
6,2,0.25,1.0,1.0
6,3,0.4,0.7380952380952381,0.5769230769230769
6,4,0.6153846153846154,0.6339285714285714,0.5452380952380953
6,5,0.5714285714285714,0.8333333333333333,0.7435897435897436
7,1,0.2222222222222222,0.6190476190476191,0.19914529914529916
7,2,0.6,1.0,1.0
7,3,0.5,0.7111111111111111,0.43653846153846154
7,4,0.5,0.6666666666666666,0.31666666666666665
7,5,0.6153846153846154,0.7254901960784313,0.7100389863547758
8,1,0.36363636363636365,0.7375,0.6243589743589744
8,2,0.6666666666666666,0.6666666666666666,0.7101449275362319
8,3,0.5714285714285714,0.7833333333333332,0.46031746031746035
8,4,0.25,0.5789473684210527,0.42938311688311687
8,5,0.6666666666666666,0.8333333333333334,0.6390476190476191
9,1,0.2857142857142857,0.5079365079365079,0.4264069264069264
9,2,0.5,0.6333333333333333,0.6412134740259741
9,3,0.5714285714285714,1.0,1.0
9,4,0.5714285714285714,0.9,0.6428571428571428
9,5,0.5714285714285714,0.8166666666666667,0.7380952380952381
10,1,0.5714285714285714,0.8253968253968254,0.5833333333333333
10,2,0.25,0.7142857142857143,0.5714285714285714
10,3,0.25,0.5333333333333333,0.42095238095238097
10,4,0.8,0.9607843137254901,0.9166666666666665
10,5,0.3333333333333333,0.6166666666666667,0.45138888888888884
