rep,fold,f1,roc_auc,pr_auc
1,1,0.36363636363636365,0.6851851851851852,0.580104106419896
1,2,0.8,0.9761904761904762,0.8333333333333333
1,3,0.4,0.9,0.6805555555555556
1,4,0.6666666666666666,0.9342105263157896,0.8611111111111112
1,5,0.4444444444444444,0.8157894736842105,0.47632575757575757
2,1,0.8,0.905263157894737,0.8714285714285714
2,2,0.6666666666666666,0.9473684210526315,0.8303571428571428
2,3,0.2222222222222222,0.7666666666666667,0.5119047619047619
2,4,0.4444444444444444,0.631578947368421,0.3431818181818182
2,5,0.2857142857142857,0.75,0.5
3,1,0.5714285714285714,0.8515625,0.7970508658008658
3,2,0.2222222222222222,0.6710526315789473,0.46388888888888885
3,3,0.6666666666666666,0.9333333333333333,0.7222222222222222
3,4,0.2857142857142857,0.7142857142857143,0.25
3,5,0.8,1.0,1.0
4,1,0.8,1.0,1.0
4,2,0.5,0.7894736842105263,0.5409090909090909
4,3,0.6,1.0,1.0
4,4,0.36363636363636365,0.7450980392156863,0.5896825396825397
4,5,0.0,0.5714285714285714,0.13942307692307693
5,1,0.5454545454545454,0.7407407407407408,0.6807692307692308
5,2,0.5,0.868421052631579,0.6575757575757576
5,3,0.5,0.8431372549019608,0.7435897435897436
5,4,0.5714285714285714,0.9761904761904762,0.8333333333333333
5,5,0.3333333333333333,0.8636363636363636,0.25
6,1,0.5714285714285714,0.8240740740740741,0.7224358974358974
6,2,0.6666666666666666,1.0,1.0
6,3,0.4,0.8571428571428572,0.625
6,4,0.42857142857142855,0.6964285714285714,0.5517617303331589
6,5,0.5,0.9333333333333333,0.7222222222222222
7,1,0.2857142857142857,0.8571428571428571,0.42499999999999993
7,2,0.6,1.0,1.0
7,3,0.6666666666666666,0.7999999999999999,0.6269230769230769
7,4,0.2857142857142857,0.8095238095238095,0.6
7,5,0.5454545454545454,0.8137254901960784,0.6785714285714285
8,1,0.5714285714285714,0.7875,0.6464285714285714
8,2,0.5,0.8666666666666667,0.7575757575757576
8,3,0.6666666666666666,0.9833333333333333,0.9166666666666665
8,4,0.2222222222222222,0.5921052631578947,0.2791666666666667
8,5,0.5454545454545454,0.8777777777777778,0.7142857142857142
9,1,0.2857142857142857,0.6190476190476191,0.4574074074074074
9,2,0.5333333333333333,0.75,0.6611111111111111
9,3,0.5,1.0,1.0
9,4,0.5,0.85,0.6464646464646464
9,5,0.6666666666666666,0.9833333333333333,0.9166666666666665
10,1,0.6666666666666666,0.9365079365079365,0.7222222222222223
10,2,0.2857142857142857,0.9047619047619048,0.6666666666666666
10,3,0.4,0.7222222222222222,0.5952272727272727
10,4,0.7142857142857143,0.892156862745098,0.7180555555555556
10,5,0.2857142857142857,0.7333333333333333,0.4909090909090909
