rep,fold,f1,roc_auc,pr_auc
1,1,0.2,0.4814814814814815,0.40378787878787875
1,2,0.3333333333333333,0.9047619047619048,0.6666666666666666
1,3,0.6,0.9833333333333333,0.9166666666666665
1,4,0.6666666666666666,0.855263157894737,0.6810897435897436
1,5,0.6,0.8421052631578947,0.525
2,1,0.7272727272727273,0.8736842105263158,0.8588235294117648
2,2,0.75,0.9342105263157895,0.6458333333333333
2,3,0.5,0.75,0.6143790849673203
2,4,0.18181818181818182,0.5,0.2428830227743271
2,5,0.2857142857142857,0.7333333333333333,0.4909090909090909
3,1,0.5882352941176471,0.7890625,0.752529761904762
3,2,0.4444444444444444,0.618421052631579,0.4866600790513834
3,3,0.6666666666666666,0.9333333333333333,0.5888888888888889
3,4,0.2857142857142857,0.738095238095238,0.25757575757575757
3,5,0.3333333333333333,0.9285714285714286,0.7
4,1,0.6666666666666666,0.9874999999999999,0.95
4,2,0.2857142857142857,0.6842105263157895,0.35833333333333334
4,3,0.75,0.9833333333333333,0.9166666666666665
4,4,0.46153846153846156,0.5980392156862745,0.46247733747733744
4,5,0.0,0.4285714285714286,0.10989010989010989
5,1,0.4,0.6574074074074074,0.5884135472370766
5,2,0.5454545454545454,0.7631578947368421,0.619298245614035
5,3,0.5714285714285714,0.8137254901960784,0.7236111111111111
5,4,0.6666666666666666,0.9523809523809523,0.5833333333333333
5,5,0.0,0.7727272727272727,0.16666666666666666
6,1,0.5333333333333333,0.7592592592592593,0.531166932482722
6,2,0.4,1.0,1.0
6,3,0.3333333333333333,0.8095238095238095,0.6
6,4,0.46153846153846156,0.7142857142857142,0.6096879311165025
6,5,0.6666666666666666,0.6833333333333332,0.4388888888888889
7,1,0.2857142857142857,0.6190476190476191,0.2342171717171717
7,2,0.6666666666666666,1.0,1.0
7,3,0.4444444444444444,0.7555555555555555,0.5848841354723708
7,4,0.5,0.9285714285714286,0.7
7,5,0.5,0.6764705882352942,0.6372282608695652
8,1,0.5,0.725,0.6202380952380953
8,2,0.4444444444444444,0.8666666666666667,0.7575757575757576
8,3,0.5,0.9,0.5317460317460317
8,4,0.2857142857142857,0.3157894736842105,0.1956970431193072
8,5,0.6153846153846154,0.8999999999999999,0.7087301587301587
9,1,0.5714285714285714,0.6190476190476191,0.32125603864734303
9,2,0.375,0.675,0.6206600782258677
9,3,0.5714285714285714,1.0,1.0
9,4,0.4,0.75,0.5625
9,5,0.8,0.7833333333333333,0.7291666666666666
10,1,0.5714285714285714,0.8888888888888888,0.6666666666666666
10,2,0.3333333333333333,0.6190476190476191,0.3088235294117647
10,3,0.2222222222222222,0.5888888888888889,0.44153846153846155
10,4,0.5882352941176471,0.8823529411764706,0.6551587301587302
10,5,0.6666666666666666,0.85,0.6464646464646464
