rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.5462962962962963,0.29386724386724383
1,2,0.0,1.0,1.0
1,3,0.5714285714285714,0.9166666666666666,0.7916666666666666
1,4,0.6666666666666666,0.6973684210526315,0.48514492753623184
1,5,0.5714285714285714,0.6973684210526315,0.42763157894736836
2,1,0.8888888888888888,0.8,0.8416666666666667
2,2,0.3333333333333333,0.855263157894737,0.4861111111111111
2,3,0.5,0.8666666666666666,0.5
2,4,0.0,0.5789473684210527,0.256547619047619
2,5,0.0,0.48333333333333334,0.18382352941176472
3,1,0.6153846153846154,0.75,0.7216006216006216
3,2,0.3333333333333333,0.5,0.28590225563909777
3,3,0.4,0.95,0.6388888888888888
3,4,0.0,0.6666666666666666,0.20192307692307693
3,5,0.4,0.8571428571428571,0.39285714285714285
4,1,1.0,1.0,1.0
4,2,0.3333333333333333,0.6710526315789475,0.5538949275362319
4,3,0.2857142857142857,0.8333333333333334,0.36507936507936506
4,4,0.25,0.6470588235294117,0.5084175084175084
4,5,0.0,0.4285714285714286,0.10795454545454546
5,1,0.0,0.4722222222222222,0.2791666666666667
5,2,0.8571428571428571,0.8815789473684211,0.8269230769230769
5,3,0.6666666666666666,0.7549019607843137,0.7000674763832658
5,4,0.4,0.9285714285714286,0.5
5,5,0.0,0.9090909090909091,0.3333333333333333
6,1,0.6,0.7222222222222222,0.644235836627141
6,2,0.5,0.9090909090909091,0.3333333333333333
6,3,0.0,0.5714285714285714,0.15
6,4,0.4,0.6339285714285714,0.5619047619047619
6,5,0.3333333333333333,0.8166666666666667,0.4
7,1,0.2857142857142857,0.6349206349206349,0.2440087145969499
7,2,0.3333333333333333,0.8333333333333334,0.4027777777777778
7,3,0.3333333333333333,0.5888888888888888,0.45181159420289857
7,4,0.6666666666666666,0.9523809523809523,0.75
7,5,0.5,0.7843137254901961,0.7500674763832659
8,1,0.25,0.5375,0.2589962121212121
8,2,0.4,0.7833333333333333,0.5435897435897437
8,3,0.6666666666666666,0.9166666666666667,0.6984126984126984
8,4,0.0,0.4078947368421053,0.25974810213940647
8,5,0.6666666666666666,0.9000000000000001,0.7742424242424242
9,1,0.6666666666666666,0.6984126984126984,0.4388888888888889
9,2,0.0,0.5583333333333333,0.40412210338680926
9,3,0.5714285714285714,0.9047619047619049,0.45
9,4,0.4,0.6,0.34347826086956523
9,5,0.8,0.9166666666666666,0.7916666666666666
10,1,0.8,0.7301587301587301,0.7166666666666667
10,2,0.4,0.738095238095238,0.25757575757575757
10,3,0.2222222222222222,0.5111111111111112,0.3996562261268144
10,4,0.5,0.9019607843137254,0.7842592592592592
10,5,0.3333333333333333,0.7833333333333333,0.5714285714285714
