rep,fold,f1,roc_auc,pr_auc
1,1,0.36363636363636365,0.6111111111111112,0.4803675856307435
1,2,0.8,0.9761904761904762,0.8333333333333333
1,3,0.6,0.9666666666666667,0.8055555555555556
1,4,0.6666666666666666,0.8026315789473685,0.5416666666666666
1,5,0.4444444444444444,0.7236842105263158,0.4255952380952381
2,1,0.6666666666666666,0.8421052631578948,0.8500000000000001
2,2,0.8888888888888888,1.0,1.0
2,3,0.5714285714285714,0.8666666666666667,0.6555555555555554
2,4,0.2222222222222222,0.35526315789473684,0.17358058608058607
2,5,0.2857142857142857,0.65,0.2991452991452992
3,1,0.5333333333333333,0.6640625,0.46738816738816735
3,2,0.4444444444444444,0.6447368421052632,0.6053113553113554
3,3,0.75,0.9666666666666667,0.8666666666666667
3,4,0.2857142857142857,0.6904761904761905,0.24358974358974358
3,5,0.8,1.0,1.0
4,1,0.7272727272727273,0.9874999999999999,0.95
4,2,0.6666666666666666,0.7105263157894737,0.48712121212121207
4,3,0.5714285714285714,0.8666666666666666,0.5
4,4,0.5,0.6176470588235294,0.3985145573380867
4,5,0.0,0.6666666666666667,0.1736111111111111
5,1,0.4444444444444444,0.6203703703703703,0.493859649122807
5,2,0.6666666666666666,0.881578947368421,0.5791666666666666
5,3,0.5714285714285714,0.7450980392156863,0.6789682539682539
5,4,0.5,0.9523809523809523,0.5833333333333333
5,5,0.5,0.9090909090909091,0.3333333333333333
6,1,0.5714285714285714,0.7962962962962963,0.7837301587301587
6,2,0.5,0.9545454545454546,0.5
6,3,0.4,0.8095238095238095,0.6
6,4,0.5333333333333333,0.625,0.5200680272108844
6,5,0.6666666666666666,0.8833333333333333,0.5138888888888888
7,1,0.25,0.746031746031746,0.28535353535353536
7,2,0.5,0.8666666666666667,0.7575757575757576
7,3,0.6666666666666666,0.7111111111111111,0.4999999999999999
7,4,0.5714285714285714,0.9761904761904762,0.8333333333333333
7,5,0.6666666666666666,0.7058823529411764,0.704970760233918
8,1,0.5714285714285714,0.8,0.6515151515151515
8,2,0.2857142857142857,0.6166666666666667,0.45555555555555555
8,3,0.75,0.95,0.6388888888888888
8,4,0.2222222222222222,0.44736842105263164,0.2656746031746032
8,5,0.7692307692307693,0.9,0.6783333333333332
9,1,0.4444444444444444,0.6825396825396826,0.43650793650793646
9,2,0.5333333333333333,0.6416666666666667,0.5186126373626374
9,3,0.5714285714285714,1.0,1.0
9,4,0.5,0.7166666666666667,0.39215686274509803
9,5,0.8,0.9333333333333333,0.8095238095238095
10,1,0.5714285714285714,0.8571428571428572,0.6464646464646464
10,2,0.2857142857142857,0.8333333333333333,0.30952380952380953
10,3,0.4,0.5666666666666667,0.5401143790849674
10,4,0.7692307692307693,0.9019607843137255,0.8571428571428571
10,5,0.5714285714285714,0.85,0.6464646464646464
