rep,fold,f1,roc_auc,pr_auc
1,1,0.25,0.32407407407407407,0.35189299005088476
1,2,0.8,1.0,1.0
1,3,0.6666666666666666,0.9500000000000001,0.7555555555555555
1,4,0.75,0.75,0.5291666666666667
1,5,0.5,0.7105263157894737,0.4305555555555556
2,1,0.8888888888888888,0.8,0.8416666666666667
2,2,0.75,0.7236842105263158,0.5246212121212122
2,3,0.5,0.85,0.6464646464646464
2,4,0.25,0.25000000000000006,0.16866883116883116
2,5,0.4,0.6499999999999999,0.4944444444444444
3,1,0.5714285714285714,0.71875,0.7185340802987862
3,2,0.5714285714285714,0.6973684210526315,0.6309523809523809
3,3,0.8571428571428571,0.95,0.6388888888888888
3,4,0.3333333333333333,0.47619047619047616,0.17261904761904762
3,5,0.5,0.5,0.5434782608695652
4,1,0.8888888888888888,1.0,1.0
4,2,0.6666666666666666,0.5,0.5775691699604744
4,3,0.6666666666666666,0.6666666666666666,0.4365079365079365
4,4,0.46153846153846156,0.6274509803921569,0.42037037037037034
4,5,0.0,0.40476190476190477,0.10818713450292397
5,1,0.25,0.2592592592592592,0.3282640478006611
5,2,0.75,0.881578947368421,0.5791666666666666
5,3,0.6666666666666666,0.7843137254901961,0.7567099567099567
5,4,0.8,0.9523809523809523,0.5833333333333333
5,5,0.4,0.8636363636363636,0.25
6,1,0.6,0.5462962962962963,0.5230104246122552
6,2,0.5,1.0,1.0
6,3,0.5,0.8571428571428572,0.625
6,4,0.6153846153846154,0.5892857142857143,0.5854772211915069
6,5,0.5714285714285714,0.8833333333333334,0.47619047619047616
7,1,0.2857142857142857,0.7936507936507937,0.31746031746031744
7,2,0.5,0.7,0.6055555555555555
7,3,0.5,0.4,0.344754177934956
7,4,0.8,1.0,1.0
7,5,0.8,0.7156862745098039,0.7581453634085212
8,1,0.6666666666666666,0.7499999999999999,0.6726190476190477
8,2,0.3333333333333333,0.5333333333333333,0.4338235294117647
8,3,0.5714285714285714,0.6499999999999999,0.43434343434343436
8,4,0.2857142857142857,0.4473684210526315,0.24764492753623185
8,5,0.8333333333333334,0.9777777777777777,0.9266666666666665
9,1,0.5714285714285714,0.6666666666666666,0.3277777777777778
9,2,0.42857142857142855,0.45,0.3988171185539607
9,3,0.8,1.0,1.0
9,4,0.5714285714285714,0.6666666666666666,0.4365079365079365
9,5,0.8,0.95,0.8333333333333333
10,1,0.6666666666666666,0.9365079365079365,0.7222222222222223
10,2,0.3333333333333333,0.8333333333333334,0.375
10,3,0.2857142857142857,0.3111111111111111,0.34378787878787875
10,4,0.7692307692307693,0.8137254901960784,0.7226190476190476
10,5,0.6666666666666666,0.6833333333333332,0.4388888888888889
