rep,fold,f1,roc_auc,pr_auc
1,1,0.3157894736842105,0.6640625,0.19498737373737374
1,2,0.3333333333333333,0.7806451612903225,0.3776143790849673
1,3,0.0,0.6470588235294118,0.11513157894736842
1,4,0.2,0.7647058823529411,0.22916666666666666
1,5,0.13333333333333333,0.6764705882352942,0.1213235294117647
2,1,0.1111111111111111,0.6323529411764706,0.10555555555555556
2,2,0.26666666666666666,0.671875,0.2184782608695652
2,3,0.2,0.7794117647058822,0.16666666666666666
2,4,0.2857142857142857,0.7578125,0.2791666666666667
2,5,0.2857142857142857,0.8383838383838383,0.4907407407407407
3,1,0.13333333333333333,0.6262626262626263,0.13596491228070176
3,2,0.15384615384615385,0.6363636363636364,0.1472222222222222
3,3,0.2,0.8529411764705883,0.2361111111111111
3,4,0.42857142857142855,0.8203125,0.36090686274509803
3,5,0.16666666666666666,0.696969696969697,0.17485380116959065
4,1,0.2,0.8857142857142857,0.2
4,2,0.6153846153846154,0.9453125,0.5666666666666667
4,3,0.0,0.6911764705882353,0.125
4,4,0.14285714285714285,0.6328125,0.17074102368220015
4,5,0.1111111111111111,0.5234375,0.15071428571428572
5,1,0.3076923076923077,0.8193548387096775,0.3433333333333333
5,2,0.36363636363636365,0.7421875,0.26513157894736844
5,3,0.11764705882352941,0.6470588235294117,0.16847826086956522
5,4,0.18181818181818182,0.7794117647058824,0.23333333333333334
5,5,0.16666666666666666,0.75,0.16666666666666669
6,1,0.42857142857142855,0.8671875,0.5838235294117646
6,2,0.4444444444444444,0.9411764705882353,0.45
6,3,0.13333333333333333,0.6911764705882353,0.12142857142857143
6,4,0.0,0.5390625,0.1381162181471779
6,5,0.2,0.6565656565656566,0.17539682539682538
7,1,0.15384615384615385,0.71875,0.21250000000000002
7,2,0.5454545454545454,0.8828125,0.3875
7,3,0.26666666666666666,0.8282828282828283,0.3402777777777778
7,4,0.15384615384615385,0.7058823529411764,0.14215686274509803
7,5,0.0,0.39705882352941174,0.06631578947368422
8,1,0.13333333333333333,0.6464646464646464,0.14215686274509803
8,2,0.25,0.8857142857142857,0.2
8,3,0.46153846153846156,0.903225806451613,0.6858119658119658
8,4,0.0,0.5882352941176471,0.09429824561403508
8,5,0.25,0.6875,0.2515948963317384
9,1,0.14285714285714285,0.7352941176470589,0.18382352941176472
9,2,0.35294117647058826,0.8686868686868686,0.33535353535353535
9,3,0.3076923076923077,0.6387096774193548,0.22543904518329072
9,4,0.2222222222222222,0.8529411764705882,0.225
9,5,0.0,0.6161616161616162,0.1304093567251462
10,1,0.3,0.7265625,0.2173611111111111
10,2,0.0,0.5735294117647058,0.09545454545454546
10,3,0.2,0.7373737373737375,0.1888888888888889
10,4,0.26666666666666666,0.7578125,0.3107638888888889
10,5,0.2222222222222222,0.6911764705882353,0.175
