rep,fold,f1,roc_auc,pr_auc
1,1,0.46153846153846156,0.796875,0.40062111801242234
1,2,0.3333333333333333,0.8387096774193548,0.3882034632034632
1,3,0.0,0.5441176470588235,0.08893280632411067
1,4,0.15384615384615385,0.8382352941176471,0.5769230769230769
1,5,0.18181818181818182,0.7058823529411764,0.21666666666666667
2,1,0.13333333333333333,0.7058823529411764,0.17763157894736842
2,2,0.3076923076923077,0.625,0.41703703703703704
2,3,0.25,0.8676470588235294,0.2777777777777778
2,4,0.3333333333333333,0.8359375,0.32007575757575757
2,5,0.2857142857142857,0.8181818181818181,0.49107142857142855
3,1,0.25,0.7878787878787878,0.30000000000000004
3,2,0.18181818181818182,0.6464646464646464,0.2564102564102564
3,3,0.25,0.8676470588235294,0.24285714285714285
3,4,0.4,0.8671875,0.5681818181818181
3,5,0.15384615384615385,0.6565656565656566,0.17539682539682538
4,1,0.25,0.9714285714285714,0.5
4,2,0.6153846153846154,0.9921875,0.95
4,3,0.0,0.6029411764705882,0.09722222222222221
4,4,0.2222222222222222,0.578125,0.19332298136645962
4,5,0.16666666666666666,0.703125,0.19821428571428573
5,1,0.3333333333333333,0.864516129032258,0.5208119658119659
5,2,0.3076923076923077,0.7109375,0.29542606516290726
5,3,0.2,0.6617647058823529,0.14761904761904762
5,4,0.18181818181818182,0.8088235294117646,0.3214285714285714
5,5,0.2222222222222222,0.7794117647058824,0.16233766233766234
6,1,0.5,0.8359375,0.6704545454545454
6,2,0.4444444444444444,0.9117647058823529,0.3333333333333333
6,3,0.18181818181818182,0.8235294117647058,0.2
6,4,0.0,0.640625,0.16981074481074482
6,5,0.16666666666666666,0.696969696969697,0.275
7,1,0.14285714285714285,0.6953125,0.27162511401641837
7,2,0.5454545454545454,0.921875,0.7333333333333334
7,3,0.4444444444444444,0.808080808080808,0.3366013071895425
7,4,0.16666666666666666,0.7647058823529411,0.15476190476190477
7,5,0.0,0.5294117647058824,0.09
8,1,0.16666666666666666,0.6969696969696969,0.19155844155844154
8,2,0.16666666666666666,1.0,1.0
8,3,0.6,0.9483870967741935,0.7644444444444445
8,4,0.0,0.6176470588235294,0.10096153846153846
8,5,0.3333333333333333,0.6953125,0.23914742664742664
9,1,0.2222222222222222,0.7352941176470589,0.2222222222222222
9,2,0.42857142857142855,0.8888888888888888,0.37777777777777777
9,3,0.3333333333333333,0.767741935483871,0.4434782608695652
9,4,0.18181818181818182,0.8235294117647058,0.2
9,5,0.0,0.6868686868686869,0.15782828282828282
10,1,0.4,0.84375,0.3333333333333333
10,2,0.0,0.5441176470588235,0.09166666666666667
10,3,0.2,0.8181818181818182,0.2685185185185185
10,4,0.3076923076923077,0.78125,0.4338235294117647
10,5,0.2,0.6764705882352942,0.2121212121212121
