rep,fold,f1,roc_auc,pr_auc
1,1,0.5,0.90625,0.6904761904761905
1,2,0.3333333333333333,0.7354838709677419,0.26146274777853723
1,3,0.0,0.7352941176470588,0.14285714285714285
1,4,0.2,0.8529411764705883,0.2361111111111111
1,5,0.2222222222222222,0.8676470588235293,0.35
2,1,0.16666666666666666,0.7794117647058822,0.16666666666666666
2,2,0.3333333333333333,0.796875,0.32965686274509803
2,3,0.4,0.926470588235294,0.41666666666666663
2,4,0.2222222222222222,0.75,0.24642857142857144
2,5,0.2857142857142857,0.8080808080808082,0.47086247086247085
3,1,0.25,0.7575757575757577,0.1987012987012987
3,2,0.3333333333333333,0.7878787878787878,0.33040935672514615
3,3,0.3333333333333333,0.8970588235294117,0.375
3,4,0.36363636363636365,0.828125,0.4305555555555556
3,5,0.15384615384615385,0.7676767676767677,0.1994949494949495
4,1,0.3333333333333333,0.9714285714285714,0.5
4,2,0.8,0.9921875,0.95
4,3,0.0,0.6764705882352942,0.11858974358974358
4,4,0.2,0.78125,0.2583333333333333
4,5,0.13333333333333333,0.625,0.16393849206349206
5,1,0.4,0.9032258064516129,0.5888888888888888
5,2,0.2857142857142857,0.765625,0.24734848484848485
5,3,0.3333333333333333,0.8529411764705882,0.5833333333333334
5,4,0.16666666666666666,0.7647058823529411,0.19166666666666665
5,5,0.25,0.7058823529411764,0.15555555555555556
6,1,0.5,0.9375,0.7784090909090909
6,2,0.2222222222222222,0.7647058823529412,0.16025641025641024
6,3,0.2222222222222222,0.7941176470588236,0.31666666666666665
6,4,0.0,0.765625,0.24377705627705626
6,5,0.36363636363636365,0.8181818181818182,0.2777777777777778
7,1,0.2,0.828125,0.2998376623376623
7,2,0.6666666666666666,0.984375,0.9166666666666666
7,3,0.18181818181818182,0.7575757575757576,0.2342171717171717
7,4,0.18181818181818182,0.7205882352941178,0.13247863247863248
7,5,0.2222222222222222,0.7058823529411764,0.17763157894736842
8,1,0.36363636363636365,0.8080808080808081,0.2297979797979798
8,2,0.16666666666666666,0.8857142857142857,0.2
8,3,0.4444444444444444,0.8838709677419354,0.6383333333333334
8,4,0.0,0.7941176470588235,0.17142857142857143
8,5,0.3333333333333333,0.796875,0.3416666666666666
9,1,0.2857142857142857,0.8529411764705882,0.225
9,2,0.3333333333333333,0.8181818181818181,0.7142857142857142
9,3,0.3076923076923077,0.7806451612903225,0.3431077694235589
9,4,0.16666666666666666,0.7647058823529411,0.17142857142857143
9,5,0.3333333333333333,0.8787878787878787,0.34444444444444444
10,1,0.42857142857142855,0.8671875,0.4568452380952381
10,2,0.0,0.7647058823529411,0.17142857142857143
10,3,0.4444444444444444,0.898989898989899,0.3694444444444444
10,4,0.18181818181818182,0.6875,0.2067982456140351
10,5,0.18181818181818182,0.7647058823529412,0.1534090909090909
