rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.8359375,0.3888888888888889
1,2,0.2,0.832258064516129,0.40793650793650793
1,3,0.0,0.6911764705882353,0.12222222222222222
1,4,0.4444444444444444,0.8970588235294117,0.30952380952380953
1,5,0.2222222222222222,0.8088235294117647,0.24358974358974358
2,1,0.14285714285714285,0.7794117647058822,0.19642857142857142
2,2,0.36363636363636365,0.8125,0.38055555555555554
2,3,0.2222222222222222,0.8529411764705883,0.2361111111111111
2,4,0.4,0.8515625,0.32916666666666666
2,5,0.3333333333333333,0.7777777777777779,0.45604395604395603
3,1,0.25,0.7575757575757577,0.23382173382173382
3,2,0.16666666666666666,0.6868686868686869,0.18461538461538463
3,3,0.3333333333333333,0.9264705882352942,0.3666666666666667
3,4,0.42857142857142855,0.8828125,0.46590909090909094
3,5,0.2,0.8181818181818182,0.24831649831649832
4,1,0.2857142857142857,0.9428571428571428,0.3333333333333333
4,2,0.6666666666666666,1.0,1.0
4,3,0.0,0.75,0.14835164835164835
4,4,0.2222222222222222,0.7578125,0.24318181818181817
4,5,0.14285714285714285,0.65625,0.17822802197802198
5,1,0.5454545454545454,0.935483870967742,0.7253968253968255
5,2,0.2857142857142857,0.75,0.3041208791208791
5,3,0.2857142857142857,0.7941176470588236,0.31666666666666665
5,4,0.25,0.6911764705882353,0.175
5,5,0.0,0.7352941176470589,0.14090909090909093
6,1,0.6,0.953125,0.85
6,2,0.2857142857142857,0.8970588235294117,0.375
6,3,0.15384615384615385,0.8235294117647058,0.25
6,4,0.16666666666666666,0.609375,0.16182359307359306
6,5,0.25,0.8282828282828283,0.28327228327228327
7,1,0.3333333333333333,0.828125,0.3125
7,2,0.6,0.953125,0.85
7,3,0.18181818181818182,0.797979797979798,0.3074074074074074
7,4,0.2,0.6911764705882353,0.1388888888888889
7,5,0.0,0.6617647058823529,0.11805555555555555
8,1,0.2,0.787878787878788,0.21296296296296297
8,2,0.2222222222222222,0.9428571428571428,0.3333333333333333
8,3,0.36363636363636365,0.8774193548387097,0.6482142857142857
8,4,0.0,0.7205882352941175,0.13392857142857142
8,5,0.46153846153846156,0.8046875,0.4025974025974026
9,1,0.25,0.8676470588235293,0.35
9,2,0.3333333333333333,0.9191919191919191,0.7575757575757576
9,3,0.5,0.7548387096774193,0.34448621553884706
9,4,0.18181818181818182,0.8088235294117646,0.20833333333333331
9,5,0.0,0.8080808080808081,0.23882783882783884
10,1,0.46153846153846156,0.890625,0.41547619047619044
10,2,0.0,0.7352941176470588,0.14285714285714285
10,3,0.4,0.8888888888888887,0.35555555555555557
10,4,0.2222222222222222,0.7265625,0.23069852941176472
10,5,0.16666666666666666,0.7794117647058822,0.19642857142857142
