rep,fold,f1,roc_auc,pr_auc
1,1,0.7058823529411765,0.9458128078817734,0.7647186147186147
1,2,0.4444444444444444,0.7444444444444445,0.3281415343915344
1,3,0.6666666666666666,0.8888888888888888,0.6494319950202303
1,4,0.2,0.7474747474747474,0.23333333333333334
1,5,0.3333333333333333,0.7419354838709677,0.5654761904761905
2,1,0.5714285714285714,0.9419354838709677,0.7933333333333332
2,2,0.47058823529411764,0.7544642857142857,0.4699315752159555
2,3,0.46153846153846156,0.7438423645320197,0.3947278911564625
2,4,0.3333333333333333,0.7941176470588236,0.1736111111111111
2,5,0.625,0.9290322580645161,0.6453968253968254
3,1,0.2857142857142857,0.9411764705882353,0.45
3,2,0.625,0.8705357142857142,0.5579822954822954
3,3,0.42857142857142855,0.7388888888888889,0.48235294117647054
3,4,0.5555555555555556,0.8777777777777778,0.6234699940582293
3,5,0.6,0.8064516129032258,0.4806837606837606
4,1,0.5,0.7534722222222222,0.5999166476798056
4,2,0.6153846153846154,0.875,0.3654761904761905
4,3,0.5882352941176471,0.9111111111111112,0.7662037037037037
4,4,0.4,0.9411764705882353,0.41666666666666663
4,5,0.3333333333333333,0.8585858585858586,0.3769230769230769
5,1,0.4444444444444444,0.8903225806451613,0.6931092436974791
5,2,0.5454545454545454,0.921875,0.48333333333333334
5,3,0.3333333333333333,0.7109375,0.31666666666666665
5,4,0.6666666666666666,0.8392857142857142,0.755708716235032
5,5,0.46153846153846156,0.8166666666666667,0.4317460317460317
6,1,0.7142857142857143,0.9310344827586208,0.8386904761904761
6,2,0.7777777777777778,0.9113300492610837,0.6036075036075035
6,3,0.2222222222222222,0.671875,0.29523809523809524
6,4,0.47058823529411764,0.8055555555555556,0.5662698412698413
6,5,0.14285714285714285,0.6969696969696969,0.1865079365079365
7,1,0.6666666666666666,0.9333333333333333,0.6246031746031747
7,2,0.375,0.7222222222222222,0.3353665970045281
7,3,0.4,0.6944444444444444,0.3971366324307501
7,4,0.5714285714285714,0.8838709677419354,0.6101190476190477
7,5,0.5,0.890625,0.6666666666666666
8,1,0.5263157894736842,0.8333333333333334,0.4948412698412698
8,2,0.6666666666666666,0.9333333333333333,0.6930555555555554
8,3,0.4,0.7890625,0.3983333333333333
8,4,0.18181818181818182,0.7734375,0.268009768009768
8,5,0.6666666666666666,0.8325123152709359,0.7687074829931972
9,1,0.5,0.8,0.5094827586206896
9,2,0.4,0.8388888888888888,0.43825757575757573
9,3,0.6,0.888888888888889,0.5028138528138528
9,4,0.7142857142857143,0.9222222222222223,0.6848595848595848
9,5,0.0,0.5151515151515151,0.10883190883190882
10,1,0.5,0.9296875,0.6361111111111111
10,2,0.4444444444444444,0.7321428571428572,0.3910189876866078
10,3,0.5333333333333333,0.953125,0.7986111111111112
10,4,0.36363636363636365,0.8451612903225807,0.4245378151260505
10,5,0.6666666666666666,0.8333333333333334,0.5914272030651341
