rep,fold,f1,roc_auc,pr_auc
1,1,0.7,0.9556650246305419,0.8559523809523808
1,2,0.4444444444444444,0.8055555555555555,0.413080383668619
1,3,0.625,0.9055555555555557,0.5945767195767196
1,4,0.4,0.7373737373737373,0.18097643097643099
1,5,0.6,0.6903225806451614,0.5486772486772487
2,1,0.47058823529411764,0.8903225806451613,0.6666666666666667
2,2,0.6666666666666666,0.7857142857142857,0.5022172719753364
2,3,0.7058823529411765,0.7783251231527094,0.44903810986760295
2,4,0.0,0.7647058823529411,0.15555555555555556
2,5,0.5882352941176471,0.9612903225806452,0.8392857142857142
3,1,0.3076923076923077,0.9558823529411764,0.5
3,2,0.8,0.9419642857142858,0.7217261904761906
3,3,0.5714285714285714,0.6888888888888889,0.4435626102292769
3,4,0.625,0.9055555555555557,0.6785714285714285
3,5,0.375,0.7935483870967742,0.3215384615384615
4,1,0.6666666666666666,0.7361111111111112,0.6224846504258269
4,2,0.6153846153846154,0.9296875,0.525
4,3,0.5333333333333333,0.7888888888888889,0.5283882783882784
4,4,0.4,0.9117647058823529,0.39285714285714285
4,5,0.36363636363636365,0.8787878787878788,0.55
5,1,0.4444444444444444,0.896774193548387,0.7513888888888889
5,2,0.5454545454545454,0.9140625,0.475
5,3,0.6,0.7578125,0.39281609195402295
5,4,0.6363636363636364,0.84375,0.7098261652140962
5,5,0.5555555555555556,0.8,0.4564393939393939
6,1,0.5333333333333333,0.8177339901477833,0.6877435064935065
6,2,0.5714285714285714,0.812807881773399,0.42510632642211593
6,3,0.5454545454545454,0.765625,0.5582922824302134
6,4,0.6666666666666666,0.9166666666666667,0.6648148148148149
6,5,0.42857142857142855,0.8383838383838383,0.33164983164983164
7,1,0.625,0.9222222222222223,0.712073112073112
7,2,0.631578947368421,0.861111111111111,0.5014180264180265
7,3,0.375,0.6944444444444444,0.3368215565796211
7,4,0.5882352941176471,0.8774193548387097,0.45793650793650786
7,5,0.5454545454545454,0.7578125,0.5979166666666667
8,1,0.45454545454545453,0.8722222222222222,0.7067460317460317
8,2,0.5882352941176471,0.8888888888888888,0.6824074074074074
8,3,0.5333333333333333,0.8828125,0.41547619047619044
8,4,0.5454545454545454,0.7109375,0.2749589490968801
8,5,0.7142857142857143,0.8571428571428572,0.8084485407066051
9,1,0.6666666666666666,0.8111111111111111,0.6164021164021164
9,2,0.5,0.861111111111111,0.5242877492877493
9,3,0.47619047619047616,0.7833333333333333,0.4441530691530692
9,4,0.625,0.85,0.8636363636363635
9,5,0.5454545454545454,0.8484848484848485,0.2757936507936508
10,1,0.5333333333333333,0.8984375,0.6742424242424243
10,2,0.5714285714285714,0.7589285714285714,0.4445261437908497
10,3,0.375,0.84375,0.3708333333333333
10,4,0.5714285714285714,0.8838709677419354,0.4722222222222222
10,5,0.7692307692307693,0.8555555555555556,0.5896031746031746
