rep,fold,f1,roc_auc,pr_auc
1,1,0.7777777777777778,0.9901477832512315,0.9617346938775508
1,2,0.42857142857142855,0.8222222222222223,0.4680555555555555
1,3,0.5714285714285714,0.9,0.5472582972582972
1,4,0.16666666666666666,0.7878787878787878,0.2272727272727273
1,5,0.5,0.6580645161290322,0.396969696969697
2,1,0.6153846153846154,0.9290322580645162,0.8266666666666667
2,2,0.5263157894736842,0.7946428571428572,0.5224537037037036
2,3,0.5333333333333333,0.7783251231527093,0.5349673202614379
2,4,0.0,0.7205882352941175,0.13333333333333333
2,5,0.6666666666666666,0.9419354838709677,0.7392857142857143
3,1,0.3333333333333333,0.9411764705882353,0.41666666666666663
3,2,0.75,0.9330357142857142,0.799404761904762
3,3,0.5,0.7111111111111111,0.5433867662128532
3,4,0.5,0.9055555555555557,0.647979797979798
3,5,0.4,0.7870967741935484,0.3538095238095238
4,1,0.5217391304347826,0.8055555555555556,0.7110013788893099
4,2,0.6153846153846154,0.9609375,0.7333333333333333
4,3,0.5,0.788888888888889,0.6092414529914529
4,4,0.5,0.9705882352941176,0.5833333333333333
4,5,0.4,0.8484848484848485,0.4
5,1,0.4444444444444444,0.9225806451612903,0.8588235294117648
5,2,0.6666666666666666,0.9453125,0.5845238095238094
5,3,0.5454545454545454,0.8046875,0.4018115942028985
5,4,0.6666666666666666,0.8348214285714286,0.7566453194180898
5,5,0.2857142857142857,0.811111111111111,0.48887403446226974
6,1,0.6666666666666666,0.7881773399014779,0.6755102040816325
6,2,0.631578947368421,0.8817733990147782,0.5678371348539416
6,3,0.3333333333333333,0.765625,0.3666666666666667
6,4,0.6666666666666666,0.8999999999999999,0.7208605664488017
6,5,0.16666666666666666,0.8181818181818182,0.4772727272727273
7,1,0.6666666666666666,0.9500000000000001,0.8016233766233766
7,2,0.47058823529411764,0.8222222222222222,0.46117858749437696
7,3,0.26666666666666666,0.6777777777777778,0.3623447114826425
7,4,0.6666666666666666,0.9225806451612903,0.6
7,5,0.5454545454545454,0.75,0.633578431372549
8,1,0.38095238095238093,0.8388888888888889,0.6849845201238389
8,2,0.625,0.9388888888888889,0.7876373626373626
8,3,0.5,0.8515625,0.417156862745098
8,4,0.4,0.6796875,0.26988636363636365
8,5,0.7272727272727273,0.8669950738916257,0.7948979591836733
9,1,0.625,0.8555555555555556,0.6878306878306878
9,2,0.4,0.8555555555555556,0.5180555555555556
9,3,0.5882352941176471,0.8777777777777779,0.5119047619047619
9,4,0.7692307692307693,0.85,0.8636363636363635
9,5,0.0,0.6666666666666666,0.14835858585858586
10,1,0.47058823529411764,0.9609375,0.8125
10,2,0.5,0.7410714285714285,0.44891377005347594
10,3,0.42857142857142855,0.8828125,0.5873397435897436
10,4,0.5454545454545454,0.8580645161290323,0.5241558441558442
10,5,0.6666666666666666,0.9,0.8311688311688311
