rep,fold,f1,roc_auc,pr_auc
1,1,0.7777777777777778,0.9556650246305419,0.8329931972789115
1,2,0.46153846153846156,0.7444444444444445,0.4138967312880356
1,3,0.6666666666666666,0.9166666666666667,0.6064814814814815
1,4,0.3333333333333333,0.8181818181818182,0.2685185185185185
1,5,0.5454545454545454,0.6516129032258065,0.4819047619047619
2,1,0.6666666666666666,0.8709677419354839,0.7597402597402596
2,2,0.6666666666666666,0.8482142857142857,0.6000160256410256
2,3,0.5333333333333333,0.7142857142857143,0.44384662956091525
2,4,0.2222222222222222,0.75,0.14835164835164835
2,5,0.6666666666666666,0.9419354838709677,0.7611111111111111
3,1,0.36363636363636365,0.9411764705882353,0.41666666666666663
3,2,0.8,0.9196428571428571,0.6896291208791209
3,3,0.5,0.6833333333333333,0.3657407407407407
3,4,0.75,0.9166666666666667,0.6925925925925925
3,5,0.36363636363636365,0.6903225806451612,0.44
4,1,0.6666666666666666,0.78125,0.7110820183400829
4,2,0.6153846153846154,0.921875,0.5111111111111111
4,3,0.5714285714285714,0.7833333333333333,0.6674603174603174
4,4,0.5714285714285714,0.9705882352941176,0.5833333333333333
4,5,0.36363636363636365,0.7575757575757576,0.3232323232323232
5,1,0.5,0.8451612903225807,0.6283333333333332
5,2,0.8,0.9609375,0.6458333333333333
5,3,0.5454545454545454,0.7890625,0.37499999999999994
5,4,0.7058823529411765,0.7991071428571428,0.7766774891774891
5,5,0.4,0.8277777777777776,0.48475135975135974
6,1,0.7692307692307693,0.7586206896551724,0.7525396825396826
6,2,0.6,0.8620689655172414,0.5118506493506493
6,3,0.5454545454545454,0.7578125,0.3539377289377289
6,4,0.7142857142857143,0.8444444444444446,0.6759920634920634
6,5,0.18181818181818182,0.8383838383838383,0.4909090909090909
7,1,0.8,0.9388888888888889,0.7132936507936508
7,2,0.47058823529411764,0.7666666666666666,0.47896825396825393
7,3,0.3076923076923077,0.6277777777777778,0.27735042735042736
7,4,0.7142857142857143,0.9419354838709677,0.6226190476190475
7,5,0.6,0.734375,0.6777777777777778
8,1,0.5,0.8666666666666667,0.7038220551378446
8,2,0.6666666666666666,0.9388888888888889,0.8361823361823362
8,3,0.5,0.796875,0.40062111801242234
8,4,0.5454545454545454,0.6875,0.2990546218487395
8,5,0.7272727272727273,0.8029556650246306,0.7617989417989417
9,1,0.6666666666666666,0.8333333333333334,0.5686105360018404
9,2,0.5714285714285714,0.7888888888888889,0.4517704517704518
9,3,0.5555555555555556,0.8611111111111112,0.44100529100529107
9,4,0.7692307692307693,0.8333333333333334,0.8611111111111112
9,5,0.2222222222222222,0.6565656565656566,0.1638888888888889
10,1,0.5333333333333333,0.9296875,0.6488095238095238
10,2,0.5,0.6875,0.4290584415584416
10,3,0.5714285714285714,0.8984375,0.5571428571428572
10,4,0.6666666666666666,0.896774193548387,0.4851948051948052
10,5,0.6666666666666666,0.8944444444444445,0.7777777777777778
