rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.5234375,0.1603937728937729
1,2,0.46153846153846156,0.796875,0.48593073593073594
1,3,0.46153846153846156,0.7888888888888889,0.5682870370370371
1,4,0.5,0.9705882352941176,0.75
1,5,0.375,0.6354679802955665,0.4266216310571149
2,1,0.3333333333333333,0.611111111111111,0.3991411813992459
2,2,0.3333333333333333,0.5419354838709677,0.2921008403361345
2,3,0.16666666666666666,0.7171717171717171,0.2722222222222222
2,4,0.47058823529411764,0.7980295566502463,0.5679399965114251
2,5,0.5714285714285714,0.9411764705882353,0.41666666666666663
3,1,0.5,0.5625,0.5553571428571429
3,2,0.4,0.8989898989898989,0.4111111111111111
3,3,0.47058823529411764,0.8666666666666667,0.6242063492063492
3,4,0.3076923076923077,0.8823529411764707,0.3611111111111111
3,5,0.16666666666666666,0.5491071428571428,0.32197776510539483
4,1,0.2222222222222222,0.6666666666666666,0.27645502645502645
4,2,0.5,0.7723214285714286,0.562635118149824
4,3,0.0,0.6571428571428571,0.07692307692307693
4,4,0.4444444444444444,0.6722222222222222,0.5349326599326599
4,5,0.46153846153846156,0.6645161290322581,0.48587301587301585
5,1,0.3333333333333333,0.703225806451613,0.2865384615384615
5,2,0.5882352941176471,0.7832512315270935,0.6223489395758304
5,3,0.3076923076923077,0.5611111111111111,0.39276895943562606
5,4,0.0,0.7070707070707071,0.19624819624819623
5,5,0.4,0.9117647058823529,0.625
6,1,0.16666666666666666,0.5548387096774194,0.19384829059829062
6,2,0.42857142857142855,0.8055555555555556,0.5646464646464646
6,3,0.7142857142857143,0.9870967741935485,0.9428571428571428
6,4,0.3076923076923077,0.5763546798029556,0.2903121072475911
6,5,0.0,,-0.0
7,1,0.15384615384615385,0.609375,0.37357954545454547
7,2,0.42105263157894735,0.6696428571428571,0.5105979260391025
7,3,0.4444444444444444,0.9558823529411764,0.7
7,4,0.6153846153846154,0.8555555555555556,0.5969444444444445
7,5,0.0,0.3535353535353535,0.11743295019157088
8,1,0.5714285714285714,0.7833333333333333,0.5426739926739926
8,2,0.375,0.8277777777777778,0.5159632034632035
8,3,0.15384615384615385,0.515625,0.14326414326414327
8,4,0.2222222222222222,0.296875,0.19287163141118516
8,5,0.5,0.9292929292929293,0.625
9,1,0.35294117647058826,0.5888888888888888,0.3940972222222222
9,2,0.5,0.9705882352941176,0.75
9,3,0.3076923076923077,0.7290322580645161,0.41835497835497837
9,4,0.2222222222222222,0.8823529411764707,0.3611111111111111
9,5,0.46153846153846156,0.6607142857142857,0.5051416623997269
10,1,0.0,0.7058823529411764,0.12878787878787878
10,2,0.46153846153846156,0.6305418719211823,0.5070294784580498
10,3,0.36363636363636365,0.609375,0.355
10,4,0.16666666666666666,0.7272727272727273,0.17866161616161616
10,5,0.7142857142857143,0.8571428571428572,0.7472789115646259
