rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.6015625,0.18705168092645408
1,2,0.42857142857142855,0.7421875,0.337797619047619
1,3,0.46153846153846156,0.7277777777777779,0.5287532515793385
1,4,0.4,0.9411764705882353,0.45
1,5,0.26666666666666666,0.5221674876847291,0.4469863469863469
2,1,0.375,0.6611111111111111,0.27719421101774044
2,2,0.36363636363636365,0.503225806451613,0.41505050505050506
2,3,0.36363636363636365,0.6666666666666666,0.25555555555555554
2,4,0.47058823529411764,0.7586206896551724,0.5894132653061224
2,5,0.2222222222222222,0.7941176470588235,0.23809523809523808
3,1,0.4,0.640625,0.5718954248366013
3,2,0.2222222222222222,0.7272727272727273,0.2212166918049271
3,3,0.5263157894736842,0.8444444444444444,0.617251709643014
3,4,0.3076923076923077,0.9558823529411764,0.5
3,5,0.3076923076923077,0.4821428571428571,0.26707366408336236
4,1,0.18181818181818182,0.4848484848484848,0.14632936507936506
4,2,0.5263157894736842,0.8125,0.6578802733214497
4,3,0.0,0.2857142857142857,0.038461538461538464
4,4,0.42857142857142855,0.6722222222222222,0.32438672438672433
4,5,0.46153846153846156,0.6387096774193548,0.6553639846743295
5,1,0.4,0.7806451612903226,0.29784798534798534
5,2,0.47058823529411764,0.6650246305418719,0.5176046176046176
5,3,0.4,0.5777777777777777,0.30049283154121864
5,4,0.0,0.41414141414141414,0.09151732377538829
5,5,0.4,0.9411764705882353,0.41666666666666663
6,1,0.3333333333333333,0.6193548387096774,0.21063492063492062
6,2,0.5714285714285714,0.7277777777777779,0.3916256157635467
6,3,0.5555555555555556,1.0,1.0
6,4,0.15384615384615385,0.5073891625615763,0.3316485485840325
6,5,0.0,,-0.0
7,1,0.25,0.5625,0.367816091954023
7,2,0.5555555555555556,0.7633928571428572,0.5762273627617431
7,3,0.4444444444444444,0.9411764705882353,0.41666666666666663
7,4,0.6,0.7611111111111112,0.47267720306513406
7,5,0.0,0.3232323232323232,0.08071895424836602
8,1,0.47058823529411764,0.7888888888888889,0.5466374269005848
8,2,0.4444444444444444,0.7055555555555556,0.43379629629629624
8,3,0.3076923076923077,0.5234375,0.19808429118773946
8,4,0.0,0.5390625,0.15873015873015872
8,5,0.5,0.8484848484848484,0.7222222222222222
9,1,0.3076923076923077,0.5277777777777777,0.2700892857142857
