rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.46875,0.13046695951107715
1,2,0.5454545454545454,0.8515625,0.3821428571428571
1,3,0.46153846153846156,0.7666666666666666,0.4790895379130673
1,4,0.4,0.8823529411764706,0.26666666666666666
1,5,0.26666666666666666,0.5566502463054187,0.28687859759288326
2,1,0.2857142857142857,0.588888888888889,0.23521825396825397
2,2,0.3076923076923077,0.4774193548387097,0.2001610305958132
2,3,0.2222222222222222,0.7171717171717171,0.18596491228070178
2,4,0.5333333333333333,0.7487684729064039,0.4934825543120474
2,5,0.25,0.8382352941176471,0.25757575757575757
3,1,0.4,0.59375,0.2922514619883041
3,2,0.25,0.797979797979798,0.23333333333333334
3,3,0.5,0.8111111111111111,0.5198412698412698
3,4,0.3333333333333333,0.9117647058823529,0.325
3,5,0.15384615384615385,0.5,0.24198129204935012
4,1,0.18181818181818182,0.595959595959596,0.13227513227513227
4,2,0.4444444444444444,0.7857142857142857,0.5528273809523809
4,3,0.0,0.37142857142857144,0.043478260869565216
4,4,0.3333333333333333,0.65,0.2614774114774115
4,5,0.6666666666666666,0.6129032258064517,0.6027777777777779
5,1,0.3333333333333333,0.7806451612903226,0.3007051282051282
5,2,0.5,0.6699507389162562,0.4503703094140882
5,3,0.2857142857142857,0.5333333333333332,0.2732505980861244
5,4,0.0,0.5555555555555556,0.11481481481481481
5,5,0.4,0.8970588235294117,0.30952380952380953
6,1,0.16666666666666666,0.6387096774193548,0.22433862433862434
6,2,0.4,0.6444444444444445,0.2686628186628187
6,3,0.625,0.935483870967742,0.6866666666666665
6,4,0.18181818181818182,0.5566502463054188,0.27567924139352706
6,5,0.0,,-0.0
7,1,0.18181818181818182,0.53125,0.3471331908831909
7,2,0.47058823529411764,0.7455357142857142,0.37685574229691876
7,3,0.5,0.8970588235294117,0.29166666666666663
7,4,0.5,0.7666666666666666,0.5796939619520265
7,5,0.0,0.31313131313131315,0.07962962962962963
8,1,0.5,0.7722222222222223,0.505787037037037
8,2,0.4,0.6388888888888888,0.27294584500466856
8,3,0.16666666666666666,0.5625,0.163398415393322
8,4,0.0,0.5234375,0.15203373015873017
8,5,0.4444444444444444,0.8181818181818181,0.6055555555555555
9,1,0.2857142857142857,0.5277777777777777,0.21459435626102294
9,2,0.4444444444444444,0.926470588235294,0.6428571428571428
9,3,0.4,0.6451612903225806,0.25979020979020984
9,4,0.16666666666666666,0.7941176470588235,0.18333333333333335
9,5,0.42857142857142855,0.6964285714285714,0.5664482898422527
10,1,0.0,0.7352941176470589,0.15
10,2,0.3333333333333333,0.6256157635467979,0.29598506069094305
10,3,0.36363636363636365,0.671875,0.3729166666666667
10,4,0.2,0.5858585858585859,0.14814814814814814
10,5,0.5263157894736842,0.7586206896551724,0.4924482924482924
