rep,fold,f1,roc_auc,pr_auc
1,1,0.2857142857142857,0.625,0.22976190476190472
1,2,0.6,0.796875,0.5162037037037037
1,3,0.46153846153846156,0.6944444444444444,0.4658029878618114
1,4,0.4444444444444444,0.9705882352941176,0.75
1,5,0.36363636363636365,0.6108374384236452,0.39741379310344827
2,1,0.46153846153846156,0.7111111111111111,0.4423887834703774
2,2,0.4,0.535483870967742,0.24282430213464695
2,3,0.36363636363636365,0.6666666666666665,0.27670250896057347
2,4,0.6153846153846154,0.7635467980295566,0.5924914166293477
2,5,0.2,0.8970588235294118,0.6111111111111112
3,1,0.4,0.640625,0.4913194444444444
3,2,0.2857142857142857,0.7474747474747474,0.3073593073593074
3,3,0.6666666666666666,0.8611111111111112,0.5071289334447229
3,4,0.4,0.8970588235294117,0.375
3,5,0.26666666666666666,0.5267857142857143,0.3401441550148447
4,1,0.18181818181818182,0.48484848484848475,0.14565217391304347
4,2,0.625,0.90625,0.8199392712550607
4,3,0.0,0.17142857142857137,0.03333333333333333
4,4,0.42857142857142855,0.7166666666666667,0.34097222222222223
4,5,0.6,0.6580645161290323,0.5801809954751131
5,1,0.6666666666666666,0.8903225806451613,0.7424999999999999
5,2,0.5,0.7093596059113301,0.5020455734741449
5,3,0.4,0.6055555555555555,0.3076499118165784
5,4,0.0,0.3636363636363636,0.08324420677361855
5,5,0.5,0.9705882352941176,0.5833333333333333
6,1,0.36363636363636365,0.6645161290322581,0.2866666666666667
6,2,0.5,0.7611111111111111,0.40221815221815216
6,3,0.6666666666666666,0.9741935483870968,0.911111111111111
6,4,0.18181818181818182,0.5221674876847291,0.2938404985818779
6,5,0.0,,-0.0
7,1,0.3076923076923077,0.5703125,0.4090437788018433
7,2,0.5555555555555556,0.7678571428571429,0.5060515873015873
7,3,0.5,0.9117647058823529,0.3333333333333333
7,4,0.5454545454545454,0.7555555555555555,0.6073232323232323
7,5,0.0,0.3737373737373737,0.08862044817927171
8,1,0.6666666666666666,0.7611111111111111,0.5870726495726496
8,2,0.47058823529411764,0.7388888888888889,0.4394510582010582
8,3,0.3076923076923077,0.5625,0.2236111111111111
8,4,0.0,0.6015625,0.20845959595959596
8,5,0.5,0.8484848484848485,0.5625
9,1,0.2857142857142857,0.6055555555555555,0.30753968253968256
9,2,0.5,0.9852941176470588,0.8333333333333333
9,3,0.6,0.7096774193548387,0.4541797283176593
9,4,0.4,0.8970588235294117,0.30952380952380953
9,5,0.4,0.6651785714285715,0.5572542211328976
10,1,0.5714285714285714,0.9705882352941176,0.5833333333333333
10,2,0.4,0.5812807881773399,0.4011092983242853
10,3,0.3333333333333333,0.671875,0.2844827586206896
10,4,0.2,0.6363636363636364,0.2037037037037037
10,5,0.5555555555555556,0.8226600985221675,0.6594932844932844
