rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.515625,0.14077936777427438
1,2,0.5454545454545454,0.796875,0.6037037037037036
1,3,0.5,0.8277777777777777,0.5635734635734636
1,4,0.25,0.8823529411764706,0.6
1,5,0.3333333333333333,0.6403940886699507,0.4916056166056166
2,1,0.36363636363636365,0.788888888888889,0.4222222222222222
2,2,0.3333333333333333,0.49677419354838714,0.20459482038429405
2,3,0.0,0.5757575757575757,0.14166666666666666
2,4,0.5714285714285714,0.7881773399014778,0.706202480992397
2,5,0.2857142857142857,0.8823529411764706,0.6
3,1,0.4444444444444444,0.6484375,0.5746527777777778
3,2,0.25,0.8484848484848485,0.34090909090909094
3,3,0.4,0.8111111111111111,0.4645743145743146
3,4,0.36363636363636365,0.9411764705882353,0.6666666666666666
3,5,0.2,0.5803571428571429,0.31921902022708476
4,1,0.0,0.5353535353535354,0.13257575757575757
4,2,0.5,0.8392857142857144,0.7097569290874245
4,3,0.0,0.6571428571428571,0.07692307692307693
4,4,0.3333333333333333,0.7055555555555556,0.3442154236165126
4,5,0.5,0.6451612903225806,0.6563492063492063
5,1,0.2,0.7612903225806452,0.31825396825396823
5,2,0.5,0.768472906403941,0.5560944802324113
5,3,0.2857142857142857,0.5611111111111111,0.2883196289268395
5,4,0.0,0.49494949494949486,0.11203703703703705
5,5,0.5714285714285714,1.0,1.0
6,1,0.18181818181818182,0.6967741935483871,0.25846153846153846
6,2,0.4,0.7111111111111111,0.3714059454191033
6,3,0.625,0.9935483870967742,0.9666666666666666
6,4,0.16666666666666666,0.6009852216748769,0.3759288330716902
6,5,0.0,,-0.0
7,1,0.13333333333333333,0.609375,0.3644179894179894
7,2,0.5333333333333333,0.7857142857142857,0.649941442094079
7,3,0.5714285714285714,0.9411764705882353,0.41666666666666663
7,4,0.4444444444444444,0.8111111111111112,0.6378306878306877
7,5,0.0,0.31313131313131315,0.07962962962962963
8,1,0.5714285714285714,0.8388888888888889,0.7328571428571428
8,2,0.3076923076923077,0.7277777777777777,0.351797385620915
8,3,0.18181818181818182,0.484375,0.1850378787878788
8,4,0.0,0.59375,0.20277777777777778
8,5,0.5,0.8585858585858586,0.7254901960784313
9,1,0.3333333333333333,0.5611111111111111,0.26309523809523805
9,2,0.5,0.9852941176470588,0.8333333333333333
9,3,0.18181818181818182,0.6645161290322581,0.2849206349206349
9,4,0.2857142857142857,0.823529411764706,0.2159090909090909
9,5,0.4,0.75,0.5991572765469824
10,1,0.0,0.6911764705882353,0.125
10,2,0.2222222222222222,0.6600985221674877,0.41030283080974317
10,3,0.4444444444444444,0.6796875,0.4598214285714286
10,4,0.2,0.7373737373737373,0.2253968253968254
10,5,0.5882352941176471,0.8325123152709359,0.6968027210884353
