rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.6481481481481481,0.31277663856611226
1,2,0.34782608695652173,0.6596153846153846,0.37805027320283
1,3,0.3333333333333333,0.864406779661017,0.2103174603174603
1,4,0.13333333333333333,0.5536723163841808,0.20686868686868687
1,5,0.23529411764705882,0.6939655172413793,0.18436692506459945
2,1,0.3,0.6310344827586207,0.18144712430426713
2,2,0.1111111111111111,0.46315789473684216,0.17051499717034524
2,3,0.3157894736842105,0.7662337662337663,0.3441394366419192
2,4,0.42857142857142855,0.7263157894736842,0.42507575757575755
2,5,0.3076923076923077,0.7272727272727272,0.24677394677394676
3,1,0.2222222222222222,0.5127551020408163,0.19753717089672748
3,2,0.0,0.45197740112994345,0.05566322136089578
3,3,0.375,0.793103448275862,0.3967391304347826
3,4,0.375,0.7192982456140351,0.34052738336713995
3,5,0.41379310344827586,0.7365384615384616,0.32091097308488614
4,1,0.23529411764705882,0.6694915254237288,0.23035714285714287
4,2,0.2222222222222222,0.5649717514124293,0.10907775020678245
4,3,0.2,0.5578703703703703,0.19136531169459556
4,4,0.34782608695652173,0.7792207792207791,0.38020137756979855
4,5,0.42105263157894735,0.8155844155844155,0.4606854838709677
5,1,0.2608695652173913,0.48979591836734687,0.1408717574415249
5,2,0.56,0.790356394129979,0.5031638926375768
5,3,0.125,0.685344827586207,0.3380050505050505
5,4,0.125,0.672316384180791,0.09957604663487016
5,5,0.23529411764705882,0.7113095238095238,0.36594356261022926
6,1,0.25,0.6448275862068965,0.20615546218487396
6,2,0.21052631578947367,0.6596491228070176,0.31760623089815637
6,3,0.3157894736842105,0.7648809523809524,0.39603829836027976
6,4,0.3,0.6909090909090909,0.36280148423005565
6,5,0.34782608695652173,0.6160714285714286,0.16798208116993696
7,1,0.4,0.8341836734693878,0.3464710884353741
7,2,0.25,0.5803571428571428,0.18232946298984035
7,3,0.3333333333333333,0.5948051948051948,0.2364853986945703
7,4,0.09523809523809523,0.5148809523809524,0.14925017721070352
7,5,0.375,0.943502824858757,0.43333333333333335
8,1,0.0,0.21111111111111108,0.038829494422714765
8,2,0.3157894736842105,0.7543103448275863,0.24587912087912087
8,3,0.27586206896551724,0.5788461538461539,0.23384762630018796
8,4,0.47058823529411764,0.8065476190476191,0.4688025511668922
8,5,0.2857142857142857,0.773809523809524,0.3407051729632375
9,1,0.38095238095238093,0.7602040816326531,0.474590321958743
9,2,0.3333333333333333,0.8448275862068966,0.5044117647058823
9,3,0.3333333333333333,0.6519230769230769,0.2933136552773116
9,4,0.26666666666666666,0.7241379310344828,0.19270516717325226
9,5,0.10526315789473684,0.4568965517241379,0.07981950844854072
10,1,0.3076923076923077,0.8888888888888888,0.3207282913165266
10,2,0.2857142857142857,0.9152542372881356,0.45138888888888884
10,3,0.1111111111111111,0.5238095238095237,0.11656643333661967
10,4,0.35294117647058826,0.7321428571428571,0.3657785336356765
10,5,0.35714285714285715,0.607843137254902,0.2820758379775975
