rep,fold,f1,roc_auc,pr_auc
1,1,0.45454545454545453,0.7098765432098766,0.4036725801431683
1,2,0.35714285714285715,0.6615384615384615,0.4310836236933797
1,3,0.3333333333333333,0.8757062146892656,0.24444444444444446
1,4,0.13333333333333333,0.5028248587570621,0.3688930117501546
1,5,0.2608695652173913,0.7198275862068966,0.26821518080916573
2,1,0.3157894736842105,0.6793103448275862,0.23804232804232803
2,2,0.11764705882352941,0.4526315789473685,0.274428946793598
2,3,0.5217391304347826,0.8363636363636364,0.49244505494505497
2,4,0.3,0.6736842105263158,0.26222222222222225
2,5,0.2962962962962963,0.7298701298701298,0.2729092488059053
3,1,0.25,0.5331632653061225,0.21621315192743762
3,2,0.1,0.5593220338983051,0.07552889576883384
3,3,0.35294117647058826,0.7758620689655173,0.6685185185185185
3,4,0.3157894736842105,0.6666666666666667,0.4256565656565656
3,5,0.5384615384615384,0.8596153846153847,0.527244560994561
4,1,0.21052631578947367,0.6779661016949152,0.3487268518518518
4,2,0.18181818181818182,0.519774011299435,0.08455008488964345
4,3,0.2857142857142857,0.6226851851851852,0.3014282889562845
4,4,0.48,0.8727272727272727,0.5902803545660689
4,5,0.42105263157894735,0.7506493506493507,0.4097919937205652
5,1,0.19047619047619047,0.4387755102040816,0.18638791994785336
5,2,0.5185185185185185,0.7861635220125787,0.6144558963186415
5,3,0.21052631578947367,0.7931034482758621,0.3740549511340586
5,4,0.2222222222222222,0.7062146892655367,0.24263038548752833
5,5,0.38095238095238093,0.7946428571428572,0.40863902179691647
6,1,0.25,0.6206896551724137,0.4695466575599761
6,2,0.3333333333333333,0.7789473684210527,0.3498404820985466
6,3,0.42105263157894735,0.8571428571428572,0.5978029423151374
6,4,0.2727272727272727,0.6077922077922078,0.32271019518918675
6,5,0.34782608695652173,0.6160714285714285,0.20508794915815787
7,1,0.5217391304347826,0.875,0.39399092970521543
7,2,0.2727272727272727,0.625,0.17580355860649619
7,3,0.3076923076923077,0.5948051948051948,0.5044647705938028
7,4,0.10526315789473684,0.5595238095238095,0.16308827624617098
7,5,0.375,0.9322033898305084,0.4658119658119658
8,1,0.0,0.2722222222222222,0.04195286195286195
8,2,0.3333333333333333,0.7844827586206897,0.2875
8,3,0.3333333333333333,0.6211538461538462,0.3124273934250114
8,4,0.47058823529411764,0.7648809523809523,0.6748710010319917
8,5,0.4166666666666667,0.8214285714285714,0.36830229167690465
9,1,0.4444444444444444,0.8061224489795917,0.6248677248677248
9,2,0.375,0.7887931034482758,0.6237745098039216
9,3,0.32,0.6596153846153846,0.3748258980971747
9,4,0.2608695652173913,0.7543103448275862,0.1540846479594211
9,5,0.13333333333333333,0.49137931034482757,0.10660920425997565
10,1,0.26666666666666666,0.888888888888889,0.30419580419580416
10,2,0.3157894736842105,0.9661016949152542,0.5317460317460317
10,3,0.2608695652173913,0.6130952380952381,0.13825637258149798
10,4,0.42105263157894735,0.7023809523809522,0.5079094385698159
10,5,0.3333333333333333,0.5828877005347592,0.2963247235063873
