rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.6584362139917695,0.3466618285331736
1,2,0.38095238095238093,0.7230769230769231,0.45119625744625746
1,3,0.15384615384615385,0.6101694915254237,0.14849624060150374
1,4,0.16666666666666666,0.6045197740112994,0.38
1,5,0.25,0.6896551724137931,0.1683300395256917
2,1,0.23529411764705882,0.6482758620689656,0.17050264550264552
2,2,0.16666666666666666,0.41052631578947374,0.2656626664725498
2,3,0.4,0.8103896103896103,0.3609203296703296
2,4,0.2857142857142857,0.6421052631578947,0.2248791609667123
2,5,0.23529411764705882,0.7324675324675324,0.3274997688744319
3,1,0.25,0.5382653061224489,0.1512087434554535
3,2,0.0,0.4632768361581921,0.05856888209829386
3,3,0.46153846153846156,0.7974137931034483,0.7696078431372548
3,4,0.3076923076923077,0.6350877192982456,0.4146816346277263
3,5,0.4,0.8211538461538461,0.5955200501253133
4,1,0.14285714285714285,0.597457627118644,0.19492094861660078
4,2,0.11764705882352941,0.2768361581920904,0.05306949292733875
4,3,0.23529411764705882,0.6759259259259258,0.3208930059784818
4,4,0.4444444444444444,0.8389610389610389,0.4559441212382389
4,5,0.42857142857142855,0.7636363636363637,0.43442916133627085
5,1,0.2222222222222222,0.4362244897959183,0.2738705738705739
5,2,0.42105263157894735,0.6981132075471699,0.3692186771896917
5,3,0.2857142857142857,0.7974137931034483,0.37575757575757573
5,4,0.15384615384615385,0.5254237288135593,0.08311965811965813
5,5,0.25,0.8779761904761906,0.4071761571761571
6,1,0.2857142857142857,0.6275862068965516,0.27305729984301413
6,2,0.16666666666666666,0.631578947368421,0.2130106100795756
6,3,0.375,0.8511904761904762,0.5265462506841817
6,4,0.21052631578947367,0.6337662337662338,0.32331670104518373
6,5,0.3333333333333333,0.6339285714285714,0.21520310633213857
7,1,0.2727272727272727,0.6887755102040816,0.34335366253524824
7,2,0.15384615384615385,0.7559523809523809,0.2261016761016761
7,3,0.38095238095238093,0.5844155844155844,0.44755318086487567
7,4,0.15384615384615385,0.5595238095238095,0.1531024531024531
7,5,0.36363636363636365,0.8813559322033898,0.3277777777777778
8,1,0.0,0.31666666666666665,0.044944473515902084
8,2,0.26666666666666666,0.7241379310344828,0.24444444444444444
8,3,0.2727272727272727,0.6673076923076923,0.38702397381239884
8,4,0.5333333333333333,0.8244047619047619,0.6439270152505446
8,5,0.23529411764705882,0.6696428571428572,0.2283189033189033
9,1,0.2608695652173913,0.681122448979592,0.2990000785002996
9,2,0.5454545454545454,0.7586206896551724,0.3935185185185185
9,3,0.3,0.7230769230769232,0.4101379404908817
9,4,0.3076923076923077,0.6594827586206896,0.23381370091896408
9,5,0.0,0.44396551724137934,0.0819991302972802
10,1,0.16666666666666666,0.8666666666666666,0.286096256684492
10,2,0.5,0.9548022598870057,0.5
10,3,0.125,0.6517857142857143,0.14767316017316018
10,4,0.375,0.6458333333333334,0.392539422112843
10,5,0.25,0.5864527629233511,0.35751666721374653
