rep,fold,f1,roc_auc,pr_auc
1,1,0.5263157894736842,0.7551440329218108,0.49070466570466575
1,2,0.25,0.5692307692307693,0.2503692386045327
1,3,0.3333333333333333,0.6101694915254237,0.15713418336369156
1,4,0.2,0.7740112994350282,0.40711462450592883
1,5,0.3076923076923077,0.6681034482758621,0.1403483669108669
2,1,0.36363636363636365,0.7137931034482758,0.3766611524676041
2,2,0.0,0.375438596491228,0.07759982348037853
2,3,0.4,0.7999999999999999,0.33669198448610216
2,4,0.3333333333333333,0.5824561403508772,0.2345989835854898
2,5,0.47058823529411764,0.7792207792207793,0.29316770186335406
3,1,0.35294117647058826,0.6020408163265306,0.22852965747702586
3,2,0.18181818181818182,0.6949152542372881,0.11018014243820695
3,3,0.6,0.8491379310344828,0.677027027027027
3,4,0.16666666666666666,0.4666666666666667,0.1681159420289855
3,5,0.4,0.7634615384615384,0.39034800171521583
4,1,0.3076923076923077,0.7923728813559322,0.39920634920634923
4,2,0.16666666666666666,0.3107344632768361,0.08279569892473118
4,3,0.2857142857142857,0.6296296296296295,0.26923358074673864
4,4,0.5263157894736842,0.8285714285714285,0.3838073691014868
4,5,0.3333333333333333,0.7038961038961039,0.2815362682067487
5,1,0.125,0.3647959183673469,0.11616741364984924
5,2,0.5555555555555556,0.729559748427673,0.5516187111815527
5,3,0.4444444444444444,0.8706896551724139,0.3526315789473684
5,4,0.4,0.7118644067796609,0.2157210401891253
5,5,0.23529411764705882,0.7619047619047619,0.20960497835497835
6,1,0.36363636363636365,0.7689655172413793,0.3979166666666667
6,2,0.46153846153846156,0.7719298245614036,0.6033333333333333
6,3,0.42857142857142855,0.7410714285714285,0.2787609871534821
6,4,0.125,0.5558441558441558,0.1522110472541507
6,5,0.375,0.5476190476190477,0.17811589596906618
7,1,0.5,0.7755102040816326,0.3641287284144427
7,2,0.23529411764705882,0.7440476190476191,0.20083435083435083
7,3,0.375,0.46233766233766227,0.21770416584543206
7,4,0.3076923076923077,0.7083333333333333,0.28055555555555556
7,5,0.25,0.7570621468926554,0.4021164021164021
8,1,0.18181818181818182,0.5333333333333332,0.12175951461665747
8,2,0.3333333333333333,0.7672413793103449,0.19966133004926107
8,3,0.3157894736842105,0.6057692307692308,0.2877121636024946
8,4,0.5714285714285714,0.7946428571428572,0.6353846153846153
8,5,0.2857142857142857,0.6785714285714286,0.19953703703703707
9,1,0.5882352941176471,0.8443877551020409,0.5447339961625676
9,2,0.5454545454545454,0.7715517241379309,0.2950861195542046
9,3,0.1,0.5326923076923077,0.18500832283729446
9,4,0.3333333333333333,0.6939655172413792,0.35273346626786306
9,5,0.2,0.564655172413793,0.11937205360453412
10,1,0.36363636363636365,0.8611111111111113,0.2192982456140351
10,2,0.3333333333333333,0.7909604519774012,0.30634920634920637
10,3,0.3333333333333333,0.7619047619047619,0.2788766788766789
10,4,0.46153846153846156,0.5803571428571429,0.2459515792849126
10,5,0.2727272727272727,0.5757575757575757,0.3276663853499222
