rep,fold,f1,roc_auc,pr_auc
1,1,0.55,0.7648305084745763,0.49083511389434115
1,2,0.4897959183673469,0.7151675485008818,0.5671000464112903
1,3,0.5,0.7393509127789047,0.6223714006675468
1,4,0.2777777777777778,0.6640625,0.44377046972635203
1,5,0.65,0.8757062146892655,0.6879913813732664
2,1,0.5263157894736842,0.7777777777777778,0.4705029092090496
2,2,0.5945945945945946,0.8220338983050848,0.6910530083528601
2,3,0.45,0.7468982630272952,0.44502437677171064
2,4,0.42857142857142855,0.6468253968253969,0.440701421498523
2,5,0.5,0.781217750257998,0.7019272552463438
3,1,0.5238095238095238,0.7669789227166276,0.37251550437727193
3,2,0.3333333333333333,0.6647173489278753,0.5132374019708063
3,3,0.6666666666666666,0.9086651053864169,0.8343666202218833
3,4,0.4444444444444444,0.7578814627994955,0.4663475218180619
3,5,0.5306122448979592,0.712962962962963,0.6338221186875875
4,1,0.46153846153846156,0.8522727272727273,0.6336667065916078
4,2,0.4444444444444444,0.6891534391534392,0.3191540746733476
4,3,0.5238095238095238,0.833686440677966,0.7116041423832292
4,4,0.42857142857142855,0.6861244019138757,0.5025652812623653
4,5,0.6086956521739131,0.7663971248876909,0.6156914237277091
5,1,0.3888888888888889,0.76,0.4692308150007458
5,2,0.6666666666666666,0.8492063492063492,0.7441606771818889
5,3,0.35,0.6663135593220338,0.45577041020103004
5,4,0.6,0.7648809523809523,0.5656650598710994
5,5,0.43902439024390244,0.7166666666666667,0.5163293623271583
6,1,0.6122448979591837,0.8068783068783069,0.6324163692867129
6,2,0.5128205128205128,0.760545905707196,0.5205259407483876
6,3,0.4782608695652174,0.7788888888888889,0.6523539757429742
6,4,0.5161290322580645,0.7694915254237289,0.6368847379077042
6,5,0.35,0.6463276836158192,0.39450279006752415
7,1,0.5416666666666666,0.7486772486772487,0.6223471598884402
7,2,0.43243243243243246,0.7177985948477752,0.4813118113035906
7,3,0.5853658536585366,0.8870967741935484,0.715875070442378
7,4,0.4,0.7488095238095238,0.5253240146224445
7,5,0.5,0.6996904024767802,0.4931854717754372
8,1,0.2926829268292683,0.6240694789081886,0.27238969029995175
8,2,0.5263157894736842,0.8,0.5388852628852628
8,3,0.55,0.7352941176470589,0.6100241142474283
8,4,0.6222222222222222,0.8238993710691824,0.7660519795028702
8,5,0.4878048780487805,0.7515762925598991,0.5063273740292374
9,1,0.3783783783783784,0.6898263027295285,0.41539237553888775
9,2,0.55,0.7444219066937119,0.6456323952085596
9,3,0.5116279069767442,0.8388888888888889,0.6757643228231464
9,4,0.5531914893617021,0.7157894736842105,0.500822378141633
9,5,0.47368421052631576,0.7661016949152543,0.5525360273877817
10,1,0.5714285714285714,0.7709551656920078,0.6163655935012247
10,2,0.3333333333333333,0.6408898305084746,0.3888968501376636
10,3,0.3333333333333333,0.6430769230769231,0.2676148652261398
10,4,0.5777777777777777,0.8338493292053664,0.714391550058094
10,5,0.6086956521739131,0.8303571428571428,0.7398023436808661
