rep,fold,f1,roc_auc,pr_auc
1,1,0.5405405405405406,0.7425847457627119,0.474392510272802
1,2,0.5306122448979592,0.7354497354497354,0.5358322176907244
1,3,0.5142857142857142,0.7038539553752535,0.5245165004892722
1,4,0.36363636363636365,0.759375,0.5311616743471582
1,5,0.5652173913043478,0.8700564971751412,0.7371367021103632
2,1,0.5555555555555556,0.8155555555555556,0.5603889301518172
2,2,0.5365853658536586,0.7944915254237288,0.6409500261121501
2,3,0.3684210526315789,0.6898263027295286,0.4267956900204893
2,4,0.5365853658536586,0.7261904761904762,0.49838675765138374
2,5,0.5454545454545454,0.7647058823529411,0.6736789862315211
3,1,0.5641025641025641,0.8056206088992974,0.4318262569147201
3,2,0.5,0.6842105263157895,0.49924171319250166
3,3,0.6857142857142857,0.9285714285714286,0.8177049182570293
3,4,0.4,0.7440100882723835,0.5444686799188643
3,5,0.43478260869565216,0.6722222222222222,0.5664526670167693
4,1,0.5142857142857142,0.8323863636363636,0.5937337315996792
4,2,0.36363636363636365,0.7142857142857143,0.39250125433346056
4,3,0.55,0.7584745762711864,0.5586290956297808
4,4,0.4878048780487805,0.7014354066985646,0.5880916383109052
4,5,0.5882352941176471,0.7690925426774484,0.6173545861043364
5,1,0.4,0.72,0.34845048630274345
5,2,0.625,0.8209876543209876,0.7325028847190704
5,3,0.47619047619047616,0.7404661016949152,0.4566468543196411
5,4,0.5454545454545454,0.7926587301587301,0.6441832499470719
5,5,0.4444444444444444,0.6583333333333333,0.4538620218718902
6,1,0.7111111111111111,0.8703703703703703,0.7803030660173518
6,2,0.4864864864864865,0.7096774193548387,0.4194860612287575
6,3,0.43902439024390244,0.7633333333333334,0.5981679597092975
6,4,0.4864864864864865,0.7807909604519774,0.5903227211029161
6,5,0.4,0.6192090395480225,0.38785976208553585
7,1,0.5454545454545454,0.7645502645502645,0.5427551119229408
7,2,0.4444444444444444,0.7681498829039812,0.5841798339313866
7,3,0.55,0.8238213399503722,0.602302774880485
7,4,0.47058823529411764,0.7130952380952381,0.455039378191468
7,5,0.5217391304347826,0.7450980392156863,0.6244079142807721
8,1,0.43902439024390244,0.749379652605459,0.46621295833282517
8,2,0.4,0.6922222222222222,0.4432085622673074
8,3,0.5945945945945946,0.7667342799188641,0.5792627175442604
8,4,0.5957446808510638,0.8023360287511231,0.716375667256254
8,5,0.5,0.7667087011349306,0.48617561663204
9,1,0.47368421052631576,0.7754342431761787,0.5338317200322777
9,2,0.4878048780487805,0.7626774847870182,0.6122344827933176
9,3,0.5238095238095238,0.7944444444444444,0.6381338309162953
9,4,0.6153846153846154,0.7473684210526315,0.5402594666068888
9,5,0.45,0.6983050847457626,0.46274859186597955
10,1,0.5957446808510638,0.7962962962962963,0.5415626347278394
10,2,0.37209302325581395,0.6165254237288135,0.36776533495930047
10,3,0.2962962962962963,0.6015384615384616,0.30747590983968187
10,4,0.5581395348837209,0.82765737874097,0.694315598366584
10,5,0.65,0.8075396825396827,0.6995116368074258
