rep,fold,f1,roc_auc,pr_auc
1,1,0.5555555555555556,0.711864406779661,0.41361967621153234
1,2,0.4090909090909091,0.6649029982363315,0.5392090165314001
1,3,0.42105263157894735,0.700811359026369,0.5541570545021931
1,4,0.5,0.8671875,0.6250278444959296
1,5,0.6666666666666666,0.8666666666666667,0.7876383645245537
2,1,0.5294117647058824,0.8144444444444444,0.5510424682827474
2,2,0.43243243243243246,0.7192796610169491,0.5578718381665202
2,3,0.4,0.6836228287841191,0.373480630739529
2,4,0.5581395348837209,0.740079365079365,0.6188880542707517
2,5,0.6,0.7905056759545922,0.6715169969913373
3,1,0.5405405405405406,0.765807962529274,0.46638887490394854
3,2,0.43243243243243246,0.7222222222222222,0.5556063512566191
3,3,0.7428571428571429,0.9215456674473068,0.809795433324845
3,4,0.3684210526315789,0.7187894073139975,0.49783725155544756
3,5,0.47619047619047616,0.6527777777777778,0.5447096821083303
4,1,0.5405405405405406,0.8664772727272727,0.6532747696060389
4,2,0.4444444444444444,0.6825396825396826,0.4347043676798212
4,3,0.5365853658536586,0.715042372881356,0.5548007598808513
4,4,0.47368421052631576,0.7406698564593301,0.6320291315287114
4,5,0.5217391304347826,0.7457322551662174,0.5964420099933219
5,1,0.2962962962962963,0.6507692307692308,0.37048593596749335
5,2,0.6046511627906976,0.845679012345679,0.7935226721806068
5,3,0.631578947368421,0.7966101694915254,0.5509823342380131
5,4,0.4888888888888889,0.746031746031746,0.5524418119733258
5,5,0.4444444444444444,0.6261904761904762,0.3803890415830714
6,1,0.6341463414634146,0.8368606701940035,0.7857295194154077
6,2,0.42424242424242425,0.6774193548387097,0.45508739733514136
6,3,0.46153846153846156,0.7444444444444445,0.5594515894950222
6,4,0.5128205128205128,0.7954802259887006,0.5486812329765852
6,5,0.4864864864864865,0.6858757062146893,0.49852133987115027
7,1,0.5238095238095238,0.746031746031746,0.5758682500073042
7,2,0.5142857142857142,0.7037470725995316,0.5108726621036092
7,3,0.5882352941176471,0.8548387096774194,0.6716387278417109
7,4,0.375,0.7095238095238094,0.4260766635202725
7,5,0.5217391304347826,0.762641898864809,0.6538527765818533
8,1,0.5,0.7754342431761786,0.5810645967379713
8,2,0.375,0.6799999999999999,0.41940234277606503
8,3,0.5,0.7048681541582149,0.5600305640928231
8,4,0.5957446808510638,0.821203953279425,0.6535462866105175
8,5,0.5294117647058824,0.7654476670870114,0.5884840214672147
9,1,0.5142857142857142,0.7617866004962779,0.547593783128987
9,2,0.46153846153846156,0.7099391480730224,0.5994982146935582
9,3,0.4864864864864865,0.7888888888888889,0.681258060547275
9,4,0.5853658536585366,0.7559808612440191,0.5751593636334091
9,5,0.4864864864864865,0.7367231638418079,0.4625117401631801
10,1,0.5238095238095238,0.8118908382066277,0.5540975157085285
10,2,0.3684210526315789,0.5720338983050848,0.3483560880167226
10,3,0.27586206896551724,0.5815384615384616,0.3680266868297244
10,4,0.6,0.8286893704850361,0.6668570079257925
10,5,0.7,0.8482142857142857,0.800016332340302
