rep,fold,f1,roc_auc,pr_auc
1,1,0.4117647058823529,0.673728813559322,0.45136436807633523
1,2,0.42857142857142855,0.6763668430335097,0.4126525932767135
1,3,0.5116279069767442,0.7079107505070994,0.5464749977965956
1,4,0.35294117647058826,0.7234375,0.5002711420573687
1,5,0.5365853658536586,0.8576271186440678,0.7365268346219047
2,1,0.47058823529411764,0.7844444444444445,0.5425473407853271
2,2,0.4864864864864865,0.7171610169491526,0.5799925151591698
2,3,0.43243243243243246,0.7096774193548387,0.39573538080130377
2,4,0.358974358974359,0.6438492063492064,0.4764941972405372
2,5,0.5106382978723404,0.7585139318885449,0.5588776794968565
3,1,0.3888888888888889,0.7365339578454333,0.3819385944656053
3,2,0.3902439024390244,0.594541910331384,0.46880381305766783
3,3,0.5555555555555556,0.892271662763466,0.703104787887919
3,4,0.3888888888888889,0.6986128625472887,0.39832691257665714
3,5,0.5333333333333333,0.6907407407407408,0.6071148547062631
4,1,0.3783783783783784,0.7428977272727273,0.46566029648844187
4,2,0.2857142857142857,0.6759259259259259,0.305552283633679
4,3,0.47368421052631576,0.760593220338983,0.5646479862511437
4,4,0.5238095238095238,0.7071770334928229,0.5866563981651205
4,5,0.5306122448979592,0.7026055705300989,0.5072807158906686
5,1,0.25,0.5615384615384615,0.3600052470987757
5,2,0.6666666666666666,0.853615520282187,0.8060336385031237
5,3,0.5,0.7669491525423728,0.5163156242039137
5,4,0.45,0.6974206349206349,0.5297192513924783
5,5,0.3157894736842105,0.611904761904762,0.2917131574757132
6,1,0.5217391304347826,0.755731922398589,0.5728860324202548
6,2,0.3225806451612903,0.5942928039702232,0.2905460505425088
6,3,0.45,0.7766666666666666,0.6513407191305741
6,4,0.5405405405405406,0.8011299435028248,0.6117071836128674
6,5,0.4,0.6350282485875706,0.4495773419536856
7,1,0.55,0.724867724867725,0.4973483302284407
7,2,0.3684210526315789,0.7318501170960188,0.4941630046138008
7,3,0.43243243243243246,0.7543424317617866,0.5631446230993742
7,4,0.42424242424242425,0.6369047619047619,0.44612269460193565
7,5,0.4782608695652174,0.7708978328173374,0.6538293548942636
8,1,0.46511627906976744,0.8126550868486353,0.6268648018648018
8,2,0.35294117647058826,0.62,0.39262062870751996
8,3,0.4444444444444444,0.6602434077079107,0.43553538399087016
8,4,0.5,0.7241689128481581,0.5477864169104377
8,5,0.4827586206896552,0.7881462799495587,0.5674186924186924
9,1,0.4444444444444444,0.750620347394541,0.46293015754201866
9,2,0.43902439024390244,0.678498985801217,0.5703804201140938
9,3,0.4878048780487805,0.7588888888888888,0.583484126984127
9,4,0.47619047619047616,0.7454545454545454,0.5885959047373699
9,5,0.4117647058823529,0.6666666666666667,0.40741982771780594
10,1,0.391304347826087,0.6773879142300195,0.41190267748804577
10,2,0.3684210526315789,0.6345338983050848,0.4740010149721702
10,3,0.20689655172413793,0.563076923076923,0.31961470409095516
10,4,0.6341463414634146,0.8028895768833848,0.615375284464175
10,5,0.6,0.8224206349206349,0.6992346147528941
