rep,fold,f1,roc_auc,pr_auc
1,1,0.42105263157894735,0.6722222222222223,0.36820950257168467
1,2,0.5306122448979592,0.7680311890838207,0.4312931558087927
1,3,0.4090909090909091,0.698093220338983,0.44330804693036885
1,4,0.2564102564102564,0.6581196581196581,0.21841820951617655
1,5,0.5161290322580645,0.7755359394703656,0.5514330684712698
2,1,0.3783783783783784,0.7936507936507937,0.41587618185103953
2,2,0.36363636363636365,0.6475409836065573,0.34452767534096324
2,3,0.2777777777777778,0.6392045454545454,0.20516976488179198
2,4,0.47368421052631576,0.7291666666666666,0.5048212263163244
2,5,0.6086956521739131,0.8308189655172413,0.6005397990775367
3,1,0.2222222222222222,0.5852272727272727,0.18155638900698187
3,2,0.42857142857142855,0.7144249512670565,0.41929951562648743
3,3,0.45,0.7903225806451614,0.4132571348538704
3,4,0.4,0.79375,0.41354738196843455
3,5,0.5833333333333334,0.7492822966507178,0.5085835883619817
4,1,0.30303030303030304,0.7003367003367003,0.25218309601551636
4,2,0.3333333333333333,0.7315340909090908,0.33929327659877295
4,3,0.5365853658536586,0.7999999999999999,0.47021395885722256
4,4,0.4090909090909091,0.6790505675954592,0.339863173329657
4,5,0.5365853658536586,0.7406698564593301,0.5227617438365295
5,1,0.29411764705882354,0.586153846153846,0.20822006279989475
5,2,0.4489795918367347,0.7465886939571151,0.6047556771043932
5,3,0.5142857142857142,0.7611241217798594,0.39058523409363743
5,4,0.47368421052631576,0.7740112994350283,0.40487674634733456
5,5,0.4,0.719047619047619,0.3812924151138244
6,1,0.45454545454545453,0.7142857142857143,0.4826209856299512
6,2,0.41025641025641024,0.7642679900744417,0.4976255582024813
6,3,0.4117647058823529,0.7357320099255583,0.31411620116984107
6,4,0.5,0.7717514124293785,0.4219193012232062
6,5,0.35,0.6854256854256854,0.28242646607426736
7,1,0.5490196078431373,0.7266313932980599,0.48794818724274736
7,2,0.36363636363636365,0.6799007444168735,0.3653375694130695
7,3,0.3333333333333333,0.6547619047619049,0.2656466298157016
7,4,0.3333333333333333,0.6935483870967742,0.3667694782407291
7,5,0.5,0.8209331651954603,0.4335713972709248
8,1,0.3333333333333333,0.6719576719576719,0.2918388080418745
8,2,0.3783783783783784,0.702576112412178,0.3708144721167742
8,3,0.43243243243243246,0.6811440677966102,0.43871020046079157
8,4,0.6956521739130435,0.8612440191387559,0.6383396586592796
8,5,0.2564102564102564,0.634375,0.1775468256134043
9,1,0.27906976744186046,0.6283068783068784,0.27146827336939566
9,2,0.46153846153846156,0.7300000000000001,0.39673206262579436
9,3,0.3333333333333333,0.6637717121588089,0.4527755585861797
9,4,0.5238095238095238,0.7747844827586208,0.4292934854537821
9,5,0.5714285714285714,0.8180790960451978,0.5522637879241653
10,1,0.46153846153846156,0.7190669371196754,0.4895596473714636
10,2,0.46153846153846156,0.8238213399503722,0.4485094342560405
10,3,0.3,0.7126865671641791,0.2089542767174346
10,4,0.45,0.7333333333333334,0.4454798166465268
10,5,0.46511627906976744,0.6875,0.41937367699325767
