rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.6533333333333334,0.3783571218703917
1,2,0.5581395348837209,0.7962962962962963,0.6310045325822077
1,3,0.47368421052631576,0.708686440677966,0.43474744874201393
1,4,0.3870967741935484,0.7264957264957264,0.46019834993360526
1,5,0.5333333333333333,0.7629255989911727,0.48665403003562613
2,1,0.4864864864864865,0.8121693121693121,0.46591003919722057
2,2,0.41025641025641024,0.6545667447306791,0.3430335155873623
2,3,0.26666666666666666,0.5894886363636364,0.3580115287528174
2,4,0.5405405405405406,0.6904761904761906,0.51263384127462
2,5,0.6341463414634146,0.8836206896551724,0.7232150049945301
3,1,0.23529411764705882,0.4928977272727273,0.16811715554696838
3,2,0.5,0.7261208576998051,0.45662567436161866
3,3,0.5641025641025641,0.8225806451612904,0.49235246235246233
3,4,0.5,0.83125,0.5709327463042633
3,5,0.5581395348837209,0.755023923444976,0.6202186812297614
4,1,0.46153846153846156,0.7592592592592592,0.4719067424949778
4,2,0.3888888888888889,0.7372159090909091,0.4759244671176489
4,3,0.5238095238095238,0.7622222222222222,0.5181459992117768
4,4,0.47368421052631576,0.6924664602683178,0.43021675000038506
4,5,0.5238095238095238,0.7358851674641148,0.5307625344958645
5,1,0.3448275862068966,0.5599999999999999,0.20689369565880444
5,2,0.6363636363636364,0.810916179337232,0.6861239191283052
5,3,0.41025641025641024,0.7459016393442623,0.46294022469980656
5,4,0.5,0.7706214689265537,0.5184366484363557
5,5,0.45,0.7059523809523809,0.557901154719476
6,1,0.5116279069767442,0.6954887218045112,0.47955789584530345
6,2,0.4444444444444444,0.705955334987593,0.47574202574202573
6,3,0.3870967741935484,0.7295285359801489,0.3437187540333083
6,4,0.5853658536585366,0.8395480225988701,0.6610784721629088
6,5,0.42424242424242425,0.7142857142857143,0.49530166889959815
7,1,0.6086956521739131,0.7283950617283951,0.5973910045902302
7,2,0.3888888888888889,0.728287841191067,0.47602442329083317
7,3,0.358974358974359,0.667989417989418,0.24920711049982885
7,4,0.4444444444444444,0.6868279569892473,0.4121676004319739
7,5,0.5555555555555556,0.8297604035308954,0.5388741355533287
8,1,0.35,0.6997354497354498,0.461554889851237
8,2,0.5,0.6990632318501171,0.4783797375764425
8,3,0.5454545454545454,0.659957627118644,0.5066432431701318
8,4,0.7111111111111111,0.8870813397129187,0.630010419092968
8,5,0.23529411764705882,0.63125,0.21089299085669322
9,1,0.34285714285714286,0.6825396825396826,0.37996330896482267
9,2,0.4878048780487805,0.7,0.4230480217410623
9,3,0.4,0.6017369727047146,0.366992220015942
9,4,0.6666666666666666,0.8868534482758621,0.7160408789547769
9,5,0.4864864864864865,0.7694915254237288,0.5806519647823994
10,1,0.46153846153846156,0.6592292089249493,0.4544165951015616
10,2,0.5555555555555556,0.7903225806451613,0.5124953810809074
10,3,0.3448275862068966,0.7369402985074627,0.3031404633378318
10,4,0.5641025641025641,0.8418079096045198,0.6016883304553083
10,5,0.43902439024390244,0.6726190476190476,0.5138701992122033
