rep,fold,f1,roc_auc,pr_auc
1,1,0.42857142857142855,0.7155555555555555,0.447430413617546
1,2,0.5333333333333333,0.787524366471735,0.6044703541027071
1,3,0.55,0.7722457627118644,0.5979069319465653
1,4,0.4,0.747008547008547,0.477396985730319
1,5,0.5454545454545454,0.7641866330390921,0.4531495243461372
2,1,0.4864864864864865,0.8425925925925926,0.5284283625730993
2,2,0.5128205128205128,0.7049180327868851,0.40110701373859264
2,3,0.23529411764705882,0.5923295454545454,0.28532621700887195
2,4,0.5555555555555556,0.7341269841269841,0.5842514957260333
2,5,0.6363636363636364,0.8890086206896551,0.7217836831737926
3,1,0.22857142857142856,0.5227272727272727,0.1771672008742794
3,2,0.5454545454545454,0.7426900584795322,0.45938288024481766
3,3,0.5641025641025641,0.8399503722084367,0.5474105575527682
3,4,0.5384615384615384,0.8546875,0.643298722997971
3,5,0.5652173913043478,0.7684210526315789,0.590766507871771
4,1,0.41379310344827586,0.7845117845117845,0.3710205950180887
4,2,0.4,0.7088068181818182,0.43588759826846335
4,3,0.5365853658536586,0.801111111111111,0.5504603731496316
4,4,0.5238095238095238,0.7347781217750259,0.5142475803943747
4,5,0.5581395348837209,0.7569377990430621,0.5710296021263838
5,1,0.41379310344827586,0.5907692307692307,0.2242854055000314
5,2,0.6222222222222222,0.8430799220272904,0.7783171879416011
5,3,0.46153846153846156,0.7939110070257611,0.48451894539386503
5,4,0.5142857142857142,0.7853107344632768,0.48622446631422556
5,5,0.42857142857142855,0.7261904761904762,0.5565145987040617
6,1,0.5333333333333333,0.7424812030075189,0.5432548089859506
6,2,0.4444444444444444,0.7295285359801489,0.49795551322773846
6,3,0.5,0.7444168734491317,0.35654345705997137
6,4,0.6,0.8621468926553673,0.7721083524791964
6,5,0.3783783783783784,0.7518037518037518,0.4541496067064249
7,1,0.6,0.7495590828924162,0.6354143423937186
7,2,0.43243243243243246,0.7419354838709677,0.47600899334092617
7,3,0.35,0.6587301587301587,0.2397616248140697
7,4,0.5,0.739247311827957,0.45142107176098406
7,5,0.5714285714285714,0.862547288776797,0.590480246249477
8,1,0.358974358974359,0.7447089947089947,0.4238110618924572
8,2,0.625,0.7353629976580797,0.5563871346919618
8,3,0.5142857142857142,0.663135593220339,0.4781736718590662
8,4,0.723404255319149,0.9138755980861244,0.685694330055112
8,5,0.21621621621621623,0.6296875000000001,0.2769391914966277
9,1,0.32432432432432434,0.7354497354497355,0.4301873248363239
9,2,0.5365853658536586,0.7288888888888889,0.5121529537378681
9,3,0.4,0.6129032258064516,0.3778860762175559
9,4,0.6842105263157895,0.9019396551724137,0.7441098389627802
9,5,0.5128205128205128,0.8067796610169491,0.6124813341804093
10,1,0.4878048780487805,0.7079107505070994,0.5212200330117005
10,2,0.5555555555555556,0.8225806451612904,0.5360802592893745
10,3,0.35294117647058826,0.7238805970149254,0.3339504551820728
10,4,0.6111111111111112,0.8451977401129943,0.5939515084195935
10,5,0.46511627906976744,0.7142857142857143,0.5644047456547491
