rep,fold,f1,roc_auc,pr_auc
1,1,0.41025641025641024,0.6522222222222223,0.3748600502447706
1,2,0.5454545454545454,0.7904483430799221,0.570447083156028
1,3,0.4186046511627907,0.6970338983050848,0.46784906648975666
1,4,0.37037037037037035,0.7230769230769231,0.4684087173767256
1,5,0.5625,0.7604035308953341,0.5179193863884235
2,1,0.42105263157894735,0.8002645502645503,0.42801443070453116
2,2,0.4864864864864865,0.680327868852459,0.4407055851788073
2,3,0.25,0.5696022727272727,0.2670531705832984
2,4,0.4864864864864865,0.6716269841269842,0.49602320776922326
2,5,0.6341463414634146,0.8868534482758621,0.7807131151800268
3,1,0.25806451612903225,0.5170454545454546,0.19762138269819282
3,2,0.4878048780487805,0.7066276803118908,0.4395447556924015
3,3,0.45,0.8052109181141439,0.44210830374513244
3,4,0.5,0.8031250000000001,0.5153942089656375
3,5,0.5777777777777777,0.754066985645933,0.6267450819552074
4,1,0.41379310344827586,0.8249158249158248,0.5061459151317944
4,2,0.3870967741935484,0.6392045454545454,0.38127339712211195
4,3,0.5238095238095238,0.7911111111111111,0.5011348356728558
4,4,0.42105263157894735,0.6883384932920537,0.4831381330774984
4,5,0.5333333333333333,0.7196172248803827,0.5167701053630942
5,1,0.41379310344827586,0.6476923076923078,0.25006818595798763
5,2,0.5909090909090909,0.7992202729044834,0.7149991956418027
5,3,0.3684210526315789,0.7213114754098361,0.527667837042837
5,4,0.47058823529411764,0.7581920903954802,0.48797707462406037
5,5,0.45,0.6892857142857144,0.4261458583893192
6,1,0.5116279069767442,0.7124060150375939,0.4889210639475582
6,2,0.45714285714285713,0.7009925558312655,0.471155533498
6,3,0.3333333333333333,0.6290322580645161,0.29452651523430073
6,4,0.5581395348837209,0.8576271186440679,0.6896432519519111
6,5,0.4117647058823529,0.7676767676767677,0.4733121654174286
7,1,0.5306122448979592,0.708994708994709,0.5869269303330646
7,2,0.48484848484848486,0.7679900744416874,0.5699236731558806
7,3,0.32432432432432434,0.6746031746031746,0.25379106108272775
7,4,0.42857142857142855,0.6586021505376345,0.36426445272492464
7,5,0.5263157894736842,0.815889029003783,0.5736788640575434
8,1,0.3783783783783784,0.7341269841269842,0.4576703997756629
8,2,0.5,0.6569086651053865,0.439657872399672
8,3,0.42424242424242425,0.649364406779661,0.487632183936533
8,4,0.6666666666666666,0.8717703349282296,0.6562251340132828
8,5,0.25806451612903225,0.675,0.2298069547200785
9,1,0.30303030303030304,0.7037037037037037,0.3829893840224975
9,2,0.43902439024390244,0.6699999999999999,0.41165914535765435
9,3,0.42424242424242425,0.5930521091811414,0.39605767026999905
9,4,0.65,0.8879310344827586,0.7746083838446962
9,5,0.47368421052631576,0.7593220338983051,0.5194421873231377
10,1,0.45714285714285713,0.603448275862069,0.39405075896610564
10,2,0.5263157894736842,0.7915632754342432,0.5160594617178096
10,3,0.36363636363636365,0.7276119402985075,0.3899811890372531
10,4,0.5945945945945946,0.8508474576271187,0.6209644712585889
10,5,0.38095238095238093,0.7113095238095237,0.5986269613052785
