rep,fold,f1,roc_auc,pr_auc
1,1,0.3902439024390244,0.6855555555555556,0.473237933811653
1,2,0.5263157894736842,0.7709551656920078,0.608731392022148
1,3,0.5581395348837209,0.7838983050847458,0.6279911643260401
1,4,0.35714285714285715,0.7709401709401709,0.5400708311998634
1,5,0.48484848484848486,0.7427490542244641,0.4396844154726215
2,1,0.4444444444444444,0.7645502645502645,0.505865178087045
2,2,0.4444444444444444,0.6978922716627635,0.4229400697189491
2,3,0.3333333333333333,0.6803977272727273,0.4620642926393277
2,4,0.4864864864864865,0.7053571428571429,0.5668016998818471
2,5,0.5909090909090909,0.8771551724137931,0.7151695479637574
3,1,0.20689655172413793,0.49857954545454547,0.18759176916170428
3,2,0.5454545454545454,0.7397660818713451,0.4940281081013427
3,3,0.5,0.8349875930521091,0.611933980962321
3,4,0.5185185185185185,0.8687499999999999,0.7240351647328391
3,5,0.5106382978723404,0.7770334928229665,0.691428796524794
4,1,0.375,0.7575757575757576,0.47664156830823495
4,2,0.35714285714285715,0.6292613636363636,0.4056854564031598
4,3,0.5263157894736842,0.8322222222222223,0.6132023067955271
4,4,0.43902439024390244,0.6976264189886481,0.49181616603385825
4,5,0.5909090909090909,0.7875598086124402,0.629539002190365
5,1,0.2962962962962963,0.5646153846153846,0.19992241913016562
5,2,0.5909090909090909,0.8021442495126706,0.7398995804130781
5,3,0.45,0.8266978922716628,0.6304631646246552
5,4,0.42424242424242425,0.751412429378531,0.47760139589170264
5,5,0.5128205128205128,0.7404761904761905,0.5515127574989147
6,1,0.43902439024390244,0.6926691729323308,0.5726233330840589
6,2,0.45714285714285713,0.739454094292804,0.498611189034668
6,3,0.4,0.707196029776675,0.3632027582489852
6,4,0.6341463414634146,0.8666666666666668,0.8272813787106729
6,5,0.3888888888888889,0.7806637806637807,0.45545704295704303
7,1,0.5660377358490566,0.7372134038800706,0.5571550631512641
7,2,0.4117647058823529,0.7332506203473945,0.5561177910664432
7,3,0.2777777777777778,0.6441798941798942,0.3097852564988676
7,4,0.38461538461538464,0.7298387096774194,0.4603699731640908
7,5,0.6470588235294118,0.8587641866330392,0.6195628932471037
8,1,0.42857142857142855,0.8029100529100529,0.506352218687745
8,2,0.42424242424242425,0.6510538641686183,0.42781100761958235
8,3,0.45714285714285713,0.6694915254237288,0.504248703543076
8,4,0.7441860465116279,0.8956937799043062,0.7391136714467756
8,5,0.2,0.65,0.32167477175075077
9,1,0.375,0.7857142857142857,0.5258545297928859
9,2,0.34285714285714286,0.6766666666666667,0.49025655021690806
9,3,0.3888888888888889,0.6104218362282878,0.36461727442329006
9,4,0.6190476190476191,0.8642241379310345,0.7143827333493864
9,5,0.5789473684210527,0.8011299435028247,0.6447855585139107
10,1,0.46153846153846156,0.6490872210953347,0.4727778108493481
10,2,0.48484848484848486,0.8312655086848635,0.5536280887451456
10,3,0.29411764705882354,0.6604477611940299,0.3064772437997463
10,4,0.6153846153846154,0.9062146892655367,0.7958249890206412
10,5,0.47368421052631576,0.7043650793650794,0.5487562120801517
