rep,fold,f1,roc_auc,pr_auc
1,1,0.26666666666666666,0.4074074074074074,0.42363431053025885
1,2,0.5714285714285714,0.880952380952381,0.3666666666666667
1,3,0.5,0.9166666666666666,0.6666666666666667
1,4,0.75,0.986842105263158,0.95
1,5,0.36363636363636365,0.7763157894736843,0.4568452380952381
2,1,0.7272727272727273,0.9789473684210527,0.9428571428571428
2,2,0.46153846153846156,0.7894736842105263,0.4666666666666667
2,3,0.2222222222222222,0.6,0.2847222222222222
2,4,0.42857142857142855,0.6973684210526316,0.3576388888888889
2,5,0.3333333333333333,0.6833333333333333,0.5
3,1,0.6666666666666666,0.8515625,0.7708333333333334
3,2,0.3076923076923077,0.6973684210526316,0.5055555555555555
3,3,0.5,0.8999999999999999,0.5
3,4,0.25,0.5952380952380952,0.3055555555555556
3,5,0.4,0.6190476190476191,0.5555555555555556
4,1,0.7272727272727273,1.0,1.0
4,2,0.2222222222222222,0.6052631578947368,0.2790616246498599
4,3,0.5454545454545454,1.0,1.0
4,4,0.6153846153846154,0.7058823529411764,0.4371184371184371
4,5,0.0,0.4761904761904762,0.11805555555555555
5,1,0.36363636363636365,0.5740740740740741,0.4020138358373653
5,2,0.4444444444444444,0.736842105263158,0.5144230769230769
5,3,0.5555555555555556,0.8823529411764706,0.7464285714285713
5,4,0.5,1.0,1.0
5,5,0.2857142857142857,0.8636363636363636,0.25
6,1,0.42857142857142855,0.7685185185185186,0.4816137566137566
6,2,0.3333333333333333,0.9545454545454546,0.5
6,3,0.25,0.8333333333333334,0.6111111111111112
6,4,0.625,0.6875,0.5453986857901056
6,5,0.4444444444444444,0.8333333333333333,0.7435897435897436
7,1,0.2222222222222222,0.6666666666666667,0.30000000000000004
7,2,0.46153846153846156,0.9833333333333333,0.9166666666666665
7,3,0.3333333333333333,0.5888888888888888,0.40043859649122804
7,4,0.5,0.7619047619047619,0.34090909090909094
7,5,0.6666666666666666,0.8431372549019608,0.7152777777777777
8,1,0.4,0.725,0.6413690476190477
8,2,0.6666666666666666,0.9333333333333333,0.7
8,3,0.4444444444444444,0.7833333333333332,0.46031746031746035
8,4,0.18181818181818182,0.618421052631579,0.3112373737373737
8,5,0.5714285714285714,0.8111111111111111,0.5857142857142856
9,1,0.2222222222222222,0.5873015873015872,0.27677224736048267
9,2,0.625,0.75,0.6228521671826626
9,3,0.4,1.0,1.0
9,4,0.4,0.8333333333333333,0.3694444444444444
9,5,0.5,0.8833333333333333,0.6666666666666666
10,1,0.5,0.9206349206349207,0.6666666666666667
10,2,0.25,0.7619047619047619,0.5833333333333334
10,3,0.4,0.7444444444444445,0.6240384615384615
10,4,0.6666666666666666,0.8431372549019608,0.5438492063492064
10,5,0.2222222222222222,0.5333333333333333,0.43358395989974935
