rep,fold,f1,roc_auc,pr_auc
1,1,0.2857142857142857,0.3425925925925926,0.3440343282448546
1,2,0.5,0.9285714285714286,0.5
1,3,0.6666666666666666,0.9666666666666667,0.8666666666666667
1,4,0.75,0.8421052631578948,0.5560897435897436
1,5,0.2857142857142857,0.631578947368421,0.3244047619047619
2,1,0.8,0.8842105263157896,0.8625
2,2,0.6,0.7763157894736842,0.5347222222222222
2,3,0.3333333333333333,0.6333333333333333,0.45604395604395603
2,4,0.25,0.3815789473684211,0.19366883116883116
2,5,0.4,0.65,0.2991452991452992
3,1,0.42857142857142855,0.6875,0.6420947199730095
3,2,0.5714285714285714,0.5921052631578947,0.5121212121212121
3,3,0.75,0.95,0.6388888888888888
3,4,0.3333333333333333,0.6666666666666667,0.23809523809523808
3,5,0.5,0.5714285714285714,0.55
4,1,0.8,1.0,1.0
4,2,0.4,0.44736842105263164,0.38123885918003564
4,3,0.5714285714285714,0.8833333333333333,0.5138888888888888
4,4,0.5454545454545454,0.5980392156862746,0.4160818713450292
4,5,0.0,0.5238095238095238,0.12878787878787878
5,1,0.25,0.45370370370370366,0.3930035650623886
5,2,0.5,0.7236842105263158,0.5457875457875457
5,3,0.6153846153846154,0.7156862745098039,0.727807486631016
5,4,0.8,0.9523809523809523,0.5833333333333333
5,5,0.4,0.9090909090909091,0.3333333333333333
6,1,0.4444444444444444,0.5740740740740742,0.3920932009167303
6,2,0.5,1.0,1.0
6,3,0.3333333333333333,0.7857142857142857,0.5909090909090909
6,4,0.6153846153846154,0.625,0.5588032581453634
6,5,0.5714285714285714,0.7833333333333332,0.46031746031746035
7,1,0.2857142857142857,0.6666666666666667,0.24864024864024864
7,2,0.5,0.8999999999999999,0.7777777777777777
7,3,0.5,0.5888888888888889,0.48211875843454793
7,4,0.5,0.7619047619047619,0.5833333333333334
7,5,0.6666666666666666,0.7254901960784313,0.6905945419103313
8,1,0.6666666666666666,0.7625,0.6339285714285714
8,2,0.2857142857142857,0.6333333333333333,0.4692982456140351
8,3,0.5,0.7166666666666666,0.4444444444444444
8,4,0.25,0.46052631578947373,0.22402597402597402
8,5,0.8,0.8666666666666667,0.7766666666666666
9,1,0.3333333333333333,0.5396825396825397,0.21666666666666667
9,2,0.46153846153846156,0.5083333333333333,0.42157738095238095
9,3,0.8,1.0,1.0
9,4,0.4444444444444444,0.7166666666666666,0.4444444444444444
9,5,0.6666666666666666,0.8999999999999999,0.7777777777777777
10,1,0.6666666666666666,0.8253968253968254,0.6324786324786326
10,2,0.3333333333333333,0.6904761904761905,0.3214285714285714
10,3,0.25,0.4111111111111111,0.36313937180810246
10,4,0.7142857142857143,0.8333333333333333,0.5707722832722832
10,5,0.4,0.6333333333333333,0.45604395604395603
