rep,fold,f1,roc_auc,pr_auc
1,1,0.2857142857142857,0.49999999999999994,0.3952380952380952
1,2,0.8,0.9761904761904762,0.8333333333333333
1,3,0.6,1.0,1.0
1,4,0.6666666666666666,0.9342105263157894,0.7470238095238095
1,5,0.3333333333333333,0.7894736842105263,0.5270833333333333
2,1,0.7272727272727273,0.9263157894736842,0.850909090909091
2,2,0.8571428571428571,0.9736842105263158,0.9166666666666666
2,3,0.2857142857142857,0.75,0.5
2,4,0.2857142857142857,0.4473684210526316,0.22648479681727762
2,5,0.4,0.6333333333333333,0.47857142857142854
3,1,0.5,0.78125,0.7145633971291866
3,2,0.6666666666666666,0.7105263157894737,0.6413690476190477
3,3,0.8571428571428571,1.0,1.0
3,4,0.2857142857142857,0.5,0.21428571428571427
3,5,0.4,0.8571428571428572,0.625
4,1,0.8,0.9874999999999999,0.95
4,2,0.3333333333333333,0.868421052631579,0.625
4,3,0.6666666666666666,0.85,0.6464646464646464
4,4,0.5454545454545454,0.6274509803921569,0.6082251082251081
4,5,0.0,0.5,0.15263157894736842
5,1,0.2857142857142857,0.6574074074074074,0.6037878787878788
5,2,0.5,0.8684210526315789,0.7159090909090909
5,3,0.6153846153846154,0.7745098039215687,0.7503968253968254
5,4,0.8,0.9523809523809523,0.5833333333333333
5,5,0.5,0.9090909090909091,0.3333333333333333
6,1,0.5,0.8148148148148149,0.6498316498316498
6,2,0.6666666666666666,1.0,1.0
6,3,0.4,0.8571428571428572,0.625
6,4,0.6153846153846154,0.5803571428571429,0.6292646966560009
6,5,0.5,0.8333333333333333,0.43333333333333335
7,1,0.4,0.8412698412698412,0.4027777777777778
7,2,0.4444444444444444,0.8666666666666667,0.7575757575757576
7,3,0.4444444444444444,0.6888888888888889,0.5972527472527474
7,4,0.5,0.9761904761904762,0.8333333333333333
7,5,0.8,0.7058823529411764,0.7559808612440191
8,1,0.6666666666666666,0.725,0.6684782608695652
8,2,0.2222222222222222,0.6333333333333333,0.4564393939393939
8,3,0.5714285714285714,0.8999999999999999,0.7777777777777777
8,4,0.3333333333333333,0.605263157894737,0.33365683229813664
8,5,0.8888888888888888,0.9888888888888888,0.9666666666666666
9,1,0.3333333333333333,0.6031746031746031,0.3416666666666667
9,2,0.46153846153846156,0.6416666666666666,0.5622557997557998
9,3,0.6666666666666666,1.0,1.0
9,4,0.5714285714285714,0.8,0.5769230769230769
9,5,0.8,0.95,0.8333333333333333
10,1,0.6666666666666666,0.8888888888888888,0.6666666666666666
10,2,0.4,0.7857142857142857,0.35
10,3,0.25,0.5666666666666668,0.42428571428571427
10,4,0.8333333333333334,0.9313725490196079,0.9102564102564102
10,5,0.3333333333333333,0.6333333333333333,0.5121212121212121
