rep,fold,f1,roc_auc,pr_auc
1,1,0.2222222222222222,0.6018518518518519,0.36657786657786656
1,2,0.0,0.9523809523809523,0.5833333333333333
1,3,0.5714285714285714,0.9500000000000001,0.7555555555555555
1,4,0.75,0.9473684210526316,0.6791666666666667
1,5,0.3333333333333333,0.7894736842105263,0.5238095238095237
2,1,0.8,0.9684210526315788,0.925
2,2,0.6666666666666666,0.8947368421052632,0.8333333333333333
2,3,0.4,0.85,0.5694444444444444
2,4,0.0,0.6447368421052632,0.31726190476190474
2,5,0.0,0.6833333333333333,0.2611111111111111
3,1,0.46153846153846156,0.890625,0.7781114718614719
3,2,0.4,0.631578947368421,0.6011904761904762
3,3,0.6666666666666666,0.9833333333333333,0.9166666666666665
3,4,0.0,0.6190476190476191,0.17142857142857143
3,5,0.5,0.8571428571428572,0.625
4,1,0.8888888888888888,1.0,1.0
4,2,0.0,0.75,0.33958333333333335
4,3,0.5714285714285714,0.9166666666666667,0.6984126984126984
4,4,0.25,0.7549019607843137,0.5271825396825397
4,5,0.0,0.7142857142857143,0.19642857142857142
5,1,0.25,0.7314814814814815,0.46464646464646464
5,2,0.5714285714285714,0.868421052631579,0.5277777777777778
5,3,0.5454545454545454,0.892156862745098,0.8070818070818071
5,4,0.5,0.9285714285714286,0.5
5,5,0.0,0.8636363636363636,0.25
6,1,0.5,0.8148148148148149,0.6669973544973544
6,2,0.5,1.0,1.0
6,3,0.5,0.8333333333333334,0.6111111111111112
6,4,0.36363636363636365,0.7410714285714286,0.6181077694235588
6,5,0.4,0.8999999999999999,0.5
7,1,0.3333333333333333,0.8571428571428571,0.42499999999999993
7,2,0.5714285714285714,0.9166666666666667,0.6984126984126984
7,3,0.2857142857142857,0.6777777777777778,0.3788095238095238
7,4,0.5,0.9047619047619049,0.45
7,5,0.5,0.8627450980392157,0.8277777777777777
8,1,0.5714285714285714,0.8375,0.6742424242424242
8,2,0.4,0.8333333333333334,0.5535714285714286
8,3,0.5714285714285714,0.7666666666666666,0.4555555555555555
8,4,0.0,0.6973684210526315,0.3833333333333333
8,5,0.5,0.9333333333333333,0.8211111111111111
9,1,0.3333333333333333,0.6507936507936507,0.3277777777777778
9,2,0.0,0.7416666666666667,0.5489583333333333
9,3,0.6666666666666666,0.9761904761904762,0.8333333333333333
9,4,0.6666666666666666,0.9166666666666666,0.5555555555555556
9,5,0.8,0.9833333333333333,0.9166666666666665
10,1,0.6666666666666666,0.8571428571428572,0.6464646464646464
10,2,0.3333333333333333,0.8809523809523809,0.41666666666666663
10,3,0.2857142857142857,0.6777777777777777,0.5271428571428571
10,4,0.5,0.9803921568627451,0.9583333333333333
10,5,0.4,0.75,0.34523809523809523
