rep,fold,f1,roc_auc,pr_auc
1,1,0.35294117647058826,0.859375,0.42083333333333334
1,2,0.35294117647058826,0.7419354838709677,0.41593073593073593
1,3,0.0,0.5147058823529412,0.09821428571428571
1,4,0.16666666666666666,0.8529411764705883,0.34090909090909094
1,5,0.18181818181818182,0.7058823529411764,0.17763157894736842
2,1,0.1,0.7352941176470589,0.3026315789473684
2,2,0.3076923076923077,0.6484375,0.3239247311827957
2,3,0.3333333333333333,0.838235294117647,0.225
2,4,0.3076923076923077,0.828125,0.475
2,5,0.25,0.8080808080808081,0.32440476190476186
3,1,0.14285714285714285,0.707070707070707,0.4343434343434343
3,2,0.2857142857142857,0.6262626262626263,0.2111111111111111
3,3,0.18181818181818182,0.8529411764705883,0.34090909090909094
3,4,0.4,0.8828125,0.46875
3,5,0.16666666666666666,0.7272727272727273,0.2772727272727273
4,1,0.14285714285714285,0.9714285714285714,0.5
4,2,0.7272727272727273,0.9609375,0.6458333333333333
4,3,0.0,0.7352941176470589,0.14090909090909093
4,4,0.15384615384615385,0.5859375,0.24128787878787877
4,5,0.2222222222222222,0.5859375,0.15238095238095237
5,1,0.36363636363636365,0.9225806451612903,0.6968253968253968
5,2,0.25,0.7265625,0.5035416666666667
5,3,0.14285714285714285,0.75,0.22549019607843135
5,4,0.16666666666666666,0.7205882352941176,0.5476190476190477
5,5,0.3076923076923077,0.7647058823529412,0.1534090909090909
6,1,0.42857142857142855,0.890625,0.7463235294117647
6,2,0.4,0.926470588235294,0.6428571428571428
6,3,0.14285714285714285,0.7794117647058822,0.19642857142857142
6,4,0.0,0.5625,0.14652534965034966
6,5,0.2857142857142857,0.6161616161616161,0.2595307917888563
7,1,0.13333333333333333,0.6953125,0.3892857142857143
7,2,0.5,0.9453125,0.7875
7,3,0.3076923076923077,0.8383838383838383,0.4909090909090909
7,4,0.15384615384615385,0.6764705882352942,0.2934782608695652
7,5,0.15384615384615385,0.4117647058823529,0.0803030303030303
8,1,0.2857142857142857,0.7676767676767676,0.292156862745098
8,2,0.16666666666666666,1.0,1.0
8,3,0.42857142857142855,0.8451612903225806,0.5546031746031745
8,4,0.0,0.6470588235294118,0.10833333333333334
8,5,0.3076923076923077,0.734375,0.4011494252873563
9,1,0.2222222222222222,0.8235294117647058,0.5714285714285714
9,2,0.375,0.8888888888888888,0.5833333333333333
9,3,0.23529411764705882,0.6387096774193548,0.44710081585081585
9,4,0.16666666666666666,0.8088235294117647,0.24358974358974358
9,5,0.16666666666666666,0.7272727272727273,0.17513227513227514
10,1,0.375,0.890625,0.4935897435897436
10,2,0.0,0.4411764705882353,0.0787878787878788
10,3,0.3076923076923077,0.8282828282828283,0.3242424242424242
10,4,0.3076923076923077,0.71875,0.25181159420289856
10,5,0.16666666666666666,0.75,0.5526315789473684
