rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.8515625,0.6517857142857143
1,2,0.42857142857142855,0.8129032258064516,0.31987012987012986
1,3,0.25,0.7205882352941176,0.14583333333333331
1,4,0.2857142857142857,0.8823529411764706,0.6
1,5,0.18181818181818182,0.8382352941176471,0.5769230769230769
2,1,0.25,0.7647058823529411,0.17142857142857143
2,2,0.2857142857142857,0.765625,0.5954545454545455
2,3,0.3333333333333333,0.8970588235294118,0.6111111111111112
2,4,0.46153846153846156,0.8046875,0.27245670995670995
2,5,0.2857142857142857,0.8282828282828283,0.4880952380952381
3,1,0.2222222222222222,0.7777777777777777,0.22916666666666663
3,2,0.23529411764705882,0.6868686868686869,0.4305555555555555
3,3,0.2857142857142857,0.8529411764705882,0.26666666666666666
3,4,0.5333333333333333,0.90625,0.6846590909090909
3,5,0.2857142857142857,0.7676767676767677,0.20419580419580421
4,1,0.25,0.9714285714285714,0.5
4,2,0.6153846153846154,0.9921875,0.95
4,3,0.0,0.6176470588235294,0.10096153846153846
4,4,0.3333333333333333,0.7421875,0.22549019607843135
4,5,0.375,0.6953125,0.19455585264408792
5,1,0.6153846153846154,0.903225806451613,0.5
5,2,0.26666666666666666,0.75,0.425
5,3,0.2,0.7794117647058824,0.3125
5,4,0.16666666666666666,0.823529411764706,0.3269230769230769
5,5,0.3333333333333333,0.7647058823529411,0.15555555555555556
6,1,0.5454545454545454,0.9453125,0.7875
6,2,0.4,0.8529411764705882,0.225
6,3,0.15384615384615385,0.7941176470588236,0.5625
6,4,0.25,0.6640625,0.18116883116883117
6,5,0.3333333333333333,0.7676767676767677,0.4666666666666667
7,1,0.25,0.7734375,0.4257936507936508
7,2,0.6153846153846154,0.9609375,0.8125
7,3,0.36363636363636365,0.8080808080808081,0.47916666666666663
7,4,0.15384615384615385,0.7205882352941178,0.13247863247863248
7,5,0.2222222222222222,0.6323529411764706,0.11904761904761904
8,1,0.2857142857142857,0.7373737373737375,0.17919580419580422
8,2,0.15384615384615385,0.9714285714285714,0.5
8,3,0.5,0.9096774193548387,0.6746031746031746
8,4,0.2222222222222222,0.7205882352941176,0.1380952380952381
8,5,0.42857142857142855,0.78125,0.37681159420289856
9,1,0.2857142857142857,0.8529411764705882,0.225
9,2,0.35294117647058826,0.888888888888889,0.7380952380952381
9,3,0.375,0.767741935483871,0.44333333333333336
9,4,0.15384615384615385,0.7941176470588236,0.20192307692307693
9,5,0.4444444444444444,0.8181818181818182,0.26587301587301587
10,1,0.42857142857142855,0.8515625,0.5071428571428571
10,2,0.2,0.7058823529411765,0.12916666666666665
10,3,0.5,0.898989898989899,0.4027777777777778
10,4,0.2857142857142857,0.765625,0.4201923076923077
10,5,0.16666666666666666,0.6911764705882353,0.12142857142857143
