rep,fold,f1,roc_auc,pr_auc
1,1,0.4,0.890625,0.513095238095238
1,2,0.2857142857142857,0.8258064516129033,0.49333333333333335
1,3,0.0,0.7352941176470588,0.1388888888888889
1,4,0.2222222222222222,0.8823529411764706,0.6
1,5,0.3076923076923077,0.8235294117647058,0.2
2,1,0.13333333333333333,0.7352941176470589,0.3026315789473684
2,2,0.42857142857142855,0.84375,0.4375
2,3,0.2,0.823529411764706,0.2159090909090909
2,4,0.3076923076923077,0.8359375,0.3208333333333333
2,5,0.2857142857142857,0.9191919191919192,0.5873015873015872
3,1,0.16666666666666666,0.7777777777777778,0.21060606060606063
3,2,0.16666666666666666,0.696969696969697,0.2637426900584795
3,3,0.2222222222222222,0.8970588235294117,0.375
3,4,0.5,0.9375,0.5902777777777778
3,5,0.2857142857142857,0.7575757575757576,0.286096256684492
4,1,0.2222222222222222,0.9714285714285714,0.5
4,2,0.6153846153846154,0.9765625,0.8041666666666667
4,3,0.0,0.7647058823529411,0.15555555555555556
4,4,0.3076923076923077,0.7421875,0.2215811965811966
4,5,0.14285714285714285,0.703125,0.21329365079365079
5,1,0.3333333333333333,0.8774193548387097,0.4805555555555555
5,2,0.46153846153846156,0.8203125,0.35416666666666663
5,3,0.18181818181818182,0.838235294117647,0.3333333333333333
5,4,0.15384615384615385,0.8529411764705882,0.5833333333333334
5,5,0.2,0.7794117647058822,0.19642857142857142
6,1,0.6153846153846154,0.96875,0.875
6,2,0.4444444444444444,0.8823529411764706,0.26785714285714285
6,3,0.15384615384615385,0.7941176470588236,0.20192307692307693
6,4,0.0,0.640625,0.17031579531579533
6,5,0.18181818181818182,0.7777777777777778,0.29393939393939394
7,1,0.2857142857142857,0.8046875,0.44516594516594515
7,2,0.5,0.90625,0.5560897435897436
7,3,0.36363636363636365,0.9191919191919191,0.7575757575757576
7,4,0.15384615384615385,0.7352941176470588,0.1388888888888889
7,5,0.0,0.6323529411764706,0.10427807486631016
8,1,0.26666666666666666,0.7171717171717171,0.17072510822510822
8,2,0.25,1.0,1.0
8,3,0.6,0.9612903225806452,0.8083333333333333
8,4,0.0,0.7058823529411764,0.12878787878787878
8,5,0.26666666666666666,0.7734375,0.5178571428571428
9,1,0.4,0.8529411764705882,0.225
9,2,0.5,0.9696969696969697,0.6388888888888888
9,3,0.26666666666666666,0.7548387096774194,0.5428571428571429
9,4,0.16666666666666666,0.8088235294117647,0.19090909090909092
9,5,0.0,0.7474747474747475,0.1856060606060606
10,1,0.4,0.890625,0.44166666666666665
10,2,0.0,0.6617647058823529,0.11212121212121212
10,3,0.25,0.8787878787878788,0.33134920634920634
10,4,0.3076923076923077,0.84375,0.5146103896103896
10,5,0.2857142857142857,0.8088235294117647,0.19090909090909092
