rep,fold,f1,roc_auc,pr_auc
1,1,0.3,0.8359375,0.79
1,2,0.3333333333333333,0.7419354838709677,0.3126984126984127
1,3,0.18181818181818182,0.6764705882352942,0.12698412698412698
1,4,0.2,0.8823529411764706,0.6
1,5,0.26666666666666666,0.8970588235294118,0.6111111111111112
2,1,0.2,0.7941176470588235,0.23809523809523808
2,2,0.35294117647058826,0.828125,0.6276315789473684
2,3,0.2,0.8676470588235294,0.5909090909090909
2,4,0.4,0.8671875,0.5104166666666666
2,5,0.16666666666666666,0.7777777777777778,0.45555555555555555
3,1,0.16666666666666666,0.6666666666666666,0.15027467659046606
3,2,0.10526315789473684,0.6262626262626263,0.41189931350114417
3,3,0.3076923076923077,0.926470588235294,0.41666666666666663
3,4,0.46153846153846156,0.953125,0.85
3,5,0.35294117647058826,0.787878787878788,0.24864024864024864
4,1,0.13333333333333333,0.9714285714285714,0.5
4,2,0.5,1.0,1.0
4,3,0.16666666666666666,0.6911764705882353,0.125
4,4,0.4,0.734375,0.23511904761904762
4,5,0.125,0.703125,0.269017094017094
5,1,0.5333333333333333,0.8903225806451612,0.4575757575757575
5,2,0.4,0.78125,0.44013157894736843
5,3,0.13333333333333333,0.7352941176470589,0.55
5,4,0.14285714285714285,0.7352941176470589,0.3026315789473684
5,5,0.13333333333333333,0.7941176470588236,0.31666666666666665
6,1,0.5,0.9453125,0.8409090909090909
6,2,0.3076923076923077,0.8823529411764706,0.29166666666666663
6,3,0.2222222222222222,0.8823529411764706,0.6
6,4,0.13333333333333333,0.609375,0.15797601091718738
6,5,0.16666666666666666,0.7373737373737373,0.4415204678362573
7,1,0.35294117647058826,0.8046875,0.44516594516594515
7,2,0.5333333333333333,0.9765625,0.8928571428571428
7,3,0.26666666666666666,0.8383838383838383,0.7192982456140351
7,4,0.13333333333333333,0.6323529411764706,0.10416666666666666
7,5,0.0,0.5588235294117647,0.08846153846153847
8,1,0.26666666666666666,0.7070707070707072,0.16536796536796539
8,2,0.14285714285714285,0.9714285714285714,0.5
8,3,0.5714285714285714,0.903225806451613,0.7555555555555555
8,4,0.15384615384615385,0.6911764705882353,0.12222222222222222
8,5,0.2222222222222222,0.7265625,0.38166666666666665
9,1,0.36363636363636365,0.8529411764705882,0.22619047619047616
9,2,0.35294117647058826,0.98989898989899,0.9166666666666665
9,3,0.23529411764705882,0.7483870967741936,0.5404761904761906
9,4,0.25,0.8823529411764707,0.3611111111111111
9,5,0.15384615384615385,0.6868686868686869,0.16085668717247664
10,1,0.4444444444444444,0.90625,0.5560897435897436
10,2,0.2,0.6617647058823529,0.11805555555555555
10,3,0.13333333333333333,0.7676767676767677,0.28937728937728935
10,4,0.26666666666666666,0.828125,0.6201923076923077
10,5,0.25,0.7941176470588236,0.1736111111111111
