rep,fold,f1,roc_auc,pr_auc
1,1,0.6086956521739131,0.9507389162561577,0.8210884353741494
1,2,0.4444444444444444,0.788888888888889,0.39665286404416833
1,3,0.5882352941176471,0.9,0.5853174603174603
1,4,0.14285714285714285,0.7171717171717172,0.16951566951566954
1,5,0.5,0.6645161290322581,0.4962962962962963
2,1,0.47058823529411764,0.8258064516129032,0.5625258799171843
2,2,0.5,0.7589285714285714,0.46247294372294373
2,3,0.5882352941176471,0.7536945812807883,0.3996173469387755
2,4,0.18181818181818182,0.7352941176470589,0.1625
2,5,0.5263157894736842,0.9290322580645161,0.7912087912087913
3,1,0.3076923076923077,0.9558823529411764,0.5
3,2,0.7368421052631579,0.9241071428571428,0.7392857142857143
3,3,0.47058823529411764,0.6666666666666666,0.32570207570207577
3,4,0.47058823529411764,0.8555555555555555,0.6096052096052096
3,5,0.3333333333333333,0.7483870967741936,0.3038095238095238
4,1,0.5384615384615384,0.7326388888888888,0.5337284991696756
4,2,0.5,0.9296875,0.6361111111111111
4,3,0.5263157894736842,0.7888888888888889,0.5682870370370371
4,4,0.3333333333333333,0.9117647058823529,0.39285714285714285
4,5,0.36363636363636365,0.7575757575757576,0.474025974025974
5,1,0.4,0.8,0.5645221445221444
5,2,0.5,0.8828125,0.44047619047619047
5,3,0.42857142857142855,0.765625,0.39404761904761904
5,4,0.5714285714285714,0.8169642857142858,0.6431482160312806
5,5,0.47058823529411764,0.7944444444444444,0.45970736779560306
6,1,0.5,0.7339901477832512,0.5683728036669213
6,2,0.5833333333333334,0.8472906403940886,0.4677179962894249
6,3,0.36363636363636365,0.7421875,0.462797619047619
6,4,0.5555555555555556,0.9166666666666666,0.6963675213675213
6,5,0.26666666666666666,0.7676767676767676,0.28888888888888886
7,1,0.5882352941176471,0.8666666666666668,0.4576719576719577
7,2,0.4,0.8222222222222223,0.4680555555555555
7,3,0.5,0.6833333333333333,0.36698028673835126
7,4,0.4444444444444444,0.8451612903225807,0.41939393939393943
7,5,0.46153846153846156,0.7734375,0.682258064516129
8,1,0.47619047619047616,0.8500000000000001,0.6432539682539682
8,2,0.6,0.9166666666666667,0.6537037037037037
8,3,0.3333333333333333,0.828125,0.3270833333333333
8,4,0.3333333333333333,0.6875,0.26975806451612905
8,5,0.6153846153846154,0.7783251231527093,0.6851615646258504
9,1,0.625,0.8166666666666668,0.542958892958893
9,2,0.47058823529411764,0.8,0.43165306915306917
9,3,0.5217391304347826,0.8722222222222222,0.541967291967292
9,4,0.5,0.8388888888888889,0.816017316017316
9,5,0.0,0.8080808080808081,0.23095238095238094
10,1,0.4444444444444444,0.9296875,0.6527777777777778
10,2,0.5,0.7053571428571428,0.4036902639843816
10,3,0.3333333333333333,0.7421875,0.23390863522442468
10,4,0.5333333333333333,0.8645161290322582,0.40692307692307694
10,5,0.6153846153846154,0.8722222222222223,0.7775
