rep,fold,f1,roc_auc,pr_auc
1,1,0.631578947368421,0.8866995073891626,0.6962694168576522
1,2,0.42105263157894735,0.7555555555555555,0.3133116883116883
1,3,0.5,0.7444444444444445,0.4115079365079365
1,4,0.2,0.8181818181818181,0.25
1,5,0.4444444444444444,0.7483870967741936,0.5836309523809524
2,1,0.5333333333333333,0.864516129032258,0.4022222222222222
2,2,0.6,0.8839285714285714,0.5690934065934065
2,3,0.5,0.7241379310344827,0.38096814483369107
2,4,0.2,0.6323529411764706,0.1125
2,5,0.3333333333333333,0.7161290322580645,0.5507142857142857
3,1,0.2857142857142857,0.8970588235294117,0.29166666666666663
3,2,0.7368421052631579,0.8973214285714285,0.5832542457542457
3,3,0.46153846153846156,0.7500000000000001,0.48412698412698413
3,4,0.26666666666666666,0.7166666666666667,0.4614534702769997
3,5,0.5,0.8193548387096774,0.4850125313283208
4,1,0.5925925925925926,0.7777777777777777,0.5430545782190519
4,2,0.36363636363636365,0.7734375,0.34374999999999994
4,3,0.42105263157894735,0.6611111111111111,0.36310122339534107
4,4,0.5,0.9264705882352942,0.3666666666666667
4,5,0.25,0.8080808080808081,0.31666666666666665
5,1,0.42857142857142855,0.8129032258064517,0.3353479853479853
5,2,0.25,0.7109375,0.2540151515151515
5,3,0.46153846153846156,0.8203125,0.29910714285714285
5,4,0.6,0.8125,0.7732238349885409
5,5,0.4444444444444444,0.8333333333333333,0.46410256410256406
6,1,0.6,0.7783251231527093,0.7441043083900227
6,2,0.3157894736842105,0.6551724137931034,0.28870688626327723
6,3,0.42857142857142855,0.8515625,0.40192307692307694
6,4,0.6666666666666666,0.9111111111111111,0.5612794612794613
6,5,0.3333333333333333,0.8686868686868686,0.33535353535353535
7,1,0.5,0.8222222222222222,0.417278043593833
7,2,0.47058823529411764,0.7666666666666667,0.5603665970045281
7,3,0.5,0.8333333333333333,0.3901806526806527
7,4,0.46153846153846156,0.8774193548387097,0.5299999999999999
7,5,0.36363636363636365,0.640625,0.3671130952380952
8,1,0.5263157894736842,0.8277777777777777,0.4632936507936508
8,2,0.47619047619047616,0.8111111111111111,0.4608058608058608
8,3,0.2857142857142857,0.59375,0.1613782051282051
8,4,0.4444444444444444,0.71875,0.40441176470588236
8,5,0.6,0.9605911330049262,0.8983516483516483
9,1,0.46153846153846156,0.8833333333333334,0.5880952380952381
9,2,0.47058823529411764,0.7944444444444445,0.409052059052059
9,3,0.47058823529411764,0.75,0.3116133866133866
9,4,0.5333333333333333,0.7055555555555555,0.5972222222222222
9,5,0.36363636363636365,0.8484848484848485,0.29444444444444445
10,1,0.5333333333333333,0.921875,0.6416666666666666
10,2,0.5263157894736842,0.75,0.43627573406985176
10,3,0.16666666666666666,0.6171875,0.24153297682709446
10,4,0.6666666666666666,0.9096774193548387,0.5199999999999999
10,5,0.3333333333333333,0.8166666666666667,0.4224386724386724
