rep,fold,f1,roc_auc,pr_auc
1,1,0.6666666666666666,0.9556650246305418,0.8690476190476191
1,2,0.5,0.8,0.3657407407407407
1,3,0.42857142857142855,0.6666666666666667,0.35963663243075006
1,4,0.26666666666666666,0.696969696969697,0.17857142857142855
1,5,0.25,0.8064516129032258,0.5055555555555555
2,1,0.5,0.8645161290322582,0.5238095238095237
2,2,0.47058823529411764,0.7767857142857144,0.5113068181818181
2,3,0.5263157894736842,0.7733990147783251,0.3649394256537114
2,4,0.0,0.6176470588235294,0.11688311688311688
2,5,0.5,0.7677419354838709,0.5873106060606061
3,1,0.3333333333333333,0.926470588235294,0.41666666666666663
3,2,0.6,0.8348214285714286,0.5382699275362319
3,3,0.36363636363636365,0.75,0.4493561993561993
3,4,0.5714285714285714,0.7722222222222221,0.7395833333333333
3,5,0.2857142857142857,0.7870967741935484,0.30417915417915414
4,1,0.48,0.670138888888889,0.44159613135906234
4,2,0.4,0.7421875,0.47196969696969693
4,3,0.5333333333333333,0.7833333333333333,0.42655677655677654
4,4,0.4444444444444444,0.9264705882352942,0.3666666666666667
4,5,0.2857142857142857,0.8888888888888888,0.5396825396825397
5,1,0.35294117647058826,0.8064516129032258,0.35036199095022624
5,2,0.2,0.609375,0.20929621848739496
5,3,0.5454545454545454,0.7890625,0.37499999999999994
5,4,0.6666666666666666,0.8794642857142857,0.6409902597402598
5,5,0.4,0.7333333333333334,0.3293772893772894
6,1,0.4,0.8226600985221675,0.6586048454469506
6,2,0.47058823529411764,0.7536945812807881,0.39094534365470324
6,3,0.42857142857142855,0.7734375,0.35714285714285715
6,4,0.7142857142857143,0.9277777777777778,0.5968253968253969
6,5,0.18181818181818182,0.7070707070707071,0.2768115942028986
7,1,0.6666666666666666,0.8555555555555556,0.48829365079365084
7,2,0.4,0.6944444444444444,0.5830733808674985
7,3,0.15384615384615385,0.7222222222222222,0.3020590520590521
7,4,0.5714285714285714,0.8774193548387096,0.4432900432900433
7,5,0.42857142857142855,0.7890625,0.39166666666666666
8,1,0.42105263157894735,0.8166666666666667,0.5884126984126984
8,2,0.5882352941176471,0.8666666666666667,0.4714285714285714
8,3,0.46153846153846156,0.7421875,0.36666666666666664
8,4,0.36363636363636365,0.7890625,0.30625
8,5,0.36363636363636365,0.8078817733990148,0.573118944547516
9,1,0.4,0.8777777777777778,0.6430555555555555
9,2,0.375,0.8333333333333334,0.5467171717171717
9,3,0.5,0.8111111111111111,0.37863756613756616
9,4,0.5333333333333333,0.7222222222222222,0.40249615975422426
9,5,0.4,0.707070707070707,0.2551282051282051
10,1,0.6666666666666666,0.984375,0.8875
10,2,0.5,0.7678571428571428,0.4122012362637363
10,3,0.25,0.71875,0.23031135531135533
10,4,0.4444444444444444,0.896774193548387,0.47186147186147187
10,5,0.42857142857142855,0.6277777777777778,0.41597222222222224
