rep,fold,f1,roc_auc,pr_auc
1,1,0.5882352941176471,0.896551724137931,0.7239538239538239
1,2,0.42857142857142855,0.8444444444444446,0.41355820105820107
1,3,0.5333333333333333,0.6833333333333333,0.4619528619528619
1,4,0.2857142857142857,0.7272727272727272,0.1915204678362573
1,5,0.5714285714285714,0.7870967741935484,0.580392156862745
2,1,0.5333333333333333,0.864516129032258,0.4009090909090909
2,2,0.5882352941176471,0.8214285714285714,0.6074872416548618
2,3,0.5,0.7438423645320197,0.37094453165881736
2,4,0.25,0.7058823529411764,0.14215686274509803
2,5,0.36363636363636365,0.7354838709677419,0.5817927170868347
3,1,0.36363636363636365,0.8823529411764706,0.26785714285714285
3,2,0.5555555555555556,0.8794642857142856,0.7644936762583822
3,3,0.5,0.7944444444444445,0.4261093073593073
3,4,0.5714285714285714,0.75,0.5673202614379085
3,5,0.3333333333333333,0.7096774193548386,0.24309056956115777
4,1,0.43478260869565216,0.6979166666666666,0.4510431278387935
4,2,0.46153846153846156,0.7421875,0.571969696969697
4,3,0.5882352941176471,0.8222222222222222,0.5185353535353535
4,4,0.5,0.9411764705882353,0.45
4,5,0.3333333333333333,0.8888888888888888,0.38888888888888884
5,1,0.3076923076923077,0.8580645161290322,0.42999999999999994
5,2,0.36363636363636365,0.6171875,0.2053030303030303
5,3,0.4444444444444444,0.75,0.2886446886446886
5,4,0.5882352941176471,0.8705357142857142,0.7242521367521368
5,5,0.5882352941176471,0.8611111111111112,0.5761544011544012
6,1,0.4,0.7635467980295567,0.5752715121136174
6,2,0.5882352941176471,0.7487684729064039,0.3870414832599707
6,3,0.36363636363636365,0.703125,0.23757002801120447
6,4,0.5714285714285714,0.8777777777777779,0.5486111111111112
6,5,0.4,0.8686868686868687,0.3686868686868687
7,1,0.6153846153846154,0.8666666666666667,0.5216269841269842
7,2,0.375,0.65,0.35782281014479156
7,3,0.42857142857142855,0.7833333333333333,0.3669210218123262
7,4,0.5714285714285714,0.8709677419354839,0.4515262515262515
7,5,0.4,0.78125,0.37681159420289856
8,1,0.5882352941176471,0.85,0.5254227053140097
8,2,0.5,0.8277777777777778,0.4174242424242424
8,3,0.3333333333333333,0.6875,0.42435897435897435
8,4,0.6,0.7734375,0.37179487179487175
8,5,0.3333333333333333,0.7980295566502462,0.5084133258046302
9,1,0.5,0.8888888888888888,0.6156084656084656
9,2,0.5,0.8388888888888888,0.5627917833800187
9,3,0.6,0.8222222222222223,0.38401875901875904
9,4,0.42857142857142855,0.6833333333333332,0.39830907110318875
9,5,0.2222222222222222,0.6666666666666667,0.20317460317460317
10,1,0.7272727272727273,0.984375,0.9166666666666666
10,2,0.5555555555555556,0.7857142857142857,0.489021164021164
10,3,0.3076923076923077,0.671875,0.18888888888888888
10,4,0.5,0.8580645161290323,0.39597069597069595
10,5,0.3076923076923077,0.6833333333333333,0.3328042328042328
