rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.3828125,0.10694444444444444
1,2,0.5454545454545454,0.78125,0.43727106227106227
1,3,0.5454545454545454,0.788888888888889,0.5503561253561253
1,4,0.5714285714285714,0.9852941176470588,0.8333333333333333
1,5,0.3076923076923077,0.5763546798029556,0.4298637636872931
2,1,0.3333333333333333,0.6277777777777778,0.3727207977207977
2,2,0.2857142857142857,0.49032258064516115,0.2666013071895425
2,3,0.2857142857142857,0.6666666666666667,0.21171717171717172
2,4,0.5714285714285714,0.7635467980295566,0.589821089726213
2,5,0.25,0.8823529411764707,0.3611111111111111
3,1,0.4,0.59375,0.5598214285714286
3,2,0.2,0.8383838383838383,0.33164983164983164
3,3,0.5,0.8222222222222222,0.680980861244019
3,4,0.4444444444444444,0.9411764705882353,0.41666666666666663
3,5,0.2,0.5223214285714286,0.3902435208469691
4,1,0.14285714285714285,0.5656565656565656,0.24236111111111108
4,2,0.5333333333333333,0.7857142857142857,0.6036591404238463
4,3,0.0,0.5142857142857142,0.05555555555555555
4,4,0.4,0.6166666666666667,0.29144817171132964
4,5,0.5,0.6258064516129032,0.5752380952380952
5,1,0.4,0.7935483870967742,0.3749074454956808
5,2,0.5333333333333333,0.6995073891625615,0.5595238095238095
5,3,0.3076923076923077,0.5444444444444444,0.3767195767195767
5,4,0.0,0.5353535353535354,0.1147142617730853
5,5,0.4444444444444444,0.9705882352941176,0.5833333333333333
6,1,0.16666666666666666,0.5161290322580645,0.17365706757011104
6,2,0.5,0.6944444444444445,0.34839563065369517
6,3,0.7142857142857143,1.0,1.0
6,4,0.18181818181818182,0.6157635467980295,0.37834197224040117
6,5,0.0,,-0.0
7,1,0.2,0.5078125,0.3447526737967914
7,2,0.5,0.7321428571428571,0.6545569586530264
7,3,0.4,0.9264705882352942,0.3666666666666667
7,4,0.5454545454545454,0.8,0.5250992063492064
7,5,0.0,0.34343434343434337,0.08253968253968254
8,1,0.5714285714285714,0.7777777777777778,0.5662804515745692
8,2,0.35294117647058826,0.7111111111111111,0.4185185185185185
8,3,0.2222222222222222,0.484375,0.17991500527651805
8,4,0.0,0.46875,0.13065476190476188
8,5,0.5714285714285714,0.8484848484848484,0.7222222222222222
9,1,0.3076923076923077,0.561111111111111,0.30842490842490844
9,2,0.5,0.9705882352941176,0.75
9,3,0.3333333333333333,0.6967741935483871,0.43663003663003663
9,4,0.2222222222222222,0.7647058823529411,0.22916666666666666
9,5,0.46153846153846156,0.6964285714285714,0.5646999285544178
10,1,0.0,0.5294117647058824,0.08388157894736842
10,2,0.4,0.625615763546798,0.48888204707170224
10,3,0.4444444444444444,0.6171875,0.35768398268398266
10,4,0.2,0.7171717171717171,0.27489177489177485
10,5,0.5555555555555556,0.7635467980295566,0.5889355742296919
