rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.515625,0.13466101174011924
1,2,0.4444444444444444,0.75,0.3301282051282051
1,3,0.6,0.8722222222222222,0.720995670995671
1,4,0.4,0.9411764705882353,0.41666666666666663
1,5,0.3333333333333333,0.5862068965517242,0.48392682586230973
2,1,0.2,0.75,0.32153181785534724
2,2,0.3076923076923077,0.5419354838709678,0.4927777777777778
2,3,0.25,0.6363636363636364,0.26666666666666666
2,4,0.5714285714285714,0.7980295566502463,0.6125130616509926
2,5,0.2857142857142857,0.9117647058823529,0.3333333333333333
3,1,0.4444444444444444,0.6015625,0.4801587301587301
3,2,0.25,0.8383838383838385,0.29914529914529914
3,3,0.5333333333333333,0.8388888888888888,0.5561449579831932
3,4,0.4,0.9852941176470588,0.8333333333333333
3,5,0.0,0.5491071428571428,0.28085861484695157
4,1,0.2857142857142857,0.5353535353535354,0.18040621266427717
4,2,0.5,0.8125,0.7040387426900585
4,3,0.0,0.5428571428571429,0.058823529411764705
4,4,0.2,0.7111111111111111,0.308943833943834
4,5,0.5,0.632258064516129,0.5761576354679803
5,1,0.2222222222222222,0.8129032258064517,0.4615384615384615
5,2,0.5,0.7438423645320198,0.5592145949288807
5,3,0.3076923076923077,0.5666666666666667,0.27702821869488536
5,4,0.0,0.4949494949494949,0.1131404174573055
5,5,0.6666666666666666,0.9852941176470588,0.8333333333333333
6,1,0.16666666666666666,0.5612903225806452,0.2064052287581699
6,2,0.3333333333333333,0.7555555555555555,0.37608225108225113
6,3,0.7142857142857143,0.9935483870967742,0.9666666666666666
6,4,0.18181818181818182,0.5911330049261084,0.3861644215599591
6,5,0.0,,-0.0
7,1,0.16666666666666666,0.5625,0.35721153846153847
7,2,0.5,0.7410714285714286,0.43778423875173106
7,3,0.5714285714285714,0.9411764705882353,0.41666666666666663
7,4,0.4,0.7777777777777778,0.6267973856209149
7,5,0.0,0.4141414141414141,0.09990253411306042
8,1,0.5714285714285714,0.7777777777777777,0.6688596491228069
8,2,0.3333333333333333,0.75,0.3934640522875817
8,3,0.16666666666666666,0.4765625,0.14765694076038904
8,4,0.0,0.6171875,0.23417366946778712
8,5,0.5,0.9292929292929293,0.7666666666666666
9,1,0.2,0.5777777777777778,0.2870007680491551
9,2,0.5714285714285714,1.0,1.0
9,3,0.3076923076923077,0.632258064516129,0.2810299943406904
9,4,0.2,0.75,0.3055555555555556
9,5,0.5,0.7678571428571428,0.6171395325807091
10,1,0.0,0.7058823529411764,0.12698412698412698
10,2,0.36363636363636365,0.6798029556650247,0.550500200080032
10,3,0.5,0.6328125,0.31975806451612904
10,4,0.2,0.6464646464646464,0.19794584500466852
10,5,0.5,0.7832512315270936,0.5320708847802444
