rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.4453125,0.11778679653679654
1,2,0.3333333333333333,0.8046875,0.4025974025974026
1,3,0.36363636363636365,0.7333333333333334,0.5417082917082917
1,4,0.4444444444444444,0.926470588235294,0.41666666666666663
1,5,0.3333333333333333,0.4630541871921182,0.41750345065562455
2,1,0.2,0.6444444444444444,0.26866883116883117
2,2,0.2222222222222222,0.45806451612903226,0.3355873015873016
2,3,0.2857142857142857,0.6060606060606061,0.24342105263157893
2,4,0.46153846153846156,0.7241379310344828,0.6044973544973544
2,5,0.3333333333333333,0.7352941176470589,0.3026315789473684
3,1,0.25,0.546875,0.3911111111111111
3,2,0.2857142857142857,0.6262626262626263,0.16842105263157894
3,3,0.6153846153846154,0.8222222222222222,0.7521929824561403
3,4,0.25,0.8382352941176471,0.25757575757575757
3,5,0.0,0.45982142857142855,0.21551080763037284
4,1,0.2857142857142857,0.5555555555555556,0.4006734006734006
4,2,0.5,0.6919642857142857,0.5115327380952381
4,3,0.0,0.3142857142857143,0.04
4,4,0.0,0.5722222222222222,0.2162037037037037
4,5,0.5,0.6580645161290322,0.49747474747474746
5,1,0.25,0.7096774193548387,0.39496336996337
5,2,0.3076923076923077,0.6403940886699506,0.48471320346320346
5,3,0.3076923076923077,0.5222222222222223,0.3944789197730374
5,4,0.0,0.33333333333333337,0.07992481203007519
5,5,0.8,0.9705882352941176,0.5833333333333333
6,1,0.16666666666666666,0.4967741935483871,0.22244758514043228
6,2,0.2,0.65,0.31255074493565543
6,3,0.6666666666666666,0.9483870967741935,0.8242424242424242
6,4,0.2222222222222222,0.4630541871921182,0.24312921378138772
6,5,0.0,,-0.0
7,1,0.2,0.5,0.3416364734299517
7,2,0.6153846153846154,0.7142857142857144,0.6250703130869206
7,3,0.3333333333333333,0.9558823529411764,0.7
7,4,0.2222222222222222,0.7166666666666667,0.44217864923747274
7,5,0.0,0.1515151515151515,0.06412698412698412
8,1,0.5,0.7555555555555555,0.584126984126984
8,2,0.3333333333333333,0.6388888888888888,0.4090964590964591
8,3,0.2,0.5546875,0.35275132275132276
8,4,0.0,0.4296875,0.13613721804511278
8,5,0.3333333333333333,0.7676767676767676,0.4898989898989899
9,1,0.0,0.43333333333333335,0.20349531116794542
9,2,0.6666666666666666,1.0,1.0
9,3,0.36363636363636365,0.5806451612903226,0.27783679588777044
9,4,0.0,0.6470588235294118,0.10795454545454546
9,5,0.46153846153846156,0.7142857142857143,0.5745717234262125
10,1,0.0,0.5441176470588235,0.08712121212121213
10,2,0.36363636363636365,0.6009852216748768,0.4666042557373827
10,3,0.25,0.6015625,0.38731176231176234
10,4,0.25,0.5454545454545454,0.23444444444444443
10,5,0.42857142857142855,0.6995073891625616,0.47526045383188237
