rep,fold,f1,roc_auc,pr_auc
1,1,0.0,0.53125,0.13686868686868686
1,2,0.6,0.7890625,0.43846153846153846
1,3,0.36363636363636365,0.7277777777777777,0.537037037037037
1,4,0.36363636363636365,0.8823529411764707,0.3611111111111111
1,5,0.4,0.6108374384236454,0.48176109604681033
2,1,0.3076923076923077,0.7,0.3393759018759019
2,2,0.2222222222222222,0.4580645161290323,0.2303639846743295
2,3,0.2,0.6363636363636364,0.26666666666666666
2,4,0.5714285714285714,0.7783251231527093,0.6766850701633309
2,5,0.2857142857142857,0.8970588235294117,0.375
3,1,0.5714285714285714,0.5859375,0.5590277777777778
3,2,0.2857142857142857,0.7272727272727273,0.22402597402597402
3,3,0.5714285714285714,0.8666666666666667,0.6555555555555556
3,4,0.2,0.8676470588235294,0.2777777777777778
3,5,0.13333333333333333,0.5580357142857143,0.29392857142857143
4,1,0.2222222222222222,0.47474747474747475,0.3914141414141414
4,2,0.5,0.8035714285714286,0.5838762626262626
4,3,0.0,0.34285714285714286,0.041666666666666664
4,4,0.3333333333333333,0.7111111111111111,0.31719298245614036
4,5,0.36363636363636365,0.6516129032258065,0.5391414141414141
5,1,0.4444444444444444,0.8967741935483872,0.6803174603174603
5,2,0.42857142857142855,0.7339901477832511,0.5134575569358177
5,3,0.2857142857142857,0.5611111111111111,0.2723901098901099
5,4,0.0,0.31313131313131315,0.0775462962962963
5,5,0.5714285714285714,0.9411764705882353,0.45
6,1,0.2,0.6387096774193548,0.23586466165413533
6,2,0.42857142857142855,0.7166666666666667,0.37611111111111106
6,3,0.5714285714285714,0.935483870967742,0.7888888888888888
6,4,0.2,0.5615763546798029,0.3775725232621784
6,5,0.0,,-0.0
7,1,0.14285714285714285,0.5625,0.355552992734402
7,2,0.5333333333333333,0.7946428571428572,0.6629289215686274
7,3,0.3333333333333333,0.9264705882352942,0.3666666666666667
7,4,0.5454545454545454,0.788888888888889,0.6572348746261789
7,5,0.0,0.24242424242424238,0.07087912087912088
8,1,0.6153846153846154,0.7833333333333334,0.6331168831168831
8,2,0.4,0.7277777777777779,0.555896686159844
8,3,0.18181818181818182,0.5625,0.20934139784946237
8,4,0.0,0.5625,0.21904761904761905
8,5,0.25,0.7474747474747474,0.29074074074074074
9,1,0.3076923076923077,0.5833333333333334,0.26004901960784316
9,2,0.5714285714285714,1.0,1.0
9,3,0.3333333333333333,0.6516129032258065,0.2819254658385093
9,4,0.0,0.7647058823529411,0.15555555555555556
9,5,0.42857142857142855,0.6696428571428572,0.4307590275014477
10,1,0.0,0.7794117647058824,0.17692307692307693
10,2,0.36363636363636365,0.625615763546798,0.5189342403628118
10,3,0.2,0.6796875,0.4025689223057644
10,4,0.2222222222222222,0.606060606060606,0.24434389140271492
10,5,0.5555555555555556,0.748768472906404,0.4915639915639915
