rep,fold,f1,roc_auc,pr_auc
1,1,0.3157894736842105,0.6769547325102881,0.38676835824511985
1,2,0.34782608695652173,0.6692307692307693,0.39254435107376284
1,3,0.2,0.8192090395480226,0.20634920634920634
1,4,0.2222222222222222,0.5932203389830508,0.3761904761904762
1,5,0.2222222222222222,0.7112068965517242,0.15271260997067448
2,1,0.23529411764705882,0.6896551724137931,0.19255744255744256
2,2,0.2,0.4771929824561404,0.27672591151878256
2,3,0.4444444444444444,0.8519480519480519,0.5401222651222651
2,4,0.25,0.6807017543859649,0.1633937198067633
2,5,0.2222222222222222,0.7038961038961039,0.26736057672114383
3,1,0.3,0.5586734693877551,0.15583566459142495
3,2,0.0,0.4689265536723164,0.05757575757575758
3,3,0.35294117647058826,0.8491379310344827,0.446078431372549
3,4,0.3076923076923077,0.6175438596491228,0.29544159544159543
3,5,0.4,0.8423076923076922,0.5694355921855921
4,1,0.15384615384615385,0.6228813559322034,0.32047014413177766
4,2,0.11764705882352941,0.48587570621468923,0.0818696330991413
4,3,0.2,0.6388888888888888,0.22570201206664414
4,4,0.5333333333333333,0.8883116883116883,0.653061224489796
4,5,0.42857142857142855,0.7454545454545454,0.3850223290556315
5,1,0.23529411764705882,0.5255102040816326,0.2159287641627805
5,2,0.42105263157894735,0.7463312368972747,0.4249085542627368
5,3,0.26666666666666666,0.8017241379310345,0.25162337662337664
5,4,0.15384615384615385,0.6045197740112993,0.12103174603174603
5,5,0.26666666666666666,0.8333333333333333,0.3090601668862538
6,1,0.3157894736842105,0.7344827586206897,0.3753242835595777
6,2,0.15384615384615385,0.7403508771929825,0.23612279881564593
6,3,0.4,0.8452380952380951,0.5445480445480445
6,4,0.2222222222222222,0.6000000000000001,0.20569843024250317
6,5,0.2857142857142857,0.6041666666666667,0.18292208306463473
7,1,0.2857142857142857,0.7551020408163265,0.24523658925935965
7,2,0.125,0.6369047619047619,0.15555555555555556
7,3,0.4444444444444444,0.6545454545454545,0.564959004129511
7,4,0.16666666666666666,0.6547619047619048,0.21653439153439152
7,5,0.3333333333333333,0.8022598870056497,0.22777777777777777
8,1,0.0,0.37222222222222223,0.05
8,2,0.2857142857142857,0.6810344827586207,0.14343786295005806
8,3,0.2608695652173913,0.6807692307692308,0.4467331493558464
8,4,0.4444444444444444,0.7767857142857143,0.532387706855792
8,5,0.25,0.7738095238095238,0.265332926970858
9,1,0.375,0.770408163265306,0.42270779279453713
9,2,0.46153846153846156,0.7327586206896552,0.27443181818181817
9,3,0.2857142857142857,0.7038461538461538,0.3640071984752835
9,4,0.23529411764705882,0.7801724137931034,0.17083333333333334
9,5,0.0,0.4482758620689655,0.0788094074384397
10,1,0.2,0.8166666666666665,0.1508870214752568
10,2,0.375,0.9378531073446328,0.35555555555555557
10,3,0.125,0.6309523809523809,0.13827330077330077
10,4,0.42857142857142855,0.7589285714285715,0.4768376068376068
10,5,0.2608695652173913,0.6131907308377896,0.387121536078317
