rep,fold,f1,roc_auc,pr_auc
1,1,0.391304347826087,0.6366666666666667,0.3486385260257489
1,2,0.52,0.7748538011695907,0.5069050582019041
1,3,0.5714285714285714,0.7404661016949152,0.5654384210970309
1,4,0.24390243902439024,0.7196581196581197,0.3597096559463311
1,5,0.47368421052631576,0.780580075662043,0.4632169773523305
2,1,0.4,0.7791005291005291,0.39569666444666446
2,2,0.38461538461538464,0.6674473067915692,0.4105786832093625
2,3,0.2777777777777778,0.5809659090909091,0.23081075992601482
2,4,0.5641025641025641,0.7767857142857143,0.6327008589902781
2,5,0.56,0.8329741379310344,0.5944863635015117
3,1,0.24390243902439024,0.5596590909090909,0.19998534074621033
3,2,0.5,0.7066276803118908,0.4197574866235252
3,3,0.42857142857142855,0.7667493796526055,0.5314448758147569
3,4,0.47058823529411764,0.846875,0.5408124195624195
3,5,0.5416666666666666,0.7665071770334928,0.5689347725504137
4,1,0.4,0.7760942760942762,0.4021149627626365
4,2,0.3157894736842105,0.6974431818181818,0.395314121417648
4,3,0.4444444444444444,0.741111111111111,0.399591746529731
4,4,0.5217391304347826,0.7110423116615067,0.4902206425532998
4,5,0.4897959183673469,0.7311004784688997,0.5488392817078793
5,1,0.3157894736842105,0.6307692307692307,0.2324603012343876
5,2,0.5306122448979592,0.8089668615984406,0.6714845681037855
5,3,0.43902439024390244,0.7283372365339578,0.41008572873135396
5,4,0.4888888888888889,0.8045197740112995,0.4916280798184324
5,5,0.4090909090909091,0.65,0.36464732563877916
6,1,0.4583333333333333,0.6983082706766918,0.43907840760805994
6,2,0.38095238095238093,0.704714640198511,0.6171334885084214
6,3,0.42105263157894735,0.7196029776674938,0.28995535027789215
6,4,0.5416666666666666,0.8271186440677966,0.584915914226259
6,5,0.3902439024390244,0.7402597402597403,0.33715597044740053
7,1,0.5185185185185185,0.6807760141093475,0.44183520931387277
7,2,0.4186046511627907,0.7456575682382134,0.41007421693876545
7,3,0.32558139534883723,0.656084656084656,0.2819812717650261
7,4,0.3684210526315789,0.6948924731182795,0.511824139279842
7,5,0.5641025641025641,0.8789407313997478,0.5820897537526318
8,1,0.34782608695652173,0.7089947089947091,0.4450441440573019
8,2,0.5,0.6826697892271663,0.4007308266390702
8,3,0.3684210526315789,0.7203389830508474,0.5167305786442979
8,4,0.7058823529411765,0.8889952153110048,0.627314487730552
8,5,0.23809523809523808,0.578125,0.2536307396307397
9,1,0.3076923076923077,0.6997354497354498,0.4423397726791502
9,2,0.4489795918367347,0.721111111111111,0.41777965426834685
9,3,0.35555555555555557,0.6191066997518611,0.3061398006033541
9,4,0.5777777777777777,0.8394396551724138,0.6027919823232324
9,5,0.5128205128205128,0.7740112994350282,0.52457048299496
10,1,0.4583333333333333,0.6987829614604463,0.5689128771990533
10,2,0.5128205128205128,0.8064516129032258,0.48474239001900865
10,3,0.3076923076923077,0.7201492537313433,0.25625930064472646
10,4,0.5116279069767442,0.8090395480225989,0.5187164705529768
10,5,0.4166666666666667,0.6458333333333334,0.4056809838009025
