rep,fold,f1,roc_auc,pr_auc
1,1,0.3333333333333333,0.6366666666666666,0.36796727987294026
1,2,0.5238095238095238,0.7758284600389864,0.5625733233384601
1,3,0.5405405405405406,0.771186440677966,0.6347552342612827
1,4,0.48,0.7555555555555555,0.49416892576947297
1,5,0.46153846153846156,0.7137452711223204,0.5288838794107906
2,1,0.5185185185185185,0.7896825396825398,0.48700215128786556
2,2,0.4117647058823529,0.6779859484777517,0.432117579053358
2,3,0.35294117647058826,0.6292613636363636,0.3842702051224779
2,4,0.48484848484848486,0.7073412698412698,0.5718304253128751
2,5,0.5789473684210527,0.8577586206896551,0.7185184811103928
3,1,0.1875,0.5142045454545454,0.1771733832141813
3,2,0.45714285714285713,0.7280701754385965,0.48389630456088195
3,3,0.5161290322580645,0.7841191066997519,0.4883022470428485
3,4,0.5185185185185185,0.81875,0.6504193497836761
3,5,0.6341463414634146,0.7770334928229665,0.668839520208399
4,1,0.48,0.7929292929292928,0.49696130130872435
4,2,0.42857142857142855,0.6605113636363638,0.4344114982552014
4,3,0.5142857142857142,0.7933333333333333,0.6369922046667696
4,4,0.34285714285714286,0.695562435500516,0.44391047262315897
4,5,0.5581395348837209,0.7119617224880384,0.511999272422314
5,1,0.2962962962962963,0.5815384615384616,0.1994543411972396
5,2,0.6153846153846154,0.787524366471735,0.7208522901288106
5,3,0.45714285714285713,0.8056206088992974,0.5690404334693109
5,4,0.3870967741935484,0.7310734463276836,0.45287655712472713
5,5,0.5294117647058824,0.7404761904761905,0.5526251245789061
6,1,0.5,0.6832706766917294,0.555313514429632
6,2,0.43243243243243246,0.6786600496277915,0.4139060765784904
6,3,0.4444444444444444,0.7704714640198511,0.4695649285355168
6,4,0.5294117647058824,0.7785310734463277,0.5457326489935185
6,5,0.4375,0.8023088023088023,0.4921768776381076
7,1,0.6382978723404256,0.7821869488536155,0.6227639293462686
7,2,0.3448275862068966,0.6885856079404467,0.4645955830331005
7,3,0.27586206896551724,0.6203703703703705,0.26779524757465933
7,4,0.3448275862068966,0.6559139784946236,0.42272403982930296
7,5,0.625,0.8448928121059269,0.658502674387355
8,1,0.45161290322580644,0.7261904761904762,0.4607337154404218
8,2,0.41379310344827586,0.6416861826697893,0.4995809174834539
8,3,0.4444444444444444,0.715042372881356,0.6092433722352795
8,4,0.6363636363636364,0.8593301435406698,0.6627741143462629
8,5,0.3076923076923077,0.6515624999999999,0.2695009071460274
9,1,0.41379310344827586,0.753968253968254,0.4508078526308131
9,2,0.35294117647058826,0.6677777777777778,0.46448206872102316
9,3,0.4666666666666667,0.6104218362282878,0.5066125815745904
9,4,0.5714285714285714,0.8415948275862069,0.6514875070581592
9,5,0.5263157894736842,0.7774011299435027,0.5272829828448793
10,1,0.47368421052631576,0.6886409736308315,0.5024286534880323
10,2,0.47058823529411764,0.8089330024813897,0.513896270694124
10,3,0.2962962962962963,0.6380597014925373,0.2370960595776772
10,4,0.625,0.8531073446327684,0.7771693121693122
10,5,0.45714285714285713,0.699404761904762,0.5258808982041198
